,,5/3/2025,5/11/2025,5/3/2025,5/11/2025,5/11/2025,5/11/2025,5/11/2025,5/3/2025,5/11/2025
Basin,Elevation Band,%5/3 Avg.,%5/11 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Alvord Lake,"6,000-7,000'",100,258,0.1,0.1,2.4,"1,889",241,NA,NA
,"7,000-8,000'",86,114,1.5,0.8,10.6,"3,128",70,NA,NA
,"8,000-9,000'",98,113,10.6,7.2,49.2,"4,304",11,NA,NA
,"9,000-10,000'",93,104,15.9,8.9,52,735,2,NA,NA
2. Bitterroot,"5,000-6,000'",53,64,0.3,0.2,5.1,"8,413",658,3.8 ( 2 ),0.2 ( 2 )
,"6,000-7,000'",77,73,3,2.2,31.3,"84,776",707,16.9 ( 2 ),13.6 ( 2 )
,"7,000-8,000'",78,67,10.7,7.4,66.6,"196,804",496,19.7 ( 1 ),15.1 ( 1 )
,"8,000-9,000'",75,64,16.8,11.6,76.7,"55,077",89,NA,NA
,"9,000-10,000'",69,63,16.8,11.1,72.3,"1,320",2,NA,NA
3. Carson,"5,000-6,000'",4,0,0,0,0,0,619,NA,NA
,"6,000-7,000'",7,2,0,0,0.1,22,351,0.0 ( 1 ),0.0 ( 1 )
,"7,000-8,000'",42,18,1.2,0.4,5.3,"4,347",220,6.1 ( 1 ),0.1 ( 1 )
,"8,000-9,000'",66,47,6.8,3.9,36.6,"32,383",157,9.2 ( 5 ),4.4 ( 5 )
,"9,000-10,000'",69,62,11.8,9,68.6,"22,972",48,NA,NA
,">10,000'",74,73,16.4,14.1,81.7,"8,013",11,NA,NA
4. Clearwater Basin,"3,000-4,000'",20,38,0,0,0.3,"1,729","2,294",0.0 ( 1 ),0.0 ( 1 )
,"4,000-5,000'",65,63,0.8,0.5,8.3,"51,886","1,963",0.3 ( 2 ),0.0 ( 2 )
,"5,000-6,000'",86,76,4.8,3.3,39.1,"315,438","1,808",31.5 ( 5 ),23.5 ( 5 )
,"6,000-7,000'",83,70,11.5,8.2,69.2,"503,832","1,147",25.1 ( 3 ),19.8 ( 3 )
,"7,000-8,000'",78,65,16.6,11.6,79,"162,007",262,NA,NA
,"8,000-9,000'",76,67,19,13.2,79.4,"9,298",13,NA,NA
5. Clover Valley and Franklin,"5,000-6,000'",46,24,0,0,0,2,727,NA,NA
,"6,000-7,000'",140,3,0,0,0,0,"2,366",NA,NA
,"7,000-8,000'",77,40,0.1,0,0.4,567,756,0.0 ( 1 ),0.0 ( 1 )
,"8,000-9,000'",83,68,1.7,0.7,10.3,"5,852",158,11.4 ( 1 ),2.3 ( 1 )
,"9,000-10,000'",97,92,10,6.4,59,"12,268",36,NA,NA
,"10,000-11,000'",92,84,13.4,9.1,76.2,"2,727",6,NA,NA
6. Donner und Blitzen,"6,000-7,000'",114,246,0.9,0.9,12.6,"6,667",143,9.0 ( 1 ),0.0 ( 1 )
,"7,000-8,000'",118,133,7.8,5.1,47.7,"16,060",58,44.9 ( 1 ),36.8 ( 1 )
,"8,000-9,000'",99,112,14.1,10.8,69.4,"10,374",18,NA,NA
,"9,000-10,000'",99,104,18,10.5,56.3,"1,242",2,NA,NA
7. Dry Lake Valley,"7,000-8,000'",2,0,0,0,0,0,226,NA,NA
,"8,000-9,000'",12,3,0,0,0.3,25,52,NA,NA
,"9,000-10,000'",42,10,1,0.2,3.6,82,9,NA,NA
,"10,000-11,000'",58,59,2.8,2.9,53,310,2,NA,NA
8. Eastern Nevada,"7,000-8,000'",32,13,0,0,0.1,229,"2,847",0.0 ( 1 ),0.0 ( 1 )
,"8,000-9,000'",33,16,0.2,0,1.1,"2,192","1,108",0.0 ( 3 ),0.0 ( 3 )
,"9,000-10,000'",49,33,1,0.4,8.8,"7,288",308,6.4 ( 2 ),4.6 ( 2 )
,"10,000-11,000'",73,73,4.7,3.2,36.9,"16,006",93,2.0 ( 2 ),0.7 ( 2 )
,">11,000'",82,97,8.3,6.4,60.9,"5,675",17,NA,NA
9. Flathead,"3,000-4,000'",14,7,0,0,0.1,46,"2,020",0.3 ( 1 ),0.1 ( 1 )
,"4,000-5,000'",81,59,0.3,0.1,4.6,"12,398","1,900",1.4 ( 3 ),0.0 ( 3 )
,"5,000-6,000'",102,78,3.4,2,29.4,"181,809","1,689",17.5 ( 3 ),15.0 ( 3 )
,"6,000-7,000'",91,82,10.5,8.3,67.2,"618,574","1,392",30.3 ( 5 ),28.7 ( 5 )
,"7,000-8,000'",88,88,16.1,14.2,78,"366,710",483,NA,NA
,"8,000-9,000'",89,88,21.1,17.3,76,"36,824",40,NA,NA
,"9,000-10,000'",101,87,23,13,59.9,"1,073",2,NA,NA
10. Grande Ronde-Burnt-Powder_Imnaha,"4,000-5,000'",87,105,0.1,0.1,2,"16,857","3,095",0.0 ( 1 ),0.9 ( 1 )
,"5,000-6,000'",97,90,1.5,1,14.8,"71,213","1,376",5.8 ( 7 ),2.8 ( 7 )
,"6,000-7,000'",93,74,7.8,4.8,50.5,"125,508",485,NA,NA
,"7,000-8,000'",93,66,20,12.3,80,"179,833",274,16.7 ( 2 ),12.8 ( 2 )
,"8,000-9,000'",89,62,25.2,14.7,76,"62,073",79,NA,NA
,"9,000-10,000'",85,61,20.4,10.8,67.6,"1,612",3,NA,NA
11. Guano,"5,000-6,000'",259,388,0,0,0,11,"1,484",0.0 ( 1 ),0.0 ( 1 )
,"6,000-7,000'",59,155,0,0,0.3,494,527,NA,NA
,"7,000-8,000'",104,65,1.6,0.3,4.1,425,25,NA,NA
12. Harney-Malheur Lakes,"5,000-6,000'",66,64,0,0,0.3,212,248,NA,NA
,"6,000-7,000'",36,83,0.1,0.1,1.3,125,28,NA,NA
13. John Day,"5,000-6,000'",87,29,0.4,0.1,1.1,"4,550","1,199",1.3 ( 2 ),0.0 ( 2 )
,"6,000-7,000'",104,87,5.5,3.2,31.5,"42,135",249,NA,NA
,"7,000-8,000'",97,84,14.5,10.8,77.5,"30,347",53,NA,NA
,"8,000-9,000'",95,77,17.1,14.1,87.6,"1,307",2,NA,NA
14. Kootenai,"4,000-5,000'",55,64,0.3,0.2,3.3,"10,125",887,5.3 ( 2 ),0.7 ( 2 )
,"5,000-6,000'",69,63,3.3,2.3,25.2,"74,171",612,18.5 ( 2 ),11.9 ( 2 )
,"6,000-7,000'",82,73,11.2,8.7,67.1,"77,324",166,35.8 ( 1 ),30.5 ( 1 )
,">7,000'",83,67,17.4,14,84.4,"5,855",8,NA,NA
15. Lake County-Goose Lake,"5,000-6,000'",59,40,0,0,0.2,"1,765","2,688",0.0 ( 1 ),0.0 ( 1 )
,"6,000-7,000'",108,70,2,0.8,9.8,"33,371",797,NA,NA
,"7,000-8,000'",113,103,10.3,6.5,55,"39,707",115,32.7 ( 1 ),24.5 ( 1 )
,"8,000-9,000'",109,97,18.6,11.5,73.8,"1,068",2,NA,NA
16. Little Humboldt,"6,000-7,000'",27,43,0,0,0.1,82,326,0.0 ( 2 ),0.1 ( 2 )
,"7,000-8,000'",55,49,0.7,0.2,3.5,"1,089",82,NA,NA
,"8,000-9,000'",91,81,5.7,2.3,22.4,"1,331",11,17.3 ( 1 ),9.9 ( 1 )
,"9,000-10,000'",78,76,5.4,3.8,41.7,117,1,NA,NA
17. Lower Clark Fork,"5,000-6,000'",86,76,2.9,2.1,20.8,"120,061","1,091",41.7 ( 2 ),34.9 ( 2 )
,"6,000-7,000'",90,77,9.2,6.8,55.5,"126,658",350,36.2 ( 1 ),32.5 ( 1 )
,"7,000-8,000'",83,76,15,12.6,82.6,"16,253",24,32.0 ( 1 ),27.5 ( 1 )
,"8,000-9,000'",91,63,17.3,12.8,84,264,0,NA,NA
18. Lower Humboldt,"6,000-7,000'",181,0,0,0,0,0,213,0.0 ( 1 ),0.0 ( 1 )
,"7,000-8,000'",113,36,0.7,0.1,1.1,162,47,NA,NA
,"8,000-9,000'",102,61,3.1,0.7,11,544,14,NA,NA
,"9,000-10,000'",57,75,2.6,1.7,28.6,43,0,NA,NA
19. Lower Pend Oreille,"5,000-6,000'",109,95,5.8,3.4,35.5,"19,425",108,19.9 ( 1 ),15.2 ( 1 )
,">6,000'",108,80,14.7,8.1,69.3,"9,140",21,NA,NA
20. Lower Snake-Asotin,"3,000-4,000'",0,0,0,0,0,0,190,0.0 ( 1 ),0.0 ( 1 )
,"4,000-5,000'",18,23,0,0,0.3,99,98,NA,NA
,"5,000-6,000'",95,93,2,1.1,14.5,"2,245",39,0.0 ( 1 ),0.0 ( 1 )
,"6,000-7,000'",91,74,14.1,9.7,87.8,600,1,NA,NA
