, ,4/27/2025,5/3/2025,4/27/2025,5/3/2025,5/3/2025,5/3/2025,5/3/2025,4/27/2025,5/3/2025,5/1/2025
Basin,Elevation Band,%4/27 Avg.,%5/3 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows,Surveys
1. Alvord Lake,"6,000-7,000'",153,100,0.2,0.1,1.6,"1,709",241,NA,NA,NA
,"7,000-8,000'",133,86,2.5,1.5,14.5,"5,646",70,NA,NA,8.0 ( 2 )
,"8,000-9,000'",104,98,12.1,10.6,66.9,"6,342",11,NA,NA,NA
,"9,000-10,000'",109,93,19.2,15.9,88.2,"1,307",2,NA,NA,NA
2. Bitterroot,"5,000-6,000'",91,53,0.6,0.3,3.4,"9,238",658,9.0 ( 2 ),3.8 ( 2 ),NA
,"6,000-7,000'",107,77,5.3,3,26.5,"112,140",707,18.6 ( 2 ),16.9 ( 2 ),NA
,"7,000-8,000'",93,78,13.8,10.7,70.8,"283,130",496,22.0 ( 1 ),19.7 ( 1 ),NA
,"8,000-9,000'",88,75,19.4,16.8,88.6,"79,609",89,NA,NA,NA
,"9,000-10,000'",83,69,20.2,16.8,94.3,"1,983",2,NA,NA,NA
3. Carson,"5,000-6,000'",94,4,0,0,0,2,619,NA,NA,NA
,"6,000-7,000'",100,7,0.3,0,0.2,170,351,0.0 ( 1 ),0.0 ( 1 ),NA
,"7,000-8,000'",81,42,4,1.2,11.7,"13,641",220,10.1 ( 1 ),6.1 ( 1 ),NA
,"8,000-9,000'",84,66,11.1,6.8,51.1,"56,932",157,12.6 ( 5 ),9.2 ( 5 ),NA
,"9,000-10,000'",74,69,14.3,11.8,71.3,"30,247",48,NA,NA,NA
,">10,000'",69,74,16.7,16.4,77.1,"9,302",11,NA,NA,NA
4. Clearwater Basin,"3,000-4,000'",57,20,0.1,0,0.2,"1,572","2,294",0.0 ( 1 ),0.0 ( 1 ),NA
,"4,000-5,000'",96,65,1.7,0.8,8.4,"81,699","1,963",4.7 ( 2 ),0.3 ( 2 ),NA
,"5,000-6,000'",112,86,7.6,4.8,38.4,"465,215","1,808",35.9 ( 5 ),31.5 ( 5 ),NA
,"6,000-7,000'",103,83,15.5,11.5,71.2,"705,540","1,147",28.3 ( 3 ),25.1 ( 3 ),NA
,"7,000-8,000'",95,78,20.4,16.6,88.2,"231,513",262,NA,NA,NA
,"8,000-9,000'",91,76,22.2,19,94,"13,376",13,NA,NA,NA
5. Clover Valley and Franklin,"5,000-6,000'",6,46,0,0,0.3,27,727,NA,NA,NA
,"6,000-7,000'",>300†,140,0,0,0.1,224,"2,366",NA,NA,NA
,"7,000-8,000'",120,77,0.1,0.1,2.1,"3,423",756,0.4 ( 1 ),0.0 ( 1 ),NA
,"8,000-9,000'",92,83,1.8,1.7,20.4,"13,935",158,15.3 ( 1 ),11.4 ( 1 ),NA
,"9,000-10,000'",111,97,9.4,10,75.7,"19,072",36,NA,NA,NA
,"10,000-11,000'",104,92,12.7,13.4,89.2,"4,001",6,NA,NA,NA
6. Donner und Blitzen,"6,000-7,000'",163,114,1.7,0.9,9,"6,603",143,14.5 ( 1 ),9.0 ( 1 ),NA
,"7,000-8,000'",121,118,9.6,7.8,64.1,"24,473",58,49.5 ( 1 ),44.9 ( 1 ),NA
,"8,000-9,000'",109,99,17.5,14.1,84.2,"13,518",18,NA,NA,NA
,"9,000-10,000'",110,99,21.9,18,88.9,"2,137",2,NA,NA,NA
7. Dry Lake Valley,"7,000-8,000'",0,2,0,0,0,3,226,NA,NA,NA
,"8,000-9,000'",3,12,0,0,1.9,138,52,NA,NA,NA
,"9,000-10,000'",25,42,0.7,1,22.4,477,9,NA,NA,NA
,"10,000-11,000'",65,58,4.8,2.8,35.7,308,2,NA,NA,NA
