, ,3/15/2025,3/31/2025,3/15/2025,3/31/2025,3/31/2025,3/31/2025,3/31/2025,3/15/2025,3/31/2025,3/31/2025
Basin,Elevation Band,%3/15 Avg.,%3/31 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows,Surveys
,"6,000-7,000'",125,124,26.1,37.1,81.4,"386,023",195,26.5 ( 1 ),30.3 ( 1 ),NA
,"7,000-8,000'",135,141,31.2,-,85.2,-,16,NA,NA,NA
,"8,000-9,000'",158,153,42.5,-,88.6,-,1,NA,NA,NA
11. South Puget Sound,"2,000-3,000'",9,0,0,0,0,0,408,1.2 ( 2 ),0.1 ( 2 ),0.0 ( 3 )
,"3,000-4,000'",16,2,0.4,0.1,0.3,"1,238",376,13.1 ( 8 ),13.4 ( 8 ),18.2 ( 1 )
,"4,000-5,000'",21,10,1,0.7,2.5,"8,816",223,16.7 ( 1 ),16.9 ( 1 ),NA
,"5,000-6,000'",84,72,12.6,15.4,32.3,"81,665",100,44.4 ( 2 ),48.7 ( 2 ),NA
,"6,000-7,000'",123,122,36.7,45.1,78.1,"81,444",34,NA,NA,NA
,"7,000-8,000'",127,126,69.3,-,96,-,4,NA,NA,NA
,"8,000-9,000'",148,130,-,-,98.3,-,1,NA,NA,NA
,"9,000-10,000'",66,68,-,-,95.8,-,0,NA,NA,NA
,"10,000-11,000'",180,156,-,-,92.9,-,1,NA,NA,NA
,"11,000-12,000'",208,174,-,-,86.9,-,1,NA,NA,NA
,"12,000-13,000'",166,130,-,-,92.5,-,0,NA,NA,NA
,">13,000'",181,143,-,-,98.8,-,0,NA,NA,NA
12. Upper Columbia,"3,000-4,000'",137,124,5.7,2.2,17,"297,856","2,568",NA,NA,7.2 ( 1 )
,"4,000-5,000'",120,131,10.2,8,47.6,"622,058","1,451",11.1 ( 4 ),8.9 ( 4 ),5.7 ( 3 )
,"5,000-6,000'",118,105,16.2,15.3,61.1,"627,919",767,15.2 ( 2 ),14.2 ( 2 ),9.0 ( 1 )
,"6,000-7,000'",123,95,22.8,21.7,64.1,"655,874",566,NA,NA,12.8 ( 2 )
,"7,000-8,000'",129,104,27.2,26.2,68.8,"203,745",146,NA,NA,NA
,"8,000-9,000'",132,94,29.7,26.2,63.2,"4,724",3,NA,NA,NA
13. Upper Cowlitz,"3,000-4,000'",22,10,0.3,0.2,0.9,"3,056",282,31.6 ( 1 ),35.3 ( 1 ),NA
,"4,000-5,000'",40,17,2.2,1.4,4,"22,977",300,41.4 ( 3 ),46.4 ( 3 ),NA
,"5,000-6,000'",88,41,12.7,9.1,16.6,"52,658",109,NA,NA,NA
