, ,2/1/2025,2/1/2025,2/1/2025,2/1/2025,Area (mi2),2/1/2025,2/1/2025
Basin,Elevation Band,%2/1 Avg.,SWE (in),%SCA,Vol (af),,Pillows,Surveys
,"4,000-5,000'",119,3.4,17.4,"55,152",300,30.8 ( 3 ),NA
,"5,000-6,000'",157,14.2,54.9,"82,118",109,NA,NA
,"6,000-7,000'",127,30.1,86.8,"30,368",19,NA,NA
,"7,000-8,000'",129,41.4,81.2,"7,031",3,NA,NA
,"8,000-9,000'",126,67.7,90.3,349,0,NA,NA
,"9,000-10,000'",229,224.9,91,"5,790",0,NA,NA
,"10,000-11,000'",20,35.4,86.4,182,0,NA,NA
14. Upper Deschutes-Crooked,"4,000-5,000'",99,2.8,35,"569,627","3,836",15.5 ( 1 ),3.0 ( 2 )
,"5,000-6,000'",107,7.4,60.8,"583,481","1,479",19.5 ( 5 ),13.9 ( 3 )
,"6,000-7,000'",106,13.6,62.7,"180,935",250,NA,36.3 ( 1 )
,"7,000-8,000'",116,25.2,82.4,"53,293",40,NA,NA
,"8,000-9,000'",129,42.1,99.4,"5,205",2,NA,NA
,"9,000-10,000'",139,45.6,99.8,"1,643",1,NA,NA
15. Upper Yakima,"3,000-4,000'",125,6.3,56.9,"164,730",492,12.0 ( 1 ),NA
,"4,000-5,000'",121,10.3,66.7,"196,249",359,20.2 ( 1 ),NA
,"5,000-6,000'",125,16.1,85.2,"137,594",161,14.1 ( 1 ),NA
,"6,000-7,000'",114,22.1,95.3,"25,068",21,NA,NA
,"7,000-8,000'",112,42.6,99.9,"1,315",1,NA,NA
16. Willamette,0,,0,0,0,"4,942",0.0 ( 1 ),NA
,"1,000-2,000'",1,0,0,2,"1,975",0.3 ( 1 ),NA
,"2,000-3,000'",0,0,0,8,"1,621",0.3 ( 2 ),NA
,"3,000-4,000'",17,0.2,1.5,"14,803","1,455",3.5 ( 6 ),NA
,"4,000-5,000'",75,2.6,16.7,"124,601",883,16.6 ( 8 ),NA
,"5,000-6,000'",107,9,47.2,"192,734",400,25.3 ( 1 ),NA
,"6,000-7,000'",106,17.9,65.2,"63,777",67,NA,NA
,"7,000-8,000'",113,37.4,82.9,"21,751",11,NA,NA
,"8,000-9,000'",136,69.8,94.2,"8,986",2,NA,NA
,"9,000-10,000'",161,71.5,91.7,"3,312",1,NA,NA
