, ,2/16/2025,3/1/2025,2/16/2025,3/1/2025,3/1/2025,3/1/2025,3/1/2025,2/16/2025,3/1/2025,3/1/2025
Basin,Elevation Band,%2/16 Avg.,%3/1 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows,Surveys
1. Bear,"5,000-6,000'",93,109,4.4,5.9,72.6,"362,341","1,147",NA,NA,NA
,"6,000-7,000'",92,89,6.7,7.4,74.1,"968,773","2,440",8.5 ( 3 ),10.2 ( 3 ),9.8 ( 6 )
,"7,000-8,000'",97,95,9.3,10.1,87.5,"968,038","1,791",11.7 ( 6 ),13.6 ( 6 ),17.4 ( 2 )
,"8,000-9,000'",108,107,12.6,13.9,90.7,"434,409",585,16.1 ( 7 ),19.0 ( 7 ),18.6 ( 2 )
,"9,000-10,000'",98,97,11.8,13.2,90.5,"100,232",142,9.4 ( 2 ),10.7 ( 2 ),NA
,"10,000-11,000'",102,99,13.3,14.6,91.9,"46,702",60,NA,NA,NA
,"11,000-12,000'",104,101,14.3,15.7,92.3,"13,187",16,NA,NA,NA
,"12,000-13,000'",94,92,12.7,13.8,93.9,569,1,NA,NA,NA
2. Beaver,"6,000-7,000'",51,0,0.8,0,0,0,481,NA,NA,NA
,"7,000-8,000'",50,5,1.6,0.1,1.1,502,181,NA,NA,NA
,"8,000-9,000'",43,31,2,1.3,21.8,"5,307",77,5.9 ( 1 ),6.1 ( 1 ),NA
,"9,000-10,000'",54,56,3.5,4.2,58.3,"14,652",66,NA,NA,NA
,"10,000-11,000'",65,63,6.3,7,77.4,"9,574",25,9.7 ( 1 ),10.1 ( 1 ),NA
,"11,000-12,000'",85,74,11,10.4,92.3,"2,617",5,NA,NA,NA
3. Blue,"7,000-8,000'",90,73,5.7,2.6,31.7,"4,357",32,NA,NA,NA
,"8,000-9,000'",107,100,8.1,8.5,81,"45,084",99,NA,NA,NA
,"9,000-10,000'",101,96,7.9,9,84.7,"69,168",143,8.6 ( 1 ),10.6 ( 1 ),8.9 ( 1 )
,"10,000-11,000'",102,95,8.2,8.9,68.4,"74,676",158,14.2 ( 2 ),16.0 ( 2 ),7.7 ( 1 )
,"11,000-12,000'",106,102,11.7,13,84.1,"114,512",165,12.4 ( 2 ),14.3 ( 2 ),NA
,"12,000-13,000'",104,101,12.7,14.8,96.3,"51,702",65,NA,NA,NA
,">13,000'",101,99,12.8,14.5,97.2,"4,568",6,NA,NA,NA
4. Canadian,"8,000-9,000'",53,21,1,0.2,5,"7,051",735,NA,NA,NA
,"9,000-10,000'",56,33,2.5,0.7,15.6,"14,083",365,2.0 ( 1 ),0.8 ( 1 ),0.5 ( 1 )
,"10,000-11,000'",55,44,3,1.7,30.3,"11,992",132,4.2 ( 2 ),4.3 ( 2 ),0.4 ( 1 )
,"11,000-12,000'",57,51,4.5,4.1,60.4,"6,572",30,NA,NA,NA
,"12,000-13,000'",61,61,6.5,6.9,92.1,920,3,NA,NA,NA
5. Colorado Headwaters,"5,000-6,000'",86,0,3.2,0,0,0,1,NA,NA,NA
,"6,000-7,000'",42,10,1.7,0.2,2.8,956,84,NA,NA,NA
,"7,000-8,000'",75,62,4.5,3.3,38.1,"76,503",430,NA,NA,NA
,"8,000-9,000'",94,89,7.8,8.5,85.5,"379,437",836,6.9 ( 2 ),8.4 ( 2 ),8.4 ( 1 )
,"9,000-10,000'",98,93,8.8,9.8,86.9,"427,171",819,8.5 ( 4 ),9.6 ( 4 ),11.4 ( 11 )
,"10,000-11,000'",103,97,10.3,11,78.2,"273,408",464,13.7 ( 5 ),15.9 ( 5 ),15.4 ( 2 )
,"11,000-12,000'",109,106,12.8,14.2,87.3,"157,968",209,13.5 ( 2 ),16.9 ( 2 ),NA
,">12,000'",105,106,12.1,14.4,93.3,"23,033",30,NA,NA,NA
6. Colorado Headwaters-Plateau,"7,000-8,000'",59,43,3.7,1.8,23.5,"66,797",693,NA,NA,NA
,"8,000-9,000'",75,72,6.3,5.7,58.7,"194,481",644,NA,NA,NA
,"9,000-10,000'",87,84,9.1,9.7,79.9,"142,891",277,NA,NA,NA
,"10,000-11,000'",98,93,11,11.2,77.3,"109,063",182,9.4 ( 1 ),9.9 ( 1 ),10.6 ( 1 )
,"11,000-12,000'",111,108,16.7,17.5,95.9,"4,772",5,NA,NA,NA
7. Eagle,"7,000-8,000'",85,64,6,3.5,38.9,"28,754",155,NA,NA,NA
,"8,000-9,000'",89,85,7.5,7.4,72.2,"70,798",181,9.2 ( 1 ),10.2 ( 1 ),NA
,"9,000-10,000'",97,89,8.3,8.7,73.1,"92,574",199,10.6 ( 1 ),11.8 ( 1 ),NA
,"10,000-11,000'",99,87,8.7,8.1,58.5,"94,590",219,12.4 ( 1 ),13.8 ( 1 ),13.4 ( 2 )
,"11,000-12,000'",105,98,12.3,12.7,76.9,"90,072",133,NA,NA,NA
,"12,000-13,000'",108,105,14.5,16.3,95.7,"27,899",32,NA,NA,NA
,"13,000-14,000'",104,107,12.6,16.2,98,"1,752",2,NA,NA,NA
8. Gila,"6,000-7,000'",0,0,0,0,0,0,"1,913",NA,NA,NA
,"7,000-8,000'",0,0,0,0,0,0,"2,100",NA,NA,NA
,"8,000-9,000'",1,0,0,0,0,1,793,0.1 ( 4 ),0.0 ( 5 ),2.7 ( 4 )
,"9,000-10,000'",6,0,0.2,0,0.1,12,109,0.8 ( 1 ),0.5 ( 1 ),NA
,"10,000-11,000'",23,2,0.8,0,1.1,12,10,NA,NA,NA
9. Gunnison,"7,000-8,000'",59,34,3.2,1.7,24.4,"94,559","1,020",NA,NA,NA
