,,4/6/2025,4/13/2025,4/6/2025,4/13/2025,4/13/2025,4/13/2025,4/13/2025,4/6/2025,4/13/2025
Basin,Elevation Band,%4/6 Avg.,%4/13 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
,"7,000-8,000'",109,103,13.1,10,77.2,"890,599","1,676",20.6 ( 5 ),18.1 ( 5 )
,"8,000-9,000'",96,97,16.5,14.8,86.6,"1,150,041","1,454",25.1 ( 3 ),23.5 ( 3 )
,"9,000-10,000'",93,97,19.6,19,91.3,"776,023",767,21.5 ( 2 ),21.9 ( 2 )
,"10,000-11,000'",90,98,23.4,23,93.9,"240,742",196,NA,NA
,">11,000'",90,97,22.3,21.7,91.8,"8,152",7,NA,NA
11. Sun-Teton-Marias,"3,000-4,000'",52,1,0,0,0,491,"6,402",NA,NA
,"4,000-5,000'",75,15,0.8,0.1,0.8,"8,740","2,559",NA,NA
,"5,000-6,000'",133,104,7.9,3.6,30.8,"118,592",622,5.9 ( 4 ),4.4 ( 4 )
,"6,000-7,000'",97,101,11.3,8.6,56.7,"258,128",562,16.9 ( 1 ),16.2 ( 1 )
,"7,000-8,000'",85,91,14.3,11.5,62.6,"182,761",298,25.2 ( 1 ),25.0 ( 1 )
,">8,000'",91,99,16.4,13.8,69.1,"14,773",20,NA,NA
12. Tongue,"2,000-3,000'",0,0,0,0,0,0,883,NA,NA
,"3,000-4,000'",3,0,0,0,0,0,"2,793",NA,NA
,"4,000-5,000'",123,2,0,0,0,16,"1,207",NA,NA
,"5,000-6,000'",127,23,1.1,0.1,2.7,322,51,NA,NA
,"6,000-7,000'",159,98,5.8,2.1,25.2,"3,791",35,NA,NA
,"7,000-8,000'",107,93,9.1,6.3,63.3,"40,547",120,9.6 ( 2 ),8.2 ( 2 )
,"8,000-9,000'",84,84,9.3,8.1,71.4,"74,702",172,10.6 ( 4 ),9.5 ( 4 )
,"9,000-10,000'",91,94,13.4,12.3,80.1,"76,233",116,NA,NA
,"10,000-11,000'",95,98,18,16.5,88.1,"19,031",22,NA,NA
,"11,000-12,000'",92,94,17.1,15.9,84.6,"1,640",2,NA,NA
13. Upper Clark Fork,"3,000-4,000'",>200†,59,0.4,0,0.5,184,157,NA,NA
,"4,000-5,000'",>200†,97,2.7,0.4,4.9,"32,474","1,435",NA,NA
,"5,000-6,000'",189,109,5.5,1.8,16.7,"192,955","1,986",3.1 ( 3 ),0.5 ( 3 )
,"6,000-7,000'",127,112,8.5,5.1,41.3,"430,914","1,577",17.9 ( 2 ),17.4 ( 2 )
,"7,000-8,000'",84,77,10.8,7.8,48.9,"275,834",660,14.6 ( 6 ),14.7 ( 6 )
,"8,000-9,000'",83,62,13.6,8.2,44.3,"65,270",149,14.1 ( 1 ),14.3 ( 1 )
,">9,000'",102,86,17.8,12.4,63.9,"11,469",17,NA,NA
14. Upper Green,"7,000-8,000'",171,55,2.8,0.7,7.7,"247,872","6,357",13.0 ( 2 ),9.2 ( 2 )
,"8,000-9,000'",114,86,10.7,6.7,52.9,"567,300","1,595",17.6 ( 7 ),15.8 ( 7 )
,"9,000-10,000'",96,91,14.5,12,81,"569,084",892,13.9 ( 9 ),12.1 ( 9 )
,"10,000-11,000'",90,90,18.1,16.4,88.8,"411,150",470,14.8 ( 2 ),13.7 ( 2 )
,"11,000-12,000'",89,89,20.8,18.8,90.1,"192,954",193,NA,NA
,"12,000-13,000'",90,89,21.9,19.2,89,"32,446",32,NA,NA
,"13,000-14,000'",84,91,23.7,17.3,76.8,268,0,NA,NA
15. Upper Missouri,"4,000-5,000'",>200,99,1.1,0,0.5,"1,820","1,174",NA,NA
,"5,000-6,000'",>200,90,4.1,0.6,7.4,"31,715","1,058",NA,NA
,"6,000-7,000'",148,119,9,4.3,43.7,"127,882",562,7.4 ( 1 ),5.7 ( 1 )
,"7,000-8,000'",101,93,10.9,7.1,55.2,"50,006",132,8.6 ( 1 ),7.3 ( 1 )
,">8,000'",89,58,13.7,6.5,37.7,"8,473",24,NA,NA
16. Upper Snake Basins,"4,000-5,000'",18,4,0,0,0,31,891,NA,NA
,"5,000-6,000'",125,53,1.5,0.3,4.5,"26,276","1,909",NA,NA
,"6,000-7,000'",134,116,9.4,5.4,50,"815,757","2,847",16.9 ( 6 ),13.3 ( 6 )
,"7,000-8,000'",98,97,13.3,10.2,71.2,"448,375",821,24.5 ( 4 ),22.2 ( 4 )
,"8,000-9,000'",89,92,19.3,17.6,85.5,"311,980",333,NA,NA
,"9,000-10,000'",87,92,22.6,21.9,89.7,"78,441",67,39.6 ( 1 ),39.2 ( 1 )
,"10,000-11,000'",87,94,25.4,24.3,91,"8,645",7,NA,NA
17. Upper Yellowstone,"4,000-5,000'",>200†,5,0.2,0,0,67,"3,414",NA,NA
,"5,000-6,000'",>200†,63,1.8,0.2,3.8,"19,681","1,794",5.7 ( 1 ),3.5 ( 1 )
,"6,000-7,000'",172,111,6.6,2.8,33,"156,618","1,046",9.3 ( 4 ),7.5 ( 4 )
,"7,000-8,000'",116,104,10.1,7.2,64.2,"522,990","1,359",14.3 ( 6 ),14.8 ( 4 )
,"8,000-9,000'",102,103,14.3,12.4,79.4,"1,218,156","1,839",18.6 ( 5 ),18.8 ( 5 )
,"9,000-10,000'",99,103,18.3,17.1,87.7,"1,075,864","1,182",25.3 ( 4 ),26.7 ( 4 )
,"10,000-11,000'",91,97,19.8,19.2,92.1,"382,576",374,NA,NA
,"11,000-12,000'",90,96,21.1,20.2,91.9,"64,448",60,NA,NA
,"12,000-13,000'",92,98,21.3,20.6,91.8,"1,800",2,NA,NA
18. Wood and Lost Basins,"5,000-6,000'",176,72,1.7,0.3,2.6,"37,457","2,754",11.3 ( 2 ),6.5 ( 2 )
,"6,000-7,000'",141,96,4.5,1.9,16.5,"188,595","1,853",9.7 ( 4 ),5.6 ( 4 )
,"7,000-8,000'",134,95,8.4,4.4,31.2,"321,445","1,378",14.1 ( 6 ),11.5 ( 6 )
,"8,000-9,000'",115,102,13.7,9.1,53.8,"424,192",879,16.2 ( 3 ),14.5 ( 3 )
,"9,000-10,000'",106,102,19.2,15.2,73.9,"353,794",436,17.3 ( 1 ),16.9 ( 1 )
,"10,000-11,000'",103,100,21.6,17.5,81.2,"104,792",112,NA,NA
,"11,000-12,000'",103,101,22.7,19.3,86,"8,752",8,NA,NA
