,,4/6/2025,4/13/2025,4/6/2025,4/13/2025,4/13/2025,4/13/2025,4/13/2025,4/6/2025,4/13/2025
Basin,Elevation Band,%4/6 Avg.,%4/13 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
14. Kootenai,"4,000-5,000'",65,62,1.3,0.8,6.6,"38,110",887,12.5 ( 2 ),11.6 ( 2 )
,"5,000-6,000'",50,57,4.3,3.8,21.9,"123,142",612,24.3 ( 2 ),24.1 ( 2 )
,"6,000-7,000'",52,52,8.1,7.1,29.6,"63,220",166,33.7 ( 1 ),35.8 ( 1 )
,">7,000'",56,71,10.9,13.3,46.2,"5,558",8,NA,NA
15. Lake County-Goose Lake,"5,000-6,000'",>200†,232,3,1.1,10.6,"151,144","2,688",0.8 ( 1 ),0.0 ( 1 )
,"6,000-7,000'",185,162,12.7,8.9,58.8,"380,550",797,NA,NA
,"7,000-8,000'",158,145,22.7,20.9,87.5,"128,285",115,45.5 ( 1 ),43.4 ( 1 )
,"8,000-9,000'",160,145,33,30.7,93.1,"2,844",2,NA,NA
16. Little Humboldt,"6,000-7,000'",185,46,1.6,0.1,1.5,"2,202",326,7.2 ( 2 ),3.3 ( 2 )
,"7,000-8,000'",141,111,11.1,4.1,32.3,"17,712",82,NA,NA
,"8,000-9,000'",129,117,18.8,13,68.7,"7,575",11,30.2 ( 1 ),27.6 ( 1 )
,"9,000-10,000'",137,122,18.4,15.5,83.7,480,1,NA,NA
17. Lower Clark Fork,"5,000-6,000'",97,88,6.4,4.8,30.1,"277,789","1,091",46.5 ( 2 ),47.8 ( 2 )
,"6,000-7,000'",96,76,13.3,10,47.9,"185,857",350,36.1 ( 1 ),37.4 ( 1 )
,"7,000-8,000'",100,70,18.1,11.7,48.9,"15,001",24,31.5 ( 1 ),32.2 ( 1 )
,"8,000-9,000'",91,86,18.3,14.8,56.7,304,0,NA,NA
18. Lower Humboldt,"6,000-7,000'",>200†,83,2.1,0.1,1,650,213,3.8 ( 1 ),0.0 ( 1 )
,"7,000-8,000'",182,112,8.2,1.7,19.2,"4,285",47,NA,NA
,"8,000-9,000'",136,117,13.9,6.5,55.2,"4,815",14,NA,NA
,"9,000-10,000'",130,108,15.3,9.9,68.8,255,0,NA,NA
19. Lower Pend Oreille,"5,000-6,000'",68,100,5.7,7.6,35.5,"43,703",108,27.7 ( 1 ),27.5 ( 1 )
,">6,000'",79,99,11.6,15.7,54.7,"17,567",21,NA,NA
20. Lower Snake-Asotin,"3,000-4,000'",54,20,0,0,0,11,190,0.0 ( 1 ),0.0 ( 1 )
,"4,000-5,000'",140,108,1.7,0.5,6.1,"2,574",98,NA,NA
,"5,000-6,000'",143,139,10,7.5,57.1,"15,404",39,13.2 ( 1 ),9.8 ( 1 )
,"6,000-7,000'",125,122,23.6,24,94.9,"1,483",1,NA,NA
