, ,4/27/2025,5/3/2025,4/27/2025,5/3/2025,5/3/2025,5/3/2025,5/3/2025,4/27/2025,5/3/2025,5/1/2025
Basin,Elevation Band,%4/27 Avg.,%5/3 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows,Surveys
,"9,000-10,000'",12,11,0,0,0.8,157,147,1.4 ( 2 ),1.1 ( 2 ),NA
,"10,000-11,000'",29,35,0.7,0.6,15.3,524,16,NA,NA,NA
,">11,000'",40,51,3.3,2.8,40.4,578,4,NA,NA,NA
11. Lower Colorado Mainstream,"5,000-6,000'",0,NA,0,0,0,0,"5,722",NA,NA,NA
,"6,000-7,000'",0,0,0,0,0,0,"3,476",NA,NA,NA
,"7,000-8,000'",4,0,0,0,0.2,2,872,0.0 ( 1 ),0.0 ( 1 ),NA
,"8,000-9,000'",7,5,0,0,3.9,681,542,0.0 ( 1 ),0.0 ( 1 ),NA
,"9,000-10,000'",19,21,0.2,0.3,12.9,"1,434",81,1.2 ( 2 ),0.0 ( 2 ),NA
,"10,000-11,000'",33,39,1.3,1.8,36.3,121,1,NA,NA,NA
12. Lower Green§,"7,000-8,000'",16,8,0,0,0.1,439,"2,253",0.3 ( 1 ),0.0 ( 1 ),NA
,"8,000-9,000'",39,25,0.7,0.3,5.6,"29,403","1,766",0.6 ( 10 ),0.0 ( 10 ),NA
,"9,000-10,000'",55,47,3.8,2.6,34.1,"124,769",899,5.1 ( 8 ),3.7 ( 8 ),17.9 ( 1 )
,"10,000-11,000'",65,58,8.6,6.9,78.6,"185,047",503,11.8 ( 5 ),10.0 ( 5 ),NA
,"11,000-12,000'",69,60,10.7,8.7,83.9,"92,007",199,NA,NA,NA
,">12,000'",65,61,11.5,9.9,82.7,"14,428",27,NA,NA,NA
13. Lower Rio Grande,"8,000-9,000'",0,0,0,0,0,0,"1,497",0.0 ( 3 ),0.0 ( 3 ),NA
,"9,000-10,000'",1,1,0,0,0,16,248,0.0 ( 1 ),0.1 ( 1 ),NA
,"10,000-11,000'",0,8,0,0.1,1.2,149,47,0.0 ( 1 ),0.0 ( 1 ),NA
,"11,000-12,000'",12,10,0.2,0.5,8.3,69,3,0.0 ( 1 ),0.0 ( 1 ),NA
14. Lower Sevier,"6,000-7,000'",51,21,0,0,0,8,500,12.1 ( 1 ),10.4 ( 1 ),NA
,"7,000-8,000'",50,21,0.1,0,1.1,419,252,0.0 ( 2 ),0.0 ( 2 ),NA
,"8,000-9,000'",37,32,0.7,0.4,10.2,"2,545",113,NA,NA,NA
,"9,000-10,000'",53,53,3.6,2.7,46.3,"4,668",32,9.0 ( 1 ),7.5 ( 1 ),NA
15. Pecos,"9,000-10,000'",0,0,0,0,0,0,195,NA,NA,NA
,"10,000-11,000'",1,4,0,0,0.4,111,96,0.2 ( 2 ),0.4 ( 2 ),NA
,"11,000-12,000'",11,30,0.3,1.2,20,"2,366",38,NA,NA,NA
,"12,000-13,000'",45,62,2.6,5,69.7,590,2,NA,NA,NA
16. Provo-Utah Lake-Jordan§,"5,000-6,000'",0,0,0,0,0,0,678,NA,NA,0.0 ( 1 )
,"6,000-7,000'",46,15,0,0,0.2,162,702,NA,NA,0.0 ( 1 )
,"7,000-8,000'",58,31,0.6,0.2,4.5,"6,940",656,3.4 ( 4 ),0.8 ( 5 ),2.1 ( 3 )
,"8,000-9,000'",66,51,3.9,2.2,32.4,"46,980",394,13.6 ( 8 ),9.1 ( 9 ),NA
,"9,000-10,000'",61,57,9.3,7.6,77.4,"82,334",202,19.3 ( 4 ),16.8 ( 4 ),24.7 ( 2 )
,"10,000-11,000'",57,52,12.4,10.8,86.5,"26,910",47,NA,NA,NA
,"11,000-12,000'",55,50,11.6,8,73.2,538,1,NA,NA,NA
17. Rio Chama-Upper Rio Grande,"7,000-8,000'",0,0,0,0,0,0,"2,421",NA,NA,NA
,"8,000-9,000'",0,1,0,0,0,6,"1,222",0.1 ( 2 ),0.1 ( 2 ),0.0 ( 1 )
,"9,000-10,000'",2,6,0,0,1,849,844,0.2 ( 4 ),0.3 ( 4 ),NA
,"10,000-11,000'",13,10,0.2,0.1,3.5,"3,641",532,0.7 ( 5 ),0.1 ( 5 ),NA
,"11,000-12,000'",26,32,1,1.4,26.7,"12,426",161,7.2 ( 1 ),6.0 ( 1 ),1.3 ( 1 )
,"12,000-13,000'",50,56,3,4.9,74.6,"6,930",26,NA,NA,NA
18. Rio Grande Headwaters§,"7,000-8,000'",0,0,0,0,0,0,"2,671",NA,NA,NA
,"8,000-9,000'",0,4,0,0,0,5,"1,418",NA,NA,NA
,"9,000-10,000'",4,10,0,0,0.8,"1,221","1,262",0.1 ( 3 ),0.0 ( 3 ),0.0 ( 5 )
,"10,000-11,000'",24,16,0.5,0.3,5.6,"19,500","1,149",0.1 ( 5 ),0.0 ( 5 ),0.8 ( 3 )
,"11,000-12,000'",53,43,3.9,3.4,43.1,"150,692",839,5.1 ( 5 ),3.4 ( 5 ),4.8 ( 1 )
,"12,000-13,000'",56,56,6.8,6.3,73,"82,008",244,NA,NA,NA
,"13,000-14,000'",56,57,6.9,6.7,75.7,"4,334",12,NA,NA,NA
19. Roaring Fork§,"7,000-8,000'",6,24,0,0,0.1,51,197,NA,NA,NA
,"8,000-9,000'",16,26,0.1,0.1,2.5,"1,440",259,0.0 ( 1 ),0.1 ( 1 ),0.0 ( 1 )
,"9,000-10,000'",45,37,1.6,1.2,17.8,"16,892",269,3.6 ( 2 ),0.9 ( 2 ),NA
,"10,000-11,000'",59,49,6.5,5.7,54.3,"81,040",266,14.0 ( 4 ),12.9 ( 4 ),8.9 ( 1 )
,"11,000-12,000'",66,55,14.2,11.9,88.4,"161,690",254,NA,NA,NA
,"12,000-13,000'",65,57,16.3,14.3,96.8,"83,450",109,NA,NA,NA
,"13,000-14,000'",63,59,14.8,14,97.4,"4,746",6,NA,NA,NA
20. Salt,"6,000-7,000'",0,,0,0,0,0,"1,253",NA,NA,NA
,"7,000-8,000'",0,0,0,0,0,0,510,0.0 ( 3 ),0.0 ( 3 ),NA
,"8,000-9,000'",0,0,0,0,0,0,400,0.0 ( 2 ),0.0 ( 2 ),NA
,"9,000-10,000'",0,0,0,0,0,0,166,0.0 ( 2 ),0.0 ( 2 ),NA
,">10,000'",0,7,0,0.1,2.9,240,31,NA,NA,NA
21. San Juan,"7,000-8,000'",2,0,0,0,0,0,"3,746",NA,NA,NA
,"8,000-9,000'",1,0,0,0,0,9,"1,064",0.1 ( 2 ),0.1 ( 2 ),0.0 ( 1 )
,"9,000-10,000'",11,4,0.1,0,1.2,"1,077",581,0.0 ( 4 ),0.0 ( 4 ),NA
,"10,000-11,000'",35,25,1.5,1,17.7,"23,402",438,5.0 ( 8 ),3.1 ( 8 ),NA
,"11,000-12,000'",51,49,6,5.4,65.1,"115,101",399,12.3 ( 2 ),10.8 ( 2 ),NA
,"12,000-13,000'",53,57,9.3,9.4,87.7,"85,758",172,NA,NA,NA
,"13,000-14,000'",50,57,10,11.2,90.5,"4,276",7,NA,NA,NA
22. San Pitch,"5,000-6,000'",0,NA,0,0,0,0,269,NA,NA,NA
,"6,000-7,000'",43,0,0,0,0,0,217,NA,NA,NA
,"7,000-8,000'",52,29,0.1,0.1,1.6,418,141,NA,NA,NA
,"8,000-9,000'",51,41,2,1.2,21.6,"7,798",118,2.2 ( 4 ),0.8 ( 4 ),NA
,"9,000-10,000'",55,56,6.6,5.7,67.1,"23,620",77,13.5 ( 1 ),11.2 ( 1 ),15.7 ( 1 )
,"10,000-11,000'",54,57,10.2,9.7,89.4,"18,354",35,15.2 ( 1 ),13.7 ( 1 ),NA
