,,3/1/2025,3/15/2025,3/1/2025,3/15/2025,3/15/2025,3/15/2025,3/15/2025,3/1/2025,3/15/2025
Basin,Elevation Band,%3/1 Avg.,%3/15 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Belle Fourche,"2,000-3,000'",0,0,0,0,0.1,0,"1,721",NA,NA
,"3,000-4,000'",6,0,0,0,0,0,"1,722",NA,NA
,"4,000-5,000'",47,7,0.7,0,1.1,"1,410","2,829",NA,NA
,"5,000-6,000'",63,71,2.4,1.2,41.5,"45,575",721,4.7 ( 1 ),5.6 ( 1 )
,"6,000-7,000'",90,94,5.5,4.4,97.4,"48,966",209,NA,NA
,"7,000-8,000'",95,95,5.1,4.4,98.5,249,1,NA,NA
2. Bighorn,"2,000-3,000'",334,217,1.4,0,1.8,81,213,NA,NA
,"3,000-4,000'",152,177,1.7,0,5.1,"4,410","2,480",NA,NA
,"4,000-5,000'",63,376,0.7,0.2,18.6,"62,886","5,266",NA,NA
,"5,000-6,000'",26,251,0.4,0.5,29.8,"139,491","5,482",NA,NA
,"6,000-7,000'",52,157,1.5,1.8,44.7,"313,667","3,201",NA,NA
,"7,000-8,000'",90,120,4.7,5.1,70.2,"498,996","1,827",6.8 ( 3 ),7.6 ( 3 )
,"8,000-9,000'",98,101,7.9,8.6,84.6,"721,635","1,565",6.6 ( 7 ),7.7 ( 7 )
,"9,000-10,000'",99,97,9.8,10.9,85.8,"801,741","1,381",11.3 ( 8 ),12.4 ( 8 )
,"10,000-11,000'",92,89,11.2,12.8,87.2,"631,965",925,12.1 ( 3 ),13.3 ( 3 )
,"11,000-12,000'",90,87,12,14,87.3,"272,708",364,NA,NA
,">12,000'",91,86,14.1,16.9,89.9,"32,227",36,NA,NA
3. Cheyenne,"2,000-3,000'",0,4,0,0,0.6,0,"3,402",NA,NA
,"3,000-4,000'",0,2,0,0,0.2,0,"3,658",NA,NA
,"4,000-5,000'",8,5,0,0,0.4,236,"5,671",NA,NA
,"5,000-6,000'",22,18,0.4,0.1,4.9,"9,911","2,141",NA,NA
,"6,000-7,000'",74,68,3.4,2,53.3,"51,499",471,4.7 ( 2 ),4.6 ( 2 )
,"7,000-8,000'",85,90,4.6,3.3,74.6,826,5,NA,NA
4. Gallatin,"4,000-5,000'",172,154,6.1,1.3,34.7,"31,494",462,NA,NA
,"5,000-6,000'",113,124,7,4,71.6,"63,690",300,NA,NA
