,,5/3/2025,5/11/2025,5/3/2025,5/11/2025,5/11/2025,5/11/2025,5/11/2025,5/3/2025,5/11/2025
Basin,Elevation Band,%5/3 Avg.,%5/11 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
,"9,000-10,000'",21,9,0.3,0.1,3.6,309,81,0.0 ( 2 ),0.0 ( 2 )
,"10,000-11,000'",39,31,1.8,0.5,15.8,35,1,NA,NA
12. Lower Green§,"7,000-8,000'",8,0,0,0,0,13,"2,253",0.0 ( 1 ),0.0 ( 1 )
,"8,000-9,000'",25,12,0.3,0.1,1.4,"5,751","1,766",0.0 ( 10 ),0.1 ( 10 )
,"9,000-10,000'",47,32,2.6,1.1,17.5,"50,923",899,3.7 ( 8 ),1.2 ( 7 )
,"10,000-11,000'",58,47,6.9,4,59.4,"106,007",503,10.0 ( 5 ),6.1 ( 5 )
,"11,000-12,000'",60,49,8.7,5.7,74.5,"60,639",199,NA,NA
,">12,000'",61,49,9.9,6.8,75.5,"9,861",27,NA,NA
13. Lower Rio Grande,"8,000-9,000'",0,0,0,0,0,0,"1,497",0.0 ( 3 ),0.1 ( 3 )
,"9,000-10,000'",1,9,0,0,0,17,248,0.1 ( 1 ),0.1 ( 1 )
,"10,000-11,000'",8,38,0.1,0.4,10.4,"1,108",47,0.0 ( 1 ),0.1 ( 1 )
,"11,000-12,000'",10,24,0.5,1.2,22.1,167,3,0.0 ( 1 ),3.3 ( 1 )
14. Lower Sevier,"6,000-7,000'",21,9,0,0,0,1,500,10.4 ( 1 ),4.9 ( 1 )
,"7,000-8,000'",21,11,0,0,0.3,109,252,0.0 ( 2 ),0.0 ( 2 )
,"8,000-9,000'",32,12,0.4,0.1,3.1,534,113,NA,NA
,"9,000-10,000'",53,37,2.7,1.2,28.7,"2,132",32,7.5 ( 1 ),3.6 ( 1 )
15. Pecos,"9,000-10,000'",0,0,0,0,0,0,195,NA,NA
,"10,000-11,000'",4,24,0,0.1,3.5,709,96,0.4 ( 2 ),1.7 ( 2 )
,"11,000-12,000'",30,49,1.2,2.3,46,"4,618",38,NA,NA
,"12,000-13,000'",62,64,5,6.1,99.8,728,2,NA,NA
16. Provo-Utah Lake-Jordan§,"5,000-6,000'",0,0,0,0,0,0,678,NA,NA
,"6,000-7,000'",15,4,0,0,0,15,702,NA,NA
