,,2/1/2025,2/16/2025,2/1/2025,2/16/2025,2/16/2025,2/16/2025,2/16/2025,2/1/2025,2/16/2025
Basins,Elevation Band,% 2/1 Avg.,% 2/16 Avg.,SWE (in),SWE (in),% SCA,Vol (af),Area (mi2),Pillows,Pillows
,"7,000",117,102,36.8,41.3,85.6,"8,710",3.96,NA,NA
,"8,000",141,100,91.9,76.4,89.5,"3,935",0.97,NA,NA
,"9,000",65,59,38.6,38.6,88.4,993,0.48,NA,NA
,"10,000",201,122,173.5,131.8,87.8,"6,108",0.87,NA,NA
,"11,000",219,134,72.2,104.8,87.1,"3,777",0.68,NA,NA
,"12,000",181,99,313.2,209.5,91.8,"2,157",0.19,NA,NA
,">13,000",198,106,504,368,98.7,"5,683",0.29,NA,NA
12. Upper Columbia,"3,000",122,138,7.5,9.8,77.8,"1,343,761",2568.06,NA,NA
,"4,000",122,131,10,12.4,81.3,"958,551",1450.78,9.1 ( 4 ),9.4 ( 4 )
,"5,000",122,133,13.1,16.7,82.3,"683,509",767.38,11.5 ( 2 ),11.6 ( 2 )
,"6,000",113,129,16.7,21.8,88.2,"657,673",566.03,NA,NA
,"7,000",84,118,15.2,23.4,91.3,"182,024",146.04,NA,NA
,"8,000",37,109,7.3,23.1,91.5,"4,156",3.38,NA,NA
13. Upper Cowlitz,"3,000",49,94,0.4,1.2,6.6,"18,018",282.24,19.8 ( 1 ),23.3 ( 1 )
,"4,000",119,144,3.4,6.2,27.4,"99,342",299.81,30.8 ( 3 ),33.2 ( 3 )
,"5,000",157,169,14.2,20,67.3,"115,501",108.49,NA,NA
,"6,000",127,122,30.1,34.9,91.8,"35,234",18.92,NA,NA
,"7,000",129,105,41.4,44.9,83.3,"7,636",3.19,NA,NA
,"8,000",126,118,67.7,75.6,90.3,389,0.1,NA,NA
,"9,000",229,61,224.9,68.5,90.9,"1,763",0.48,NA,NA
,"10,000",20,14,35.4,17.3,84.6,89,0.1,NA,NA
14. Upper Deschutes-Crooked,"4,000",99,179,2.8,5.7,55.3,"1,172,947",3836.02,15.5 ( 1 ),18.4 ( 1 )
,"5,000",107,132,7.4,10.8,66.5,"854,298",1477.81,19.5 ( 5 ),22.0 ( 5 )
,"6,000",106,126,13.6,19.9,68.5,"265,188",249.71,NA,NA
,"7,000",116,123,25.2,31.8,85.9,"67,869",40.06,NA,NA
,"8,000",129,123,42.1,45.8,95.8,"5,898",2.41,NA,NA
,"9,000",139,109,45.6,41.7,81.2,"1,502",0.68,NA,NA
15. Upper Yakima,"3,000",125,136,6.3,8.4,62.5,"221,004",492.18,12.0 ( 1 ),13.4 ( 1 )
,"4,000",121,131,10.3,13.8,72.4,"264,196",358.5,20.2 ( 1 ),22.0 ( 1 )
,"5,000",125,136,16.1,20.8,86.7,"177,992",160.43,14.1 ( 1 ),15.0 ( 1 )
,"6,000",114,126,22.1,27.8,95.4,"31,635",21.33,NA,NA
,"7,000",112,98,42.6,41,94.6,"1,266",0.58,NA,NA
16. Willamette,0,,,0,0,0,0,4943.75,0.0 ( 1 ),0.0 ( 1 )
,"1,000",1,54,0,0,0.1,752,1978.58,0.3 ( 1 ),2.2 ( 1 )
,"2,000",0,20,0,0,0.3,"3,956",1618.44,0.3 ( 2 ),1.4 ( 2 )
,"3,000",17,36,0.2,0.6,3.9,"49,151",1454.45,3.5 ( 6 ),5.6 ( 6 )
,"4,000",75,93,2.6,4.7,23,"223,248",883.88,16.6 ( 8 ),20.2 ( 8 )
,"5,000",107,125,9,14.2,54.7,"301,949",400,25.3 ( 1 ),27.7 ( 1 )
,"6,000",106,123,17.9,26.4,73.7,"94,057",66.8,NA,NA
,"7,000",113,110,37.4,42.9,84.9,"24,950",10.91,NA,NA
,"8,000",136,98,69.8,58.1,82.6,"7,477",2.41,NA,NA
,"9,000",161,104,71.5,56.4,85.3,"2,612",0.87,NA,NA
