, ,3/15/2025,3/31/2025,3/15/2025,3/31/2025,3/31/2025,3/31/2025,3/31/2025,3/15/2025,3/31/2025,3/31/2025
Basin,Elevation Band,%3/15 Avg.,%3/31 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows,Surveys
1. Belle Fourche,"2,000-3,000'",0,0,0,0,0,0,"1,720",NA,NA,NA
,"3,000-4,000'",0,0,0,0,0.1,10,"1,722",NA,NA,NA
,"4,000-5,000'",7,4,0,0,1.1,"1,255","2,827",NA,NA,NA
,"5,000-6,000'",71,19,1.2,0.5,14.8,"17,989",721,5.6 ( 1 ),4.4 ( 1 ),NA
,"6,000-7,000'",94,63,4.4,3.9,82.6,"43,848",209,NA,NA,NA
,"7,000-8,000'",95,73,4.4,4.7,97.1,265,1,NA,NA,NA
2. Bighorn,"2,000-3,000'",217,4,0,0,0,1,213,NA,NA,NA
,"3,000-4,000'",177,33,0,0,0.5,386,"2,480",NA,NA,NA
,"4,000-5,000'",>200†,139,0.2,0,2.8,"6,701","5,267",NA,NA,NA
,"5,000-6,000'",251,121,0.5,0.1,4.7,"26,567","5,480",NA,NA,NA
,"6,000-7,000'",157,79,1.8,0.7,12.6,"119,891","3,200",NA,NA,NA
,"7,000-8,000'",120,92,5.1,3.5,39.6,"342,346","1,827",7.6 ( 3 ),8.1 ( 3 ),NA
,"8,000-9,000'",101,97,8.6,8.4,69.8,"704,366","1,565",7.7 ( 7 ),9.1 ( 7 ),NA
,"9,000-10,000'",97,102,10.9,12.1,79.2,"888,004","1,381",12.4 ( 8 ),14.2 ( 8 ),20.1 ( 1 )
,"10,000-11,000'",89,97,12.8,13.9,79.4,"684,502",926,13.3 ( 3 ),16.5 ( 3 ),NA
,"11,000-12,000'",87,95,14,14.8,77.2,"287,895",364,NA,NA,NA
,">12,000'",86,101,16.9,18.4,82.2,"35,045",36,NA,NA,NA
3. Cheyenne,"2,000-3,000'",4,0,0,0,0.2,0,"3,403",NA,NA,NA
,"3,000-4,000'",2,126,0,0,3.2,22,"3,657",NA,NA,NA
,"4,000-5,000'",5,35,0,0,1.4,424,"5,671",NA,NA,NA
,"5,000-6,000'",18,4,0.1,0,0.8,"1,149","2,141",NA,NA,NA
,"6,000-7,000'",68,26,2,1,24,"24,876",472,4.6 ( 2 ),3.3 ( 2 ),NA
,"7,000-8,000'",90,46,3.3,2.4,49.2,604,5,NA,NA,NA
4. Gallatin,"4,000-5,000'",154,23,1.3,0.1,1.3,"1,388",462,NA,NA,NA
,"5,000-6,000'",124,72,4,1.9,29.1,"30,309",300,NA,NA,NA
,"6,000-7,000'",111,111,7.2,6.7,69,"96,638",271,10.8 ( 1 ),11.7 ( 1 ),13.6 ( 1 )
,"7,000-8,000'",101,102,9,9.5,73.7,"191,931",380,NA,NA,13.3 ( 3 )
,"8,000-9,000'",105,106,11.9,12.5,75,"209,707",314,19.4 ( 2 ),21.7 ( 2 ),NA
