,,3/1/2025,3/15/2025,3/1/2025,3/15/2025,3/15/2025,3/15/2025,3/15/2025,3/1/2025,3/15/2025
Basin,Elevation Band,%3/1 Avg.,%3/15 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Alvord Lake,"6,000-7,000'",82,166,4.3,4,42.7,"51,382",241,NA,NA
,"7,000-8,000'",122,129,12.9,11.2,71,"41,654",70,NA,NA
,"8,000-9,000'",129,121,20.5,21.2,89.9,"12,672",11,NA,NA
,"9,000-10,000'",131,120,22.4,21.6,85.1,"1,782",2,NA,NA
2. Bitterroot,"5,000-6,000'",125,114,6,3.8,48.5,"133,453",658,16.3 ( 2 ),15.6 ( 2 )
,"6,000-7,000'",124,97,9.4,7.7,61.9,"291,923",707,20.2 ( 2 ),20.0 ( 2 )
,"7,000-8,000'",138,102,15.2,13.4,71.8,"354,204",495,17.2 ( 1 ),17.3 ( 1 )
,"8,000-9,000'",148,115,20.1,18.5,81.3,"87,720",89,NA,NA
,"9,000-10,000'",132,102,20.7,20.1,91.7,"2,376",2,NA,NA
3. Carson,"5,000-6,000'",7,66,0,0.1,3.2,"2,645",619,NA,NA
,"6,000-7,000'",27,108,0.7,2,32.4,"38,284",351,0.0 ( 1 ),0.9 ( 1 )
,"7,000-8,000'",76,111,7.3,10.4,77.4,"121,148",219,13.8 ( 1 ),16.5 ( 1 )
,"8,000-9,000'",88,106,15.1,20,88.3,"166,335",156,17.4 ( 5 ),20.3 ( 5 )
,"9,000-10,000'",83,103,17.3,24.1,86.4,"61,645",48,NA,NA
,">10,000'",84,101,18.6,26.1,83,"14,770",11,NA,NA
4. Clearwater Basin,"3,000-4,000'",192,119,4.2,1.3,20.6,"159,663","2,295",7.0 ( 1 ),6.5 ( 1 )
,"4,000-5,000'",126,80,5.1,2.8,28.4,"293,510","1,963",19.7 ( 2 ),19.4 ( 2 )
,"5,000-6,000'",158,88,9.6,6.2,42.4,"596,827","1,809",31.9 ( 5 ),31.9 ( 2 )
,"6,000-7,000'",173,106,15.9,11.9,62.9,"726,661","1,147",23.8 ( 3 ),20.0 ( 2 )
,"7,000-8,000'",161,111,19.9,16.8,74.5,"234,039",262,NA,NA
,"8,000-9,000'",156,109,22.1,19,82.3,"13,433",13,NA,NA
5. Clover Valley and Franklin,"5,000-6,000'",3,356,0,0.4,22.4,"14,662",730,NA,NA
,"6,000-7,000'",14,265,0.2,1.3,35.5,"162,791","2,366",NA,NA
,"7,000-8,000'",36,143,1.5,4.4,60.8,"175,860",756,11.8 ( 1 ),13.7 ( 1 )
,"8,000-9,000'",73,125,5.4,10,81.7,"84,443",158,17.6 ( 1 ),22.0 ( 1 )
,"9,000-10,000'",104,110,13.4,17.4,89.3,"33,268",36,NA,NA
,"10,000-11,000'",105,108,15,18.9,90.9,"5,630",6,NA,NA
6. Donner und Blitzen,"6,000-7,000'",137,136,13.5,10.3,87.4,"78,881",143,22.1 ( 1 ),22.5 ( 1 )
,"7,000-8,000'",141,128,20.8,19.8,93.3,"61,671",58,45.2 ( 1 ),47.8 ( 1 )
,"8,000-9,000'",144,129,23.5,24.2,91.9,"23,161",18,NA,NA
,"9,000-10,000'",141,127,24.2,23.3,84.8,"2,761",2,NA,NA
