, ,2/16/2025,3/1/2025,2/16/2025,3/1/2025,3/1/2025,3/1/2025,Area (mi2),2/16/2025,3/1/2025,3/1/2025
Basin,Elevation Band,%2/16 Avg.,%3/1 Avg.,SWE (in),SWE (in),%SCA,Vol (af),">5,000'",Pillows,Pillows,Surveys
,"7,000-8,000'",134,130,13.7,13.5,83.8,"17,868",25,NA,NA,NA
12. Harney-Malheur Lakes,"5,000-6,000'",141,174,6.7,8.3,73.6,"110,195",248,NA,NA,7.8 ( 2 )
,"6,000-7,000'",126,133,10.8,12.1,97.3,"18,038",28,NA,NA,NA
13. John Day,"5,000-6,000'",98,95,6.7,6.2,46.8,"394,688","1,198",17.3 ( 2 ),19.5 ( 2 ),NA
,"6,000-7,000'",110,110,11.2,12.3,62,"163,029",249,NA,NA,NA
,"7,000-8,000'",130,135,18.6,21.1,83.8,"59,192",53,NA,NA,NA
,"8,000-9,000'",118,131,19.6,21.1,80.5,"1,954",2,NA,NA,NA
14. Kootenai,"4,000-5,000'",104,132,2.9,4.1,31.1,"193,586",887,9.6 ( 2 ),10.7 ( 2 ),NA
,"5,000-6,000'",142,147,7.6,9.4,54.5,"305,972",612,15.6 ( 2 ),18.4 ( 2 ),15.8 ( 2 )
,"6,000-7,000'",195,200,14.8,17.3,78.5,"153,148",166,22.9 ( 1 ),26.4 ( 1 ),NA
,">7,000'",192,205,19.2,22.8,90.3,"9,507",8,NA,NA,NA
15. Lake County-Goose Lake,"5,000-6,000'",131,165,4.8,5.6,46.3,"796,482","2,686",6.3 ( 1 ),5.2 ( 1 ),10.7 ( 2 )
,"6,000-7,000'",142,146,12.1,13.9,83.5,"593,005",797,NA,NA,18.7 ( 8 )
,"7,000-8,000'",135,141,16.9,19.5,86.6,"119,537",115,35.8 ( 1 ),39.8 ( 1 ),NA
,"8,000-9,000'",148,151,22.3,26.4,96.1,"2,442",2,NA,NA,NA
16. Little Humboldt,"6,000-7,000'",120,70,6.4,2.7,22.8,"46,092",326,4.9 ( 2 ),10.7 ( 2 ),NA
,"7,000-8,000'",118,112,10.7,11,77,"47,775",82,NA,NA,NA
,"8,000-9,000'",119,116,14.6,15.5,89.6,"9,024",11,19.8 ( 1 ),22.8 ( 1 ),NA
,"9,000-10,000'",121,124,15.4,17.2,96.3,530,1,NA,NA,NA
17. Lower Clark Fork,"5,000-6,000'",178,187,8.2,9.8,60,"571,123","1,091",28.4 ( 2 ),34.9 ( 2 ),19.0 ( 4 )
,"6,000-7,000'",197,198,12.6,15.1,77.9,"281,528",350,22.7 ( 1 ),27.7 ( 1 ),25.7 ( 1 )
,"7,000-8,000'",201,205,14.7,17.5,90.8,"22,490",24,19.9 ( 1 ),24.1 ( 1 ),NA
,"8,000-9,000'",177,187,17.2,20.3,92.5,417,0,NA,NA,NA
18. Lower Humboldt,"6,000-7,000'",42,13,1.4,0.2,2.7,"2,541",213,6.1 ( 1 ),7.9 ( 1 ),NA
,"7,000-8,000'",89,62,5.7,3,25.9,"7,427",47,NA,NA,NA
,"8,000-9,000'",103,101,8.6,7.8,56.2,"5,860",14,NA,NA,NA
,"9,000-10,000'",127,120,12,10.2,70.6,263,0,NA,NA,NA
19. Lower Pend Oreille,"5,000-6,000'",162,158,11.6,11.6,56,"66,748",108,17.7 ( 1 ),20.9 ( 1 ),NA
,">6,000'",161,177,18.4,20.8,81.5,"23,311",21,NA,NA,NA
20. Lower Snake-Asotin,"3,000-4,000'",77,73,1.1,0.5,4.7,"5,083",190,1.7 ( 1 ),0.2 ( 1 ),NA
,"4,000-5,000'",124,126,7.5,5.9,49.9,"30,658",98,NA,NA,NA
,"5,000-6,000'",115,117,12,13.1,89.9,"26,926",39,9.5 ( 1 ),12.1 ( 1 ),NA
,"6,000-7,000'",133,135,19.5,23,97.4,"1,420",1,NA,NA,NA
