, ,2/16/2025,3/1/2025,2/16/2025,3/1/2025,3/1/2025,3/1/2025,Area (mi2),2/16/2025,3/1/2025,3/1/2025
Basin,Elevation Band,%2/16 Avg.,%3/1 Avg.,SWE (in),SWE (in),%SCA,Vol (af),">5,000'",Pillows,Pillows,Surveys
,">11,000'",79,89,9.2,10.9,84.9,"11,100",19,NA,NA,NA
9. Smith-Judith-Musselshell,"4,000-5,000'",159,135,5.9,2.5,34.9,"553,750","4,189",NA,NA,NA
,"5,000-6,000'",113,114,6.5,5.7,71.9,"760,320","2,486",NA,NA,NA
,"6,000-7,000'",96,98,6.2,6.7,71.7,"405,886","1,131",10.4 ( 4 ),11.2 ( 4 ),8.0 ( 4 )
,"7,000-8,000'",97,99,7.2,7.8,69.3,"198,544",475,11.7 ( 5 ),13.2 ( 5 ),15.0 ( 2 )
,"8,000-9,000'",102,107,9.6,10.4,79.8,"29,520",53,NA,NA,NA
,"9,000-10,000'",91,104,8,7.8,61.5,642,2,NA,NA,NA
10. Snake,"5,000-6,000'",99,115,7,8.5,91.5,"120,599",266,NA,NA,NA
,"6,000-7,000'",98,104,8.6,10,92.1,"670,456","1,258",13.7 ( 2 ),16.3 ( 2 ),10.1 ( 3 )
,"7,000-8,000'",97,102,9.5,10.9,87.7,"977,263","1,677",14.4 ( 5 ),16.9 ( 5 ),14.0 ( 8 )
,"8,000-9,000'",98,101,10.8,12.3,87.1,"954,933","1,454",17.0 ( 3 ),19.3 ( 3 ),NA
,"9,000-10,000'",95,100,12.1,14.2,89.8,"580,556",767,15.2 ( 2 ),17.2 ( 2 ),NA
,"10,000-11,000'",96,99,14,16.6,94.6,"173,167",196,NA,NA,NA
,">11,000'",95,99,12.4,14.9,92.4,"5,595",7,NA,NA,NA
11. Sun-Teton-Marias,"3,000-4,000'",213,80,6.3,0.8,10.6,"263,407","6,399",NA,NA,NA
,"4,000-5,000'",169,54,7.1,0.6,7.2,"86,825","2,559",NA,NA,NA
,"5,000-6,000'",112,120,7.5,6.6,59.9,"219,608",623,4.3 ( 4 ),5.1 ( 4 ),6.5 ( 3 )
,"6,000-7,000'",114,121,8.6,9.7,76.2,"291,067",562,10.3 ( 1 ),13.1 ( 1 ),7.0 ( 1 )
,"7,000-8,000'",115,118,10.6,11.9,82.5,"188,657",298,14.8 ( 1 ),18.2 ( 1 ),NA
,">8,000'",117,115,11.8,12.3,81.4,"13,121",20,NA,NA,NA
12. Tongue,"2,000-3,000'",154,9,3.4,0,0.6,"1,242",883,NA,NA,NA
,"3,000-4,000'",130,116,3.7,1.2,30.4,"184,809","2,794",NA,NA,NA
,"4,000-5,000'",112,94,4,1.5,34.7,"95,548","1,207",NA,NA,NA
,"5,000-6,000'",98,42,3.8,0.8,15.9,"2,134",51,NA,NA,NA
,"6,000-7,000'",93,89,4.5,3,45.9,"5,560",35,NA,NA,NA
,"7,000-8,000'",96,94,6.5,6.6,77.3,"42,315",120,6.6 ( 2 ),6.9 ( 2 ),NA
,"8,000-9,000'",84,85,6.1,6.5,66.6,"59,379",171,6.2 ( 4 ),6.7 ( 4 ),8.0 ( 2 )
,"9,000-10,000'",89,88,8.4,8.9,75.2,"55,154",116,NA,NA,9.3 ( 1 )
,"10,000-11,000'",100,93,11.1,11.7,90.2,"13,501",22,NA,NA,NA
,"11,000-12,000'",96,89,11.3,12.4,95.5,"1,272",2,NA,NA,NA
13. Upper Clark Fork,"3,000-4,000'",122,165,5.3,6.3,77.3,"52,741",157,NA,NA,NA
,"4,000-5,000'",122,138,6.2,6.5,70,"495,410","1,436",NA,NA,3.6 ( 4 )
,"5,000-6,000'",111,124,6.6,7.6,75.3,"808,093","1,986",4.8 ( 3 ),5.5 ( 3 ),3.8 ( 1 )
,"6,000-7,000'",106,120,6.5,8.2,71.8,"691,626","1,577",10.7 ( 2 ),12.9 ( 2 ),7.4 ( 6 )
,"7,000-8,000'",110,118,7.9,9.5,70,"334,302",661,9.3 ( 6 ),11.0 ( 6 ),9.1 ( 7 )
,"8,000-9,000'",104,116,9.5,11.4,78.6,"90,943",150,8.5 ( 1 ),9.9 ( 1 ),NA
,">9,000'",104,112,11.3,12.9,88.6,"11,924",17,NA,NA,NA
14. Upper Green,"7,000-8,000'",95,60,6.8,3.9,41.4,"1,332,444","6,360",9.9 ( 2 ),11.2 ( 2 ),NA
,"8,000-9,000'",95,89,8.6,8.8,80.2,"749,647","1,595",12.8 ( 7 ),14.7 ( 7 ),18.1 ( 1 )
,"9,000-10,000'",91,89,9.5,10.5,86,"499,603",892,9.6 ( 9 ),10.6 ( 10 ),9.3 ( 1 )
,"10,000-11,000'",91,91,11.1,12.8,88.8,"319,678",470,9.9 ( 2 ),10.8 ( 2 ),NA
,"11,000-12,000'",95,94,13,14.6,92.4,"150,409",193,NA,NA,NA
,"12,000-13,000'",93,92,13.4,14.6,91.4,"24,746",32,NA,NA,NA
,"13,000-14,000'",87,85,15,15.7,87,243,0,NA,NA,NA
15. Upper Missouri,"4,000-5,000'",191,232,6,3.8,51,"240,523","1,173",NA,NA,NA
,"5,000-6,000'",113,128,6.3,6.5,77.4,"366,411","1,058",NA,NA,NA
,"6,000-7,000'",100,104,6.9,8.2,83.6,"244,476",562,5.1 ( 1 ),6.0 ( 1 ),5.1 ( 2 )
,"7,000-8,000'",97,106,6.8,8.8,78.5,"62,282",132,6.2 ( 1 ),6.9 ( 1 ),7.2 ( 1 )
,">8,000'",106,119,9.5,11.6,85.2,"15,102",24,NA,NA,NA
16. Upper Snake Basins,"4,000-5,000'",96,88,2.8,2.1,32.8,"100,260",890,NA,NA,NA
,"5,000-6,000'",107,116,6.3,7.1,82,"719,602","1,909",NA,NA,NA
,"6,000-7,000'",103,106,9.1,10.6,88.5,"1,614,294","2,846",12.5 ( 6 ),14.5 ( 6 ),13.3 ( 9 )
,"7,000-8,000'",101,105,9.7,10.7,77.8,"470,182",821,16.4 ( 4 ),18.7 ( 4 ),18.3 ( 7 )
,"8,000-9,000'",109,115,12.6,15,88.2,"265,303",333,NA,NA,21.0 ( 3 )
,"9,000-10,000'",100,109,12.9,17,92.7,"60,830",67,26.5 ( 1 ),34.1 ( 1 ),NA
,"10,000-11,000'",98,106,14.3,18.5,95.4,"6,588",7,NA,NA,NA
17. Upper Yellowstone,"4,000-5,000'",216,199,5.2,2.2,35.4,"398,879","3,414",NA,NA,NA
,"5,000-6,000'",120,129,5.9,5.1,71.1,"483,330","1,793",4.4 ( 1 ),5.1 ( 1 ),NA
,"6,000-7,000'",94,103,6.1,6.9,82,"386,877","1,046",7.0 ( 4 ),8.2 ( 4 ),8.6 ( 1 )
,"7,000-8,000'",96,105,6.8,8.2,80.4,"593,079","1,359",9.7 ( 6 ),11.0 ( 6 ),5.2 ( 3 )
,"8,000-9,000'",113,121,8.8,10.4,82.5,"1,022,148","1,838",12.8 ( 5 ),14.7 ( 5 ),10.3 ( 3 )
,"9,000-10,000'",111,117,11,13,90.2,"817,583","1,183",16.7 ( 4 ),19.3 ( 4 ),6.9 ( 1 )
,"10,000-11,000'",98,100,12.2,13.5,91.4,"268,628",374,NA,NA,NA
,"11,000-12,000'",93,95,12.4,13.5,90.8,"42,902",60,NA,NA,NA
,"12,000-13,000'",104,99,12.3,13,86.3,"1,140",2,NA,NA,NA
18. Wood and Lost Basins,"5,000-6,000'",131,127,8.1,7.9,78.4,"1,162,131","2,754",12.7 ( 2 ),14.2 ( 2 ),5.2 ( 1 )
,"6,000-7,000'",111,111,8.7,9,86.6,"889,804","1,853",8.9 ( 4 ),9.6 ( 4 ),7.2 ( 5 )
,"7,000-8,000'",104,104,9.3,9.9,87.1,"724,610","1,378",11.1 ( 6 ),12.0 ( 6 ),4.7 ( 5 )
,"8,000-9,000'",98,100,10.3,11.2,86.8,"526,871",879,11.5 ( 3 ),12.8 ( 3 ),10.1 ( 2 )
,"9,000-10,000'",98,101,12.3,13.9,89.9,"322,428",436,12.6 ( 1 ),13.2 ( 1 ),NA
,"10,000-11,000'",97,101,13,15,92.7,"89,915",112,NA,NA,NA
,"11,000-12,000'",96,104,13.7,16,94.8,"7,266",8,NA,NA,NA
