,,5/17/2025,5/26/2025,5/17/2025,5/26/2025,5/26/2025,5/26/2025,5/26/2025,5/17/2025,5/26/2025
Basin,Elevation Band,%5/17 Avg.,%5/26 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Central Columbia,"3,000-4,000'",58,54,0.7,0.2,2.7,"7,693",658,0.0 ( 2 ),0.0 ( 2 )
,"4,000-5,000'",61,43,4.4,1.5,17.2,"44,998",548,0.7 ( 3 ),0.0 ( 3 )
,"5,000-6,000'",63,41,9.8,3.8,38.5,"106,432",527,6.5 ( 2 ),3.9 ( 2 )
,"6,000-7,000'",69,43,15.1,6.7,60.3,"115,801",324,27.5 ( 1 ),23.3 ( 1 )
,"7,000-8,000'",78,43,20.1,9,71.5,"36,183",75,NA,NA
,"8,000-9,000'",83,42,18.9,8.2,67.9,"1,353",3,NA,NA
2. Central Puget Sound,"3,000-4,000'",33,26,1.2,0.5,5.2,"13,498",555,14.8 ( 3 ),10.6 ( 3 )
,"4,000-5,000'",50,34,6.9,3.3,34.3,"79,685",451,14.6 ( 2 ),8.7 ( 2 )
,"5,000-6,000'",56,33,14.5,7.9,72.3,"76,466",182,NA,NA
,"6,000-7,000'",65,34,22.4,11.7,87.8,"28,459",46,NA,NA
,"7,000-8,000'",75,36,29.5,13.5,95.3,"3,259",5,NA,NA
,"8,000-9,000'",84,36,-,18.9,99.8,291,0,NA,NA
,">9,000'",41,22,23.3,11.1,100,57,0,NA,NA
3. Hood-Sandy-Lower Deschutes,"2,000-3,000'",0,0,0,0,0,0,"2,525",0.3 ( 1 ),0.0 ( 1 )
,"3,000-4,000'",10,7,0,0,0.1,256,"1,622",0.1 ( 4 ),0.0 ( 4 )
,"4,000-5,000'",54,41,0.8,0.2,2.3,"6,482",682,7.0 ( 3 ),4.2 ( 3 )
,"5,000-6,000'",82,55,6.6,2.3,24.4,"25,338",206,35.2 ( 1 ),15.3 ( 2 )
,"6,000-7,000'",81,47,21.8,9.3,75.2,"16,646",33,36.7 ( 1 ),30.6 ( 1 )
,"7,000-8,000'",86,41,37.2,14.9,89.8,"6,833",9,NA,NA
,"8,000-9,000'",98,40,-,24.5,95.6,"1,894",1,NA,NA
,"9,000-10,000'",101,38,-,33.3,95.9,"1,201",1,NA,NA
,">10,000'",116,44,-,33.2,99.1,513,0,NA,NA
4. Klamath,"4,000-5,000'",107,145,0,0,0,316,"4,328",0.1 ( 3 ),0.1 ( 3 )
,"5,000-6,000'",113,109,0.5,0.2,2.6,"18,944","2,236",5.3 ( 7 ),3.0 ( 7 )
,"6,000-7,000'",107,81,5,2,26,"59,648",551,15.9 ( 3 ),10.3 ( 3 )
,"7,000-8,000'",94,74,12,5.6,56,"24,836",84,0.0 ( 1 ),0.0 ( 1 )
,"8,000-9,000'",103,70,24.1,11.5,89.4,533,1,NA,NA
5. Lewis,"2,000-3,000'",14,14,0,0,0.1,60,271,0.9 ( 1 ),0.0 ( 2 )
,"3,000-4,000'",31,22,0.6,0.2,2,"2,072",217,18.2 ( 3 ),13.4 ( 3 )
,"4,000-5,000'",46,32,3.2,1.2,12.1,"4,840",76,52.7 ( 2 ),47.6 ( 2 )
,"5,000-6,000'",70,43,15.8,7.1,62.7,"4,476",12,NA,NA
,"6,000-7,000'",77,36,35.5,13.6,86.4,"2,869",4,NA,NA
,"7,000-8,000'",82,35,58.7,21,91.8,758,1,NA,NA
,">8,000'",84,34,63.3,22.2,98.7,343,0,NA,NA
6. Lower Cowlitz,"3,000-4,000'",25,28,0.2,0.1,0.9,528,135,0.0 ( 1 ),0.0 ( 1 )
,"4,000-5,000'",56,46,3.8,1.7,17.1,"3,712",42,25.0 ( 1 ),19.3 ( 1 )
,"5,000-6,000'",62,45,12.1,6,53.5,"2,183",7,NA,NA
,"6,000-7,000'",97,48,27.6,10.4,66.4,748,1,NA,NA
,"7,000-8,000'",105,42,33.2,9.2,46.9,379,1,NA,NA
7. Naches,"4,000-5,000'",59,34,0.7,0.1,1.7,"2,387",324,5.9 ( 2 ),0.3 ( 2 )
,"5,000-6,000'",72,42,5.1,1.4,15.4,"17,736",237,35.9 ( 2 ),30.3 ( 2 )
,"6,000-7,000'",74,46,13.5,5.5,52.6,"14,110",48,NA,NA
,"7,000-8,000'",74,38,27.4,10.3,82.9,528,1,NA,NA
8. North Puget Sound,"1,000-2,000'",38,34,0,0,0,24,325,NA,NA
,"2,000-3,000'",36,34,0.2,0.1,0.6,"1,271",423,0.0 ( 1 ),0.0 ( 1 )
,"3,000-4,000'",55,41,2.2,0.7,7.5,"20,331",515,23.8 ( 2 ),17.1 ( 2 )
,"4,000-5,000'",64,39,8.9,3.6,34,"95,391",492,26.1 ( 5 ),24.8 ( 5 )
,"5,000-6,000'",67,36,15.9,7,61.2,"144,522",385,36.7 ( 1 ),33.8 ( 1 )
,"6,000-7,000'",70,38,19.4,9.1,76.9,"73,993",152,25.0 ( 1 ),19.3 ( 1 )
,"7,000-8,000'",78,39,24.2,11.3,86.3,"10,848",18,NA,NA
,"8,000-9,000'",95,48,44.3,17.3,95.1,"1,070",1,NA,NA
9. Olympic,"4,000-5,000'",80,50,8.3,3.8,34.6,"26,476",131,16.8 ( 2 ),14.2 ( 2 )
,"5,000-6,000'",78,44,17.6,7.9,64.7,"36,541",87,18.8 ( 1 ),11.8 ( 1 )
,">6,000'",81,44,21.3,9.2,71.3,"9,997",20,NA,NA
10. Rogue-Umpqua,"3,000-4,000'",6,0,0,0,0,0,"1,688",0.0 ( 1 ),0.0 ( 1 )
,"4,000-5,000'",57,56,0.2,0,0.6,"1,743",917,0.0 ( 2 ),0.0 ( 2 )
,"5,000-6,000'",108,100,5.2,2,24.9,"59,412",554,0.1 ( 2 ),0.0 ( 2 )
,"6,000-7,000'",96,70,15.2,6.5,65.7,"67,752",195,20.2 ( 1 ),11.2 ( 1 )
,"7,000-8,000'",92,51,26.7,10.2,79.5,"8,795",16,NA,NA
,"8,000-9,000'",99,50,32.6,11.1,80.7,401,1,NA,NA
11. South Puget Sound,"2,000-3,000'",0,200,0,0,0,22,408,0.1 ( 2 ),0.0 ( 2 )
,"3,000-4,000'",5,5,0,0,0.1,159,376,1.5 ( 8 ),0.4 ( 8 )
,"4,000-5,000'",39,29,1.4,0.4,4.9,"4,739",223,0.1 ( 1 ),0.0 ( 1 )
,"5,000-6,000'",62,38,10.6,4.3,42.3,"23,053",100,40.8 ( 2 ),35.6 ( 2 )
,"6,000-7,000'",72,38,25.6,10.5,83.7,"19,002",34,NA,NA
,"7,000-8,000'",86,37,50.6,18.1,95.8,"3,815",4,NA,NA
,"8,000-9,000'",97,37,-,36.3,98,"1,870",1,NA,NA
,"9,000-10,000'",49,18,-,21.3,99.3,549,0,NA,NA
,"10,000-11,000'",138,45,-,54.4,99.4,"2,522",1,NA,NA
,"11,000-12,000'",142,47,-,57.3,98.8,"2,064",1,NA,NA
,"12,000-13,000'",121,37,-,-,100,-,0,NA,NA
,">13,000'",126,38,-,-,100,-,0,NA,NA
12. Upper Columbia,"3,000-4,000'",172,125,0,0,0,83,"2,568",NA,NA
,"4,000-5,000'",156,150,0.3,0.1,0.9,"4,989","1,451",0.0 ( 4 ),0.0 ( 4 )
