, ,4/27/2025,5/3/2025,4/27/2025,5/3/2025,5/3/2025,5/3/2025,5/3/2025,4/27/2025,5/3/2025,5/1/2025
Basin,Elevation Band,%4/27 Avg.,%5/3 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows,Surveys
1. Central Columbia,"3,000-4,000'",67,49,1.9,1,5.9,"34,325",658,5.9 ( 2 ),2.5 ( 2 ),NA
,"4,000-5,000'",85,53,10.5,5.2,29.7,"152,925",548,8.4 ( 3 ),5.4 ( 3 ),NA
,"5,000-6,000'",93,58,22.1,11.2,60.2,"315,642",527,13.3 ( 2 ),9.6 ( 2 ),NA
,"6,000-7,000'",91,53,29.9,15.4,77.7,"266,791",324,38.8 ( 1 ),34.5 ( 1 ),NA
,"7,000-8,000'",91,50,35,17.5,83.2,"70,374",75,NA,NA,NA
,"8,000-9,000'",89,52,34.4,16.4,80.4,"2,706",3,NA,NA,NA
2. Central Puget Sound,"3,000-4,000'",44,40,2.8,1.9,11.6,"56,427",555,29.2 ( 3 ),24.4 ( 3 ),NA
,"4,000-5,000'",75,53,14,8.8,48.4,"210,640",451,31.4 ( 2 ),25.6 ( 2 ),NA
,"5,000-6,000'",92,52,29.1,16,79.5,"155,950",182,NA,NA,NA
,"6,000-7,000'",85,44,37.8,19.9,91.9,"48,370",46,NA,NA,NA
,"7,000-8,000'",82,42,41.9,20.6,95.8,"4,979",5,NA,NA,NA
,"8,000-9,000'",90,39,56,26.7,100,412,0,NA,NA,NA
,">9,000'",146,55,-,36.2,100,187,0,NA,NA,NA
3. Hood-Sandy-Lower Deschutes,"2,000-3,000'",0,4,0,0,0,9,"2,525",0.1 ( 1 ),0.2 ( 1 ),NA
,"3,000-4,000'",41,22,0.2,0.1,0.4,"5,201","1,622",3.4 ( 4 ),1.2 ( 4 ),NA
,"4,000-5,000'",121,72,4.1,1.6,10.6,"56,587",682,16.0 ( 3 ),12.7 ( 3 ),1.1 ( 2 )
,"5,000-6,000'",121,82,17.9,9.3,52.6,"102,222",206,24.9 ( 2 ),22.4 ( 2 ),NA
,"6,000-7,000'",103,56,36.5,19.2,89.3,"34,241",33,46.9 ( 1 ),43.9 ( 1 ),NA
,"7,000-8,000'",95,44,48.3,23,94.2,"10,534",9,NA,NA,NA
,"8,000-9,000'",102,40,-,31.8,96.9,"2,455",1,NA,NA,NA
,"9,000-10,000'",104,37,-,38.7,96.1,"1,393",1,NA,NA,NA
,">10,000'",112,41,-,37.4,99.1,578,0,NA,NA,NA
4. Klamath,"4,000-5,000'",147,32,0.1,0,0.1,"2,078","4,328",0.2 ( 3 ),0.1 ( 3 ),0.0 ( 1 )
,"5,000-6,000'",144,87,1.7,0.8,6.3,"96,132","2,236",13.7 ( 7 ),10.8 ( 7 ),NA
,"6,000-7,000'",131,88,11.9,6.9,46,"203,779",551,28.5 ( 3 ),24.1 ( 3 ),25.4 ( 2 )
,"7,000-8,000'",121,82,21.5,14.7,81.3,"65,703",84,0.3 ( 1 ),0.0 ( 1 ),NA
,"8,000-9,000'",121,73,30.2,22.2,96.1,"1,030",1,NA,NA,NA
5. Lewis,"2,000-3,000'",32,21,0.1,0,0.2,391,271,0.8 ( 1 ),0.5 ( 2 ),NA
,"3,000-4,000'",45,38,1.9,1.1,6.5,"12,443",217,31.8 ( 3 ),27.8 ( 3 ),NA
,"4,000-5,000'",64,55,6.7,4.3,24.8,"17,406",76,65.1 ( 2 ),61.4 ( 2 ),NA
,"5,000-6,000'",92,59,23.8,13.7,69.9,"8,582",12,NA,NA,NA
,"6,000-7,000'",86,41,40.5,20.8,90.5,"4,385",4,NA,NA,NA
,"7,000-8,000'",77,33,51,25.2,93.5,907,1,NA,NA,NA
,">8,000'",82,35,64.8,27.4,94.1,424,0,NA,NA,NA
6. Lower Cowlitz,"3,000-4,000'",64,53,1.4,0.7,5,"5,300",135,0.0 ( 1 ),0.0 ( 1 ),NA
,"4,000-5,000'",95,70,11.2,6.6,37.8,"14,528",42,36.7 ( 1 ),32.8 ( 1 ),NA
