,,3/1/2025,3/15/2025,3/1/2025,3/15/2025,3/15/2025,3/15/2025,3/15/2025,3/1/2025,3/15/2025
Basin,Elevation Band,%3/1 Avg.,%3/15 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Central Columbia,"3,000-4,000'",123,113,12.4,8.6,61.2,"301,296",658,21.5 ( 2 ),26.3 ( 1 )
,"4,000-5,000'",116,91,18.1,14.3,71.8,"416,326",547,14.7 ( 3 ),14.7 ( 3 )
,"5,000-6,000'",116,100,24.5,21.3,80.3,"597,268",526,17.2 ( 2 ),18.3 ( 2 )
,"6,000-7,000'",115,113,30.7,29.4,86.8,"507,913",324,37.1 ( 1 ),37.3 ( 1 )
,"7,000-8,000'",114,124,35.2,37.4,88.1,"150,457",75,NA,NA
,"8,000-9,000'",120,121,33.6,27.7,76,"4,563",3,NA,NA
2. Central Puget Sound,"3,000-4,000'",142,59,4.3,2.5,16,"74,531",555,26.3 ( 3 ),29.7 ( 3 )
,"4,000-5,000'",163,86,12.9,8.4,32.6,"202,528",451,31.3 ( 2 ),34.1 ( 2 )
,"5,000-6,000'",150,113,24.7,18.7,54.1,"181,641",182,NA,NA
,"6,000-7,000'",116,113,32.7,29.7,73.1,"72,216",46,NA,NA
,"7,000-8,000'",110,119,36.6,35.2,80.3,"8,518",5,NA,NA
,"8,000-9,000'",102,138,49.6,-,90.9,-,0,NA,NA
,">9,000'",165,66,-,29.9,88.8,154,0,NA,NA
3. Hood-Sandy-Lower Deschutes,"2,000-3,000'",77,44,0.3,0.1,1.2,"8,586","2,525",0.2 ( 1 ),1.2 ( 1 )
,"3,000-4,000'",64,54,1.3,0.8,8.8,"70,670","1,622",11.4 ( 4 ),11.6 ( 4 )
,"4,000-5,000'",97,84,6.4,5.3,33.6,"193,385",682,22.7 ( 3 ),21.9 ( 3 )
,"5,000-6,000'",130,116,18.5,17.1,65.9,"186,967",206,27.4 ( 2 ),27.6 ( 2 )
,"6,000-7,000'",127,132,35.8,39.8,90.6,"71,023",33,41.7 ( 1 ),41.5 ( 1 )
,"7,000-8,000'",114,133,48.3,64.1,97.7,"29,372",9,NA,NA
,"8,000-9,000'",111,170,67.3,-,99.3,-,1,NA,NA
,"9,000-10,000'",105,156,-,-,97.6,-,1,NA,NA
,">10,000'",113,177,-,-,100,-,0,NA,NA
4. Klamath,"4,000-5,000'",221,320,5,2.5,41.8,"575,963","4,322",7.3 ( 3 ),6.5 ( 3 )
