,,5/17/2025,5/26/2025,5/17/2025,5/26/2025,5/26/2025,5/26/2025,5/26/2025,5/17/2025,5/26/2025
Basin,Elevation Band,%5/17 Avg.,%5/26 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
21. Lower Snake-Tucannon,"4,000-5,000'",82,0,0.1,0,0,0,66,NA,NA
,"5,000-6,000'",132,72,1.9,0.1,2.4,303,41,NA,NA
,"6,000-7,000'",105,130,6.5,2.3,34.6,229,2,NA,NA
22. Lower Yakima,"3,000-4,000'",0,NA,0,0,0,0,315,NA,NA
,"4,000-5,000'",75,48,0.4,0,0.8,219,126,NA,NA
,"5,000-6,000'",88,81,3.5,0.9,13.2,"1,824",39,2.6 ( 2 ),0.0 ( 2 )
,"6,000-7,000'",84,88,8.6,4.2,42.4,"2,006",9,NA,NA
23. Malheur,"5,000-6,000'",>300† ,17,0.2,0,0,16,863,0.0 ( 3 ),0.0 ( 3 )
,"6,000-7,000'",174,79,2.6,0.3,4.2,"1,543",103,NA,NA
,"7,000-8,000'",96,130,6.9,4.6,56,"6,406",26,NA,NA
,"8,000-9,000'",74,83,11.7,7.4,79.8,153,0,NA,NA
24. Middle Humboldt,"6,000-7,000'",>300† ,0,0,0,0,0,475,NA,NA
,"7,000-8,000'",>300† ,23,0.1,0,0,3,144,NA,NA
,"8,000-9,000'",182,91,0.5,0,0.6,18,13,NA,NA
,"9,000-10,000'",116,56,1,0.1,1.8,2,1,NA,NA
25. Northern Big Smoky Valley,"7,000-8,000'",105,0,0,0,0,0,312,NA,NA
,"8,000-9,000'",54,13,0.1,0,0.1,18,158,NA,NA
,"9,000-10,000'",52,36,0.6,0.1,2.2,400,71,NA,NA
,"10,000-11,000'",52,48,1.2,0.4,6.8,533,26,NA,NA
,"11,000-12,000'",44,33,0.6,0.3,7.8,50,3,NA,NA
26. Northern Great Basin,"6,000-7,000'",78,9,0,0,0,8,"1,932",0.0 ( 1 ),0.0 ( 1 )
,"7,000-8,000'",123,35,0.3,0,0.4,251,253,0.0 ( 1 ),0.0 ( 1 )
