,,3/31/2025,4/6/2025,3/31/2025,4/6/2025,4/6/2025,4/6/2025,4/6/2025,3/31/2025,4/6/2025
Basin,Elevation Band,%3/31 Avg.,%4/6 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Central Columbia,"3,000-4,000'",71,84,4.5,4.2,19.9,"147,046",658,20.9 ( 2 ),18.9 ( 2 )
,"4,000-5,000'",67,86,12,15.3,53.7,"447,165",547,17.2 ( 3 ),16.3 ( 3 )
,"5,000-6,000'",72,94,19.6,27.4,73.5,"767,870",526,18.4 ( 2 ),18.7 ( 2 )
,"6,000-7,000'",85,100,27.9,36.2,80.8,"626,174",324,39.5 ( 1 ),41.1 ( 1 )
,"7,000-8,000'",101,108,37.6,43.6,84.7,"175,360",75,NA,NA
,"8,000-9,000'",108,113,32.3,41.7,84,"6,869",3,NA,NA
2. Central Puget Sound,"3,000-4,000'",4,23,0.2,1.9,7.5,"55,943",555,34.0 ( 3 ),35.7 ( 3 )
,"4,000-5,000'",14,39,2.1,8.2,21.7,"197,896",451,37.2 ( 2 ),37.6 ( 2 )
,"5,000-6,000'",32,61,7.1,20.1,41.5,"195,731",182,NA,NA
,"6,000-7,000'",54,75,14.4,33.3,62.8,"80,826",46,NA,NA
,"7,000-8,000'",65,83,22.1,43,84.4,"10,409",5,NA,NA
,"8,000-9,000'",117,110,-,-,96,-,0,NA,NA
,">9,000'",197,157,-,-,88.8,-,0,NA,NA
3. Hood-Sandy-Lower Deschutes,"2,000-3,000'",59,82,0,0,0.3,"3,607","2,525",0.0 ( 1 ),0.2 ( 1 )
,"3,000-4,000'",63,84,0.8,0.8,5.8,"72,290","1,622",13.8 ( 4 ),13.5 ( 4 )
,"4,000-5,000'",97,126,6.9,7.8,35.7,"285,544",682,26.1 ( 3 ),25.4 ( 3 )
,"5,000-6,000'",125,135,23.7,25.4,73,"278,522",206,31.5 ( 2 ),31.3 ( 2 )
,"6,000-7,000'",136,129,53,51.7,93.3,"92,271",33,49.6 ( 1 ),49.6 ( 1 )
,"7,000-8,000'",130,123,-,71.3,96.4,"32,674",9,NA,NA
,"8,000-9,000'",134,126,-,-,98.6,-,1,NA,NA
,"9,000-10,000'",131,124,-,-,96,-,1,NA,NA
,">10,000'",140,136,-,-,98.8,-,0,NA,NA
4. Klamath,"4,000-5,000'",>200†,>200†,1.7,1.3,12.8,"288,969","4,322",6.2 ( 3 ),5.9 ( 3 )
,"5,000-6,000'",193,>200†,7.9,7.8,54,"937,757","2,240",21.2 ( 9 ),20.1 ( 8 )
,"6,000-7,000'",147,153,24.5,23.6,84,"695,186",552,41.7 ( 3 ),42.8 ( 3 )
,"7,000-8,000'",149,147,35.8,34.7,89.7,"152,512",82,12.6 ( 1 ),13.4 ( 1 )
,"8,000-9,000'",161,155,-,-,96.6,-,1,NA,NA
5. Lewis,"2,000-3,000'",11,45,0.1,0.3,1.9,"4,185",271,0.0 ( 2 ),0.0 ( 2 )
,"3,000-4,000'",26,44,1.7,2.9,11.5,"32,995",217,39.2 ( 3 ),38.9 ( 3 )
,"4,000-5,000'",38,57,4.9,7.2,21.5,"29,334",76,68.5 ( 2 ),69.3 ( 2 )
,"5,000-6,000'",98,111,27.2,32.6,69.5,"20,487",12,NA,NA
,"6,000-7,000'",122,114,65,58.1,86.3,"12,271",4,NA,NA
,"7,000-8,000'",107,102,-,69,87.5,"2,485",1,NA,NA
,">8,000'",108,105,-,-,99.9,-,0,NA,NA
6. Lower Cowlitz,"3,000-4,000'",61,88,2.9,3.9,19.9,"27,714",135,4.1 ( 1 ),1.0 ( 1 )
,"4,000-5,000'",99,114,15.1,18.4,60.9,"40,750",42,42.1 ( 1 ),42.7 ( 1 )
,"5,000-6,000'",109,124,31.3,39,85.6,"14,253",7,NA,NA
,"6,000-7,000'",130,111,47.8,37.1,69.6,"2,674",1,NA,NA
,"7,000-8,000'",150,142,61.2,50.3,80.4,"2,071",1,NA,NA
7. Naches,"4,000-5,000'",90,128,4.7,5.3,30.9,"90,997",324,26.5 ( 2 ),26.3 ( 2 )
,"5,000-6,000'",73,118,9.9,16.3,58.7,"205,821",237,54.3 ( 2 ),54.4 ( 2 )
,"6,000-7,000'",111,129,28.3,33.6,85,"85,514",48,NA,NA
,"7,000-8,000'",111,110,50.7,51.5,94.9,"2,653",1,NA,NA
8. North Puget Sound,"1,000-2,000'",7,26,0,0,0.1,261,325,NA,NA
,"2,000-3,000'",8,23,0.1,0.3,1.7,"7,016",423,23.6 ( 1 ),22.7 ( 1 )
,"3,000-4,000'",16,32,1.2,2.5,8.8,"69,684",515,36.3 ( 2 ),37.6 ( 2 )
