,,4/13/2025,4/20/2025,4/13/2025,4/20/2025,4/20/2025,4/20/2025,4/20/2025,4/13/2025,4/20/2025
Basin,Elevation Band,%4/13 Avg.,%4/20 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows
1. Bear,"5,000-6,000'",12,288,0,0.1,2.7,"8,829","1,145",NA,NA
,"6,000-7,000'",67,172,0.7,1.1,13.3,"143,378","2,441",0.6 ( 3 ),0.1 ( 3 )
,"7,000-8,000'",86,130,4.4,5.3,46.4,"504,637","1,791",12.4 ( 6 ),10.6 ( 6 )
,"8,000-9,000'",96,102,12.8,14.2,89.3,"441,832",585,20.8 ( 7 ),19.9 ( 7 )
,"9,000-10,000'",90,91,14.4,15.7,92.8,"119,258",142,9.3 ( 2 ),8.4 ( 2 )
,"10,000-11,000'",85,84,15.9,16.9,92.6,"54,156",60,NA,NA
,"11,000-12,000'",83,80,18.1,16.7,86,"14,014",16,NA,NA
,"12,000-13,000'",81,86,16.5,18.2,91.3,748,1,NA,NA
2. Beaver,"6,000-7,000'",0,52,0,0,0.4,7,481,NA,NA
,"7,000-8,000'",1,52,0,0.1,5.1,627,181,NA,NA
,"8,000-9,000'",34,64,0.8,1.1,24.5,"4,557",77,7.5 ( 1 ),6.5 ( 1 )
,"9,000-10,000'",81,61,5.2,3.5,55.5,"12,173",66,NA,NA
,"10,000-11,000'",85,58,9.9,6.9,76,"9,413",25,14.9 ( 1 ),15.0 ( 1 )
,"11,000-12,000'",91,62,16.4,11.2,96.4,"2,831",5,NA,NA
3. Blue§,"7,000-8,000'",0,42,0,0,1.4,74,32,NA,NA
,"8,000-9,000'",55,173,1.2,2.8,31.5,"14,863",100,NA,NA
,"9,000-10,000'",86,114,5.5,5.8,66.5,"44,260",144,8.1 ( 1 ),5.2 ( 1 )
,"10,000-11,000'",78,80,7.1,11.8,67.5,"99,277",158,18.1 ( 2 ),17.6 ( 2 )
,"11,000-12,000'",78,81,12.8,17.8,82.8,"157,469",166,18.8 ( 2 ),18.5 ( 2 )
,"12,000-13,000'",80,84,15.2,17.6,92.8,"61,232",65,NA,NA
,">13,000'",77,82,14.9,16.9,98,"5,319",6,NA,NA
4. Canadian,"8,000-9,000'",2,26,0,0,0.5,152,735,NA,NA
,"9,000-10,000'",7,39,0,0.1,6.9,"2,578",365,0.1 ( 1 ),0.1 ( 1 )
,"10,000-11,000'",20,53,0.4,1,29.1,"6,931",132,0.3 ( 2 ),0.4 ( 2 )
,"11,000-12,000'",43,56,3.3,3.2,57.6,"5,104",30,NA,NA
,"12,000-13,000'",53,58,6.5,6.5,93,871,3,NA,NA
5. Colorado Headwaters§,"5,000-6,000'",0,0,0,0,0,0,1,NA,NA
,"6,000-7,000'",0,0,0,0,0,0,84,NA,NA
,"7,000-8,000'",8,108,0,0.2,3.4,"4,011",431,NA,NA
,"8,000-9,000'",65,141,2,2.6,36.8,"117,993",836,4.9 ( 2 ),1.8 ( 2 )
,"9,000-10,000'",89,98,7.3,7.1,67.8,"308,582",819,9.5 ( 4 ),8.4 ( 4 )
,"10,000-11,000'",87,81,13.3,13.5,81.1,"333,419",465,19.3 ( 5 ),18.7 ( 5 )
,"11,000-12,000'",87,85,19.3,20.6,89.9,"229,436",209,21.3 ( 2 ),21.2 ( 2 )
,">12,000'",85,88,14.4,17.5,94.8,"27,947",30,NA,NA
6. Colorado Headwaters-Plateau,"7,000-8,000'",14,77,0.1,0.2,3.3,"6,503",693,NA,NA
,"8,000-9,000'",52,95,1.7,2.3,32.2,"79,547",644,NA,NA
,"9,000-10,000'",77,73,8.2,7.2,70.7,"106,344",277,NA,NA
,"10,000-11,000'",84,66,12,10.2,79.3,"99,542",183,11.8 ( 1 ),10.3 ( 1 )
,"11,000-12,000'",100,91,22.2,20.8,95.6,"5,684",5,NA,NA
7. Eagle,"7,000-8,000'",19,141,0.1,0.2,3.9,"1,971",155,NA,NA
,"8,000-9,000'",63,103,2.1,2.4,28.6,"23,261",181,9.4 ( 1 ),7.5 ( 1 )
,"9,000-10,000'",79,87,5.8,5.9,54.8,"62,349",199,10.8 ( 1 ),9.3 ( 1 )
,"10,000-11,000'",74,72,7.3,8.3,64.8,"96,545",219,13.4 ( 1 ),11.6 ( 1 )
,"11,000-12,000'",81,80,13.9,15,83.8,"106,150",132,NA,NA
,"12,000-13,000'",84,85,17.7,18.8,94.9,"32,145",32,NA,NA
,"13,000-14,000'",86,82,17.6,17.2,93,"1,862",2,NA,NA
8. Gila,"6,000-7,000'",0,0,0,0,0,0,"1,912",NA,NA
,"7,000-8,000'",0,0,0,0,0,0,"2,100",NA,NA
,"8,000-9,000'",0,0,0,0,0,0,793,0.0 ( 5 ),0.0 ( 5 )
,"9,000-10,000'",0,21,0,0,1.1,116,109,0.0 ( 1 ),0.0 ( 1 )
,"10,000-11,000'",0,69,0,0.3,11.2,140,10,NA,NA
9. Gunnison§,"7,000-8,000'",11,41,0,0,0.6,"1,620","1,020",NA,NA
,"8,000-9,000'",42,64,0.9,0.7,11.3,"61,250","1,710",6.1 ( 1 ),2.0 ( 1 )
,"9,000-10,000'",60,82,3.2,3.4,47.5,"285,945","1,555",7.3 ( 4 ),5.4 ( 4 )
,"10,000-11,000'",68,69,5.7,5.9,66.1,"386,731","1,223",12.5 ( 3 ),10.6 ( 3 )
,"11,000-12,000'",75,69,10.4,9.8,82.6,"334,545",642,9.6 ( 3 ),7.7 ( 3 )
,"12,000-13,000'",78,70,13.8,12.7,96.7,"179,861",266,NA,NA
,"13,000-14,000'",75,68,13.3,12.8,97.7,"12,213",18,NA,NA
10. Little Colorado,"6,000-7,000'",>300†,113,0,0,0.1,16,"9,987",NA,NA
,"7,000-8,000'",20,104,0,0,1.4,"1,777","5,626",0.1 ( 2 ),0.7 ( 2 )
,"8,000-9,000'",14,129,0,0.1,6.6,"4,208",600,0.3 ( 1 ),1.6 ( 1 )
,"9,000-10,000'",7,39,0.1,0.3,12.3,"2,311",147,5.2 ( 2 ),4.0 ( 2 )
,"10,000-11,000'",29,55,1,2.3,45.6,"1,969",16,NA,NA
,">11,000'",47,56,4.5,6.3,91.6,"1,294",4,NA,NA
11. Lower Colorado Mainstream,"5,000-6,000'",0,0,0,0,0,0,"5,722",NA,NA
,"6,000-7,000'",8,33,0,0,0.1,57,"3,476",NA,NA
,"7,000-8,000'",3,25,0,0,5.8,"1,649",872,0.0 ( 1 ),0.0 ( 1 )
,"8,000-9,000'",11,33,0.2,0.4,47.9,"12,700",542,0.0 ( 1 ),0.1 ( 1 )
,"9,000-10,000'",57,48,2.4,1.9,60.1,"8,139",81,5.6 ( 2 ),4.0 ( 2 )
,"10,000-11,000'",79,47,5.3,2.8,43.2,188,1,NA,NA
12. Lower Green§,"7,000-8,000'",25,84,0.2,0.3,6.3,"37,141","2,253",0.9 ( 1 ),0.3 ( 1 )
,"8,000-9,000'",52,83,2.2,2.5,34.7,"232,920","1,766",4.1 ( 10 ),3.0 ( 10 )
,"9,000-10,000'",80,80,7.8,7.5,75.7,"360,637",899,9.8 ( 8 ),8.6 ( 8 )
,"10,000-11,000'",85,80,12.8,12.1,93.5,"324,383",503,13.0 ( 5 ),13.0 ( 5 )
,"11,000-12,000'",80,82,13.5,14,91.8,"148,140",199,NA,NA
,">12,000'",77,79,13.3,14.7,90.4,"21,389",27,NA,NA
13. Lower Rio Grande,"8,000-9,000'",0,2,0,0,0,29,"1,497",0.0 ( 3 ),0.2 ( 3 )
,"9,000-10,000'",0,24,0,0.1,2.7,"1,466",248,0.1 ( 1 ),0.8 ( 1 )
,"10,000-11,000'",19,66,0.5,1.5,30.1,"3,684",47,0.0 ( 1 ),0.5 ( 1 )
,"11,000-12,000'",34,47,1.9,2.1,35.6,286,3,0.1 ( 1 ),0.1 ( 1 )
14. Lower Sevier,"6,000-7,000'",9,>300†,0,0.1,4.1,"1,629",500,18.2 ( 1 ),16.6 ( 1 )
,"7,000-8,000'",30,146,0.4,1,22,"13,900",252,3.3 ( 2 ),1.7 ( 2 )
,"8,000-9,000'",64,90,2.8,3.2,47,"19,093",113,NA,NA
,"9,000-10,000'",100,73,10.6,7.1,79.9,"12,161",32,14.4 ( 1 ),13.1 ( 1 )
15. Pecos,"9,000-10,000'",3,11,0,0,0.7,137,195,NA,NA
,"10,000-11,000'",23,64,0.4,0.9,21.4,"4,793",96,0.3 ( 2 ),0.4 ( 2 )
,"11,000-12,000'",49,65,3.3,3.5,60.9,"7,068",38,NA,NA
,"12,000-13,000'",55,58,6.4,6.1,84.4,718,2,NA,NA
16. Provo-Utah Lake-Jordan§,"5,000-6,000'",20,29,0,0,0.1,21,678,NA,NA
,"6,000-7,000'",35,114,0.1,0.2,4.1,"8,731",702,NA,NA
,"7,000-8,000'",76,108,2.3,2.6,35.5,"91,022",656,11.0 ( 5 ),8.3 ( 5 )
,"8,000-9,000'",85,87,8.5,7.8,75.1,"164,223",394,20.4 ( 8 ),18.3 ( 8 )
,"9,000-10,000'",85,77,14.7,13.5,92.3,"145,490",202,23.1 ( 4 ),22.5 ( 4 )
,"10,000-11,000'",87,73,18.4,16.6,91.4,"41,592",47,NA,NA
,"11,000-12,000'",86,70,18.8,15.2,89.2,"1,019",1,NA,NA
17. Rio Chama-Upper Rio Grande,"7,000-8,000'",0,0,0,0,0,0,"2,421",NA,NA
,"8,000-9,000'",0,9,0,0,2,724,"1,222",0.2 ( 2 ),0.5 ( 2 )
,"9,000-10,000'",13,38,0.3,0.5,21.1,"22,591",844,0.3 ( 4 ),0.6 ( 4 )
,"10,000-11,000'",35,51,1.9,2.1,40.6,"59,012",532,4.1 ( 5 ),2.5 ( 5 )
,"11,000-12,000'",39,48,3.1,3.4,51.6,"29,247",161,8.8 ( 1 ),8.4 ( 1 )
,"12,000-13,000'",54,59,6.2,6.7,85.4,"9,382",26,NA,NA
18. Rio Grande Headwaters,"7,000-8,000'",0,0,0,0,0,0,"2,671",NA,NA
,"8,000-9,000'",0,66,0,0,3.2,"2,222","1,418",NA,NA
,"9,000-10,000'",9,69,0.1,0.9,30.2,"60,022","1,262",0.1 ( 3 ),0.6 ( 3 )
,"10,000-11,000'",36,71,1.8,3.5,57.1,"212,781","1,149",3.2 ( 5 ),1.4 ( 5 )
,"11,000-12,000'",60,70,6.4,7.2,76.3,"323,682",839,7.1 ( 5 ),6.7 ( 5 )
,"12,000-13,000'",65,65,9.1,9.2,87.6,"119,526",244,NA,NA
,"13,000-14,000'",63,63,8.4,9,84.9,"5,773",12,NA,NA
19. Roaring Fork§,"7,000-8,000'",11,59,0,0.1,2.4,"1,009",197,NA,NA
,"8,000-9,000'",48,91,1.5,1.5,22.9,"20,803",259,2.0 ( 1 ),0.1 ( 1 )
,"9,000-10,000'",71,77,5.1,5.2,52.4,"74,054",269,10.1 ( 2 ),7.7 ( 2 )
,"10,000-11,000'",74,69,9.1,11.4,71.8,"161,172",266,17.1 ( 4 ),16.2 ( 4 )
,"11,000-12,000'",81,76,16.2,17.2,90.4,"233,962",254,NA,NA
,"12,000-13,000'",83,77,18.9,19.1,96.9,"111,160",109,NA,NA
,"13,000-14,000'",84,77,19.1,17.8,95.8,"6,057",6,NA,NA
20. Salt,"6,000-7,000'",0,0,0,0,0,0,"1,253",NA,NA
,"7,000-8,000'",0,6,0,0,0.3,29,510,0.0 ( 3 ),0.2 ( 3 )
,"8,000-9,000'",0,6,0,0,1.6,152,400,0.0 ( 2 ),0.0 ( 2 )
,"9,000-10,000'",1,17,0,0.1,7.5,893,166,0.0 ( 2 ),0.0 ( 2 )
,">10,000'",7,35,0.3,0.9,26.4,"1,477",31,NA,NA
21. San Juan,"7,000-8,000'",0,2,0,0,0.1,52,"3,746",NA,NA
,"8,000-9,000'",1,21,0,0.1,9,"6,413","1,064",0.1 ( 2 ),0.1 ( 2 )
,"9,000-10,000'",20,57,0.6,1.7,41.4,"52,024",581,1.1 ( 4 ),0.3 ( 4 )
,"10,000-11,000'",53,64,4,5.3,70.7,"123,874",438,10.4 ( 8 ),8.2 ( 8 )
,"11,000-12,000'",67,67,9.6,9.9,88.4,"210,904",399,16.2 ( 2 ),15.3 ( 2 )
,"12,000-13,000'",72,67,13.3,12.5,96.8,"114,517",172,NA,NA
,"13,000-14,000'",75,64,15.1,13.5,97.1,"5,138",7,NA,NA
22. San Pitch,"5,000-6,000'",0,0,0,0,0,0,269,NA,NA
,"6,000-7,000'",0,82,0,0,0.3,170,217,NA,NA
,"7,000-8,000'",30,110,0.4,0.9,16.5,"7,137",141,NA,NA
,"8,000-9,000'",76,78,5.6,4.7,55.4,"29,553",118,7.6 ( 4 ),6.1 ( 4 )
,"9,000-10,000'",83,76,12.3,10.8,84.9,"44,551",77,17.6 ( 1 ),17.0 ( 1 )
,"10,000-11,000'",80,78,16.2,15.4,96.3,"29,004",35,18.9 ( 1 ),18.2 ( 1 )
23. South Platte§,"7,000-8,000'",0,2,0,0,0,71,"1,416",NA,NA
,"8,000-9,000'",9,80,0,0.3,6.6,"25,656","1,466",3.1 ( 3 ),3.1 ( 3 )
