, ,3/15/2025,3/31/2025,3/15/2025,3/31/2025,3/31/2025,3/31/2025,3/31/2025,3/15/2025,3/31/2025,3/31/2025
Basin,Elevation Band,%3/15 Avg.,%3/31 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows,Surveys
12. Harney-Malheur Lakes,"5,000-6,000'",171,>200†,4.1,2.8,32,"37,510",248,NA,NA,0.8 ( 1 )
,"6,000-7,000'",141,163,8.5,5.1,46.8,"7,640",28,NA,NA,NA
13. John Day,"5,000-6,000'",104,130,4.5,4,33,"256,918","1,199",19.8 ( 2 ),20.0 ( 2 ),NA
,"6,000-7,000'",106,105,11.8,11.4,54,"150,823",249,NA,NA,NA
,"7,000-8,000'",119,121,20,21.2,71.3,"59,631",53,NA,NA,NA
,"8,000-9,000'",134,142,19.3,27.6,85.2,"2,557",2,NA,NA,NA
14. Kootenai,"4,000-5,000'",71,44,1.6,1,7.5,"45,146",887,11.5 ( 2 ),12.0 ( 2 ),NA
,"5,000-6,000'",79,42,4.7,3.2,17.5,"103,323",612,20.2 ( 2 ),23.7 ( 2 ),21.4 ( 2 )
,"6,000-7,000'",100,32,9.3,4,16.7,"35,718",166,28.7 ( 1 ),32.5 ( 1 ),NA
,">7,000'",128,53,15,9.4,33.2,"3,909",8,NA,NA,NA
15. Lake County-Goose Lake,"5,000-6,000'",>200†,>200†,3.8,2.8,27.5,"407,043","2,688",4.6 ( 1 ),0.8 ( 1 ),2.4 ( 1 )
,"6,000-7,000'",152,159,12.5,12.2,73,"518,916",797,NA,NA,20.1 ( 4 )
,"7,000-8,000'",138,147,20.5,23.5,92.5,"144,231",115,41.1 ( 1 ),43.2 ( 1 ),NA
,"8,000-9,000'",141,152,27.4,33.1,98.5,"3,068",2,NA,NA,NA
16. Little Humboldt,"6,000-7,000'",182,97,5.1,0.7,9.6,"12,728",326,11.8 ( 2 ),6.5 ( 2 ),NA
,"7,000-8,000'",123,113,11.3,6.4,44.2,"27,968",82,NA,NA,NA
,"8,000-9,000'",113,119,16.2,14.6,71.7,"8,518",11,25.4 ( 1 ),28.9 ( 1 ),NA
,"9,000-10,000'",120,125,15.3,16.2,74.5,501,1,NA,NA,NA
17. Lower Clark Fork,"5,000-6,000'",113,89,6.4,5.4,31.8,"312,365","1,091",37.6 ( 2 ),45.4 ( 2 ),30.4 ( 4 )
,"6,000-7,000'",126,89,12.2,10.6,49.2,"198,505",350,28.7 ( 1 ),35.3 ( 1 ),33.0 ( 1 )
,"7,000-8,000'",148,92,15.1,12.9,56.8,"16,588",24,25.3 ( 1 ),29.4 ( 1 ),NA
,"8,000-9,000'",145,66,13.8,6.4,27.5,131,0,NA,NA,NA
18. Lower Humboldt,"6,000-7,000'",>200†,165,2.6,0.4,6,"4,994",213,10.6 ( 1 ),2.9 ( 1 ),NA
,"7,000-8,000'",143,129,8.2,3.6,32.8,"9,121",47,NA,NA,NA
,"8,000-9,000'",128,120,12.6,8.4,57,"6,262",14,NA,NA,NA
,"9,000-10,000'",130,122,15.4,9.4,55.4,242,0,NA,NA,NA
19. Lower Pend Oreille,"5,000-6,000'",93,42,6.2,3.4,16.3,"19,830",108,23.6 ( 1 ),26.5 ( 1 ),NA
,">6,000'",131,66,13.5,9.3,33.9,"10,382",21,NA,NA,NA
20. Lower Snake-Asotin,"3,000-4,000'",140,18,0.2,0,0.2,149,190,0.0 ( 1 ),0.1 ( 1 ),NA
,"4,000-5,000'",152,128,3.8,1.7,19.2,"8,942",98,NA,NA,NA
,"5,000-6,000'",117,130,10.3,8.6,67.4,"17,738",39,13.3 ( 1 ),12.9 ( 1 ),NA
,"6,000-7,000'",119,126,22.7,22,89.8,"1,360",1,NA,NA,NA
