, ,2/16/2025,3/1/2025,2/16/2025,3/1/2025,3/1/2025,3/1/2025,3/1/2025,2/16/2025,3/1/2025,3/1/2025
Basin,Elevation Band,%2/16 Avg.,%3/1 Avg.,SWE (in),SWE (in),%SCA,Vol (af),Area (mi2),Pillows,Pillows,Surveys
21. Lower Snake-Tucannon,"4,000-5,000'",143,127,8.8,6.3,57.2,"22,223",66,NA,NA,NA
,"5,000-6,000'",153,143,14.1,15.3,93.9,"33,484",41,NA,NA,NA
,"6,000-7,000'",168,154,20.8,23.7,97.8,"2,320",2,NA,NA,NA
22. Lower Yakima,"3,000-4,000'",246,152,9.4,4.5,36.9,"75,916",315,NA,NA,NA
,"4,000-5,000'",136,123,11.6,11.5,74,"77,227",126,NA,NA,NA
,"5,000-6,000'",129,117,15.4,15.7,80.9,"32,951",39,17.5 ( 2 ),19.5 ( 2 ),NA
,"6,000-7,000'",135,133,20.3,21.7,88.8,"10,293",9,NA,NA,NA
23. Malheur,"5,000-6,000'",141,145,9.6,10.5,84.1,"484,736",863,14.6 ( 3 ),16.0 ( 3 ),5.6 ( 2 )
,"6,000-7,000'",125,132,12.9,15.8,85.8,"86,728",103,NA,NA,NA
,"7,000-8,000'",139,143,19.8,23.3,96.9,"32,383",26,NA,NA,NA
,"8,000-9,000'",133,140,22.6,26.6,100,548,0,NA,NA,NA
24. Middle Humboldt,"6,000-7,000'",83,16,2.7,0.2,2.5,"6,057",475,NA,NA,NA
,"7,000-8,000'",114,65,7.2,2.7,23.3,"21,033",144,NA,NA,13.7 ( 1 )
,"8,000-9,000'",119,100,9.6,6.6,49.6,"4,648",13,NA,NA,NA
,"9,000-10,000'",116,114,9.8,9.3,78.8,288,1,NA,NA,NA
25. Northern Big Smoky Valley,"7,000-8,000'",80,17,3,0.3,3.3,"4,724",312,NA,NA,NA
,"8,000-9,000'",89,57,5.1,1.9,18.4,"16,316",158,NA,NA,NA
,"9,000-10,000'",92,79,7.3,5,45.5,"18,998",71,NA,NA,NA
,"10,000-11,000'",92,85,8.6,6.6,57.6,"9,088",26,NA,NA,NA
,"11,000-12,000'",99,81,9.5,4.3,40.5,684,3,NA,NA,NA
26. Northern Great Basin,"6,000-7,000'",94,48,4.2,1.5,12.2,"150,219","1,932",4.3 ( 1 ),4.2 ( 1 ),4.2 ( 2 )
,"7,000-8,000'",113,91,9,6.2,46.1,"83,941",253,8.6 ( 1 ),9.5 ( 1 ),5.9 ( 1 )
,"8,000-9,000'",121,117,13.5,13.5,81.7,"29,579",41,NA,NA,NA
,"9,000-10,000'",136,142,16.3,16.4,87.7,508,1,NA,NA,NA
27. Panhandle Basins,"3,000-4,000'",170,200,3.7,4.2,34.4,"156,168",701,4.9 ( 1 ),4.4 ( 1 ),NA
,"4,000-5,000'",171,172,6.9,7.7,49.3,"207,883",508,NA,NA,17.6 ( 1 )
,"5,000-6,000'",170,175,13.6,15.3,69.4,"281,085",344,29.1 ( 2 ),35.3 ( 2 ),NA
,"6,000-7,000'",176,189,19.4,21.4,81.8,"99,694",88,NA,NA,NA
,"7,000-8,000'",152,176,18.4,20.2,78.4,"2,499",2,NA,NA,NA
28. Reese,"7,000-8,000'",74,21,3.3,0.5,5,"7,980",282,10.6 ( 1 ),12.4 ( 1 ),NA
,"8,000-9,000'",109,56,7.4,2,16.8,"15,884",150,8.2 ( 1 ),9.0 ( 1 ),NA
,"9,000-10,000'",123,102,10.3,5.9,46.2,"14,823",47,NA,NA,NA
,">10,000'",112,103,10.7,8.2,66.1,"4,911",11,NA,NA,NA
29. Rock,"5,000-6,000'",27,7,0.8,0.1,0.8,"2,339",591,NA,NA,NA
,"6,000-7,000'",113,63,6.1,2,20.9,"23,000",212,NA,NA,2.4 ( 1 )
,"7,000-8,000'",119,114,10.6,9.4,73.6,"14,489",29,12.1 ( 1 ),14.4 ( 1 ),NA
,"8,000-9,000'",127,126,15.4,16,90.3,"2,800",3,NA,NA,NA
30. Salmon Basin,"5,000-6,000'",119,124,6.3,6.1,55.6,"666,846","2,057",16.3 ( 1 ),18.3 ( 1 ),NA
,"6,000-7,000'",115,119,9,10.4,76.4,"1,976,236","3,565",20.9 ( 3 ),24.2 ( 3 ),4.4 ( 1 )
,"7,000-8,000'",111,117,11.5,14,86.4,"2,849,549","3,809",9.3 ( 1 ),10.1 ( 1 ),9.3 ( 3 )
,"8,000-9,000'",102,110,12.3,14.9,87.2,"1,527,815","1,927",13.4 ( 5 ),15.3 ( 5 ),10.2 ( 2 )
,"9,000-10,000'",100,105,13.2,15.2,88.4,"406,976",502,10.2 ( 1 ),11.6 ( 1 ),9.4 ( 1 )
,"10,000-11,000'",99,103,13.3,15.1,90.5,"56,292",70,NA,NA,NA
,"11,000-12,000'",96,97,13.6,14.6,88.5,"2,100",3,NA,NA,NA
31. Silver,"5,000-6,000'",160,191,7.7,8.7,69.9,"197,714",428,NA,NA,NA
,"6,000-7,000'",132,140,13.4,14.8,94.2,"2,748",3,NA,NA,NA
32. Silvies,"4,000-5,000'",194,237,8.9,9.7,89.5,"367,944",714,NA,NA,NA
,"5,000-6,000'",136,140,9.7,10.7,83.1,"324,554",570,9.8 ( 1 ),10.2 ( 1 ),NA
,"6,000-7,000'",116,118,11.2,12.1,71.5,"19,666",31,17.1 ( 1 ),18.8 ( 1 ),NA
,"7,000-8,000'",132,137,20.1,24.3,98.3,"2,503",2,NA,NA,NA
33. Southern Snake Basins,"5,000-6,000'",83,65,2.5,1.4,13.1,"590,256","8,109",5.5 ( 1 ),6.2 ( 1 ),2.7 ( 3 )
,"6,000-7,000'",116,100,7.4,5.9,50.7,"1,036,896","3,281",7.3 ( 5 ),9.5 ( 5 ),6.7 ( 10 )
,"7,000-8,000'",119,120,11.4,12.3,84.8,"597,568",908,10.5 ( 4 ),13.8 ( 4 ),13.8 ( 5 )
,"8,000-9,000'",115,121,14,16.1,93.3,"142,952",166,12.3 ( 3 ),15.3 ( 3 ),13.6 ( 1 )
,"9,000-10,000'",112,119,15.8,18.2,95.7,"34,967",36,NA,NA,NA
,"10,000-11,000'",113,121,15.8,18,92.2,"1,571",2,NA,NA,NA
34. Spokane,"3,000-4,000'",206,270,4.8,4.6,35.4,"412,169","1,665",4.9 ( 1 ),6.7 ( 1 ),6.7 ( 6 )
,"4,000-5,000'",197,209,7.1,8.1,49.7,"439,293","1,020",14.2 ( 4 ),16.6 ( 4 ),22.5 ( 1 )
,"5,000-6,000'",230,210,11.2,12,60.3,"264,157",412,16.5 ( 3 ),19.7 ( 3 ),17.6 ( 2 )
,"6,000-7,000'",252,240,15.9,17.6,76.9,"44,733",48,NA,NA,NA
,"7,000-8,000'",249,241,19.2,22.2,94.8,572,0,NA,NA,NA
35. St. Mary,"4,000-5,000'",110,104,6.9,4.4,44.2,"39,341",167,6.4 ( 1 ),7.5 ( 1 ),NA
,"5,000-6,000'",99,111,6.8,8.3,71.5,"91,325",206,NA,NA,NA
,"6,000-7,000'",109,118,8.6,11.1,75.8,"90,852",153,NA,NA,NA
,"7,000-8,000'",106,113,10.5,12.3,81.9,"66,721",101,NA,NA,NA
,">8,000'",113,117,11.3,13.2,85.1,"14,583",21,NA,NA,NA
36. Truckee,"5,000-6,000'",47,28,0.9,0.4,3.6,"15,381",670,NA,NA,NA
,"6,000-7,000'",71,60,5.8,5.2,36.5,"133,901",479,12.9 ( 5 ),13.3 ( 5 ),NA
,"7,000-8,000'",94,81,12.4,12.2,69.5,"128,143",196,13.3 ( 1 ),12.7 ( 1 ),NA
,"8,000-9,000'",97,84,16.3,16.6,91,"52,780",60,30.3 ( 2 ),26.1 ( 3 ),NA
,"9,000-10,000'",87,79,16.4,17.3,93.5,"13,766",15,NA,NA,NA
,"10,000-11,000'",93,80,17.9,16,86.5,823,1,NA,NA,NA
37. Umatilla-Walla Walla-Willow,"3,000-4,000'",85,57,1.3,0.7,5.3,"32,120",890,3.2 ( 1 ),3.0 ( 1 ),NA
,"4,000-5,000'",116,104,7.1,6,41.3,"151,132",471,16.2 ( 2 ),19.4 ( 2 ),NA
,"5,000-6,000'",123,114,12.6,13,64.8,"49,878",72,17.5 ( 4 ),20.5 ( 4 ),NA
38. Upper Humboldt,"5,000-6,000'",34,5,1,0,0.7,"4,599","2,395",NA,NA,0.0 ( 1 )
