,3/8/2026,3/15/2026,3/8/2026,3/15/2026,3/15/2026,3/15/2026,3/15/2026,3/8/2026,3/15/2026,3/15/2026
Basin,%3/8 Avg.,%3/15 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
0. Trinity,22,17,4.9,3.8,49.7,"65,762",321.4,5.7 ( 7 ),3.9 ( 6 ),1.7
1. Upper Sacramento,27,19,5.8,4,51.6,"24,825",115.2,8.4 ( 2 ),6.4 ( 2 ),4.7
2. McCloud,29,20,5.2,3.9,62.2,"34,247",164.9,8.9 ( 1 ),6.2 ( 1 ),11.1
3. Pit,21,14,1.5,1,10.6,"107,620","2,086.20",7.6 ( 5 ),5.3 ( 5 ),1.1
4. Sacramento at Bend Bridge,18,13,2.5,1.7,14.8,"22,338",240,NA,NA,2.5
5. Feather§,30,17,3.1,2.1,26.3,"233,477","2,117.50",10.0 ( 7 ),6.9 ( 6 ),3.3
6. Yuba§,38,29,6.8,5.5,47.2,"155,134",525.6,19.0 ( 4 ),15.8 ( 4 ),7.5
7. American,48,31,9.5,6.3,46.9,"270,540",807,12.7 ( 13 ),9.1 ( 12 ),6.7
8. Cosumnes,41,14,5.4,1.8,16.9,"9,043",91.9,NA,NA,2.4
9. Mokelumne,55,42,10.7,8.3,53.3,"140,892",317.9,18.1 ( 3 ),15.4 ( 3 ),9.4
10. Stanislaus,60,45,11.7,8.8,53.4,"262,781",562.9,21.5 ( 4 ),20.2 ( 4 ),9
11. Tuolumne,67,52,10.7,10.5,54,"513,446",915,17.5 ( 8 ),15.2 ( 7 ),11.6
12. Merced,71,56,11.8,10.3,60.9,"296,696",539.4,24.0 ( 2 ),24.9 ( 1 ),15
13. San Joaquin,79,60,13.4,11.4,62.1,"747,057","1,225.40",16.6 ( 7 ),13.0 ( 7 ),14.8
14. Kings§,83,65,15.9,12.6,62.7,"817,240","1,213.40",21.7 ( 5 ),18.9 ( 7 ),15
15. Kaweah,73,53,8.5,7.4,40.5,"124,807",314.4,18.7 ( 1 ),9.6 ( 2 ),8.2
16. Tule,67,24,4.9,1.7,12.4,"12,659",137.6,3.1 ( 1 ),0.1 ( 1 ),1
17. Kern§,80,56,6.8,3.5,33,"314,652","1,682.80",11.0 ( 3 ),17.8 ( 4 ),3.6
18. Truckee§,47,33,8.8,4.2,56.1,"94,903",425.4,12.0 ( 6 ),10.3 ( 6 ),8.3
19. Tahoe§,29,22,5.3,2.9,28.5,"77,670",508.3,11.4 ( 7 ),9.0 ( 7 ),7.1
20. W Carson§,64,50,13.3,7.5,76.2,"26,044",65.3,16.9 ( 3 ),15.0 ( 3 ),10.7
21. E Carson§,58,45,8.4,4.7,45.8,"89,044",355.2,10.9 ( 4 ),8.9 ( 4 ),5.8
22. W Walker,75,59,13.9,11.2,66.5,"107,598",179.8,16.3 ( 4 ),14.7 ( 4 ),11.6
23. E Walker,50,40,4.3,4.2,44.5,"79,463",356.3,13.4 ( 1 ),13.0 ( 1 ),3.8
24. Mono,49,40,2.3,2.2,25.3,"127,806","1,085.80",NA,NA,2
25. Upper Owens,66,52,6.8,5.6,48.3,"113,914",382.7,28.2 ( 1 ),27.4 ( 1 ),5.2
26. Owens,76,62,3.6,3,22.5,"285,550","1,772.90",12.3 ( 4 ),12.2 ( 4 ),2.1
