,5/1/2026,5/10/2026,5/1/2026,5/10/2026,5/10/2026,5/10/2026,5/10/2026,5/1/2026,5/10/2026,5/10/2026
Basin,%5/1 Avg.,%5/10 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Central Columbia,78,45,8.1,5.1,28.1,"574,344","2,129.5",11.4 ( 7 ),7.0 ( 7 ),14.3
2. Central Puget Sound,75,43,6.4,4.3,32.5,"283,203","1,246.1",16.7 ( 5 ),6.6 ( 5 ),13.2
3. Hood-Sandy-Lower Deschutes,33,18,0.4,0.2,1.4,"54,239","5,083.4",4.4 ( 10 ),0.7 ( 11 ),1.3
4. Klamath,12,5,0.1,0.0,0.4,"18,906","7,543.0",0.1 ( 16 ),0.0 ( 16 ),0.0
5. Lewis,25,13,0.7,0.4,2.9,"12,563",583.2,8.6 ( 7 ),1.3 ( 6 ),2.3
6. Lower Cowlitz,33,16,1.4,0.7,5.9,"7,025",190.5,5.6 ( 2 ),1.0 ( 2 ),0.7
7. Naches,48,23,2.6,1.2,10.9,"40,280",614.0,19.0 ( 4 ),10.2 ( 4 ),8.7
8. North Puget Sound,99,57,6.8,4.6,28.2,"576,806","2,342.1",23.3 ( 9 ),15.3 ( 9 ),23.3
9. Olympic,50,27,6.3,4.0,28.6,"50,078",236.4,10.1 ( 3 ),3.3 ( 3 ),9.1
10. Rogue-Umpqua,11,4,0.3,0.1,0.8,"16,412","3,388.6",0.1 ( 6 ),0.0 ( 6 ),0.0
11. South Puget Sound,73,39,2.2,1.5,9.5,"91,857","1,146.0",7.3 ( 14 ),3.8 ( 13 ),10.5
12. Upper Columbia,105,61,2.7,1.4,8.4,"411,864","5,486.2",7.8 ( 7 ),6.3 ( 7 ),4.2
13. Upper Cowlitz,46,24,2.5,1.6,12.8,"60,523",717.7,9.2 ( 3 ),1.2 ( 3 ),10.0
14. Upper Deschutes-Crooked,23,13,0.4,0.2,1.4,"61,596","5,681.7",1.7 ( 7 ),0.8 ( 7 ),0.2
15. Upper Yakima,36,20,1.9,1.0,8.0,"56,593","1,031.7",0.0 ( 3 ),0.0 ( 2 ),2.9
16. Willamette,23,11,0.2,0.1,0.5,"52,335","11,470.9",0.0 ( 18 ),0.1 ( 18 ),0.1
