,,4/26/2026,5/1/2026,4/26/2026,5/1/2026,5/1/2026,5/1/2026,5/1/2026,4/26/2026,5/1/2026,5/1/2026,5/1/2026
Basin,Elevation Band,%4/26 Avg.,%5/1 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,Surveys,SNODAS (in.)*
1. Alvord Lake,"6,000-7,000'",5,4,0,0,0.4,157,240.2,NA,NA,NA,0
1. Alvord Lake,"7,000-8,000'",28,23,1,0.6,5.9,"2,111",69.9,NA,NA,0.0 ( 1 ),0.4
1. Alvord Lake,"8,000-9,000'",74,75,10.2,9.6,49.7,"5,894",11.5,NA,NA,NA,5.6
1. Alvord Lake,"9,000-10,000'",76,93,14.2,17.6,66.4,"1,084",1.2,NA,NA,NA,8.9
2. Bitterroot,"5,000-6,000'",65,75,0.7,0.6,6.7,"19,358",657.5,3.7 ( 2 ),3.2 ( 2 ),NA,2
2. Bitterroot,"6,000-7,000'",100,116,5.5,5.3,42.4,"201,870",718,18.1 ( 2 ),18.0 ( 2 ),NA,8.1
2. Bitterroot,"7,000-8,000'",108,130,14.3,16.4,83.3,"424,081",483.4,NA,NA,NA,17.3
2. Bitterroot,"8,000-9,000'",104,133,19.8,25.9,86.9,"129,825",93.8,NA,NA,NA,25.1
2. Bitterroot,"9,000-10,000'",99,132,21.1,29.2,81.5,"3,610",2.3,NA,NA,NA,27.6
3. Carson,"5,000-6,000'",6,0,0,0,0,0,619.1,NA,NA,NA,0
3. Carson,"6,000-7,000'",2,0,0,0,0,0,354.2,0.0 ( 1 ),0.0 ( 1 ),NA,0
3. Carson,"7,000-8,000'",14,10,0.5,0.4,6.9,"4,357",220.1,0.1 ( 1 ),0.0 ( 1 ),NA,0.2
3. Carson,"8,000-9,000'",29,26,3.5,2.9,43.7,"24,416",155.7,4.0 ( 5 ),2.9 ( 5 ),NA,2.6
3. Carson,"9,000-10,000'",43,35,9,6.2,72.5,"15,468",46.8,NA,NA,NA,7.9
3. Carson,">10,000'",60,39,16.9,8.6,80.4,"5,429",11.9,NA,NA,NA,12.6
4. Clearwater Basin,"3,000-4,000'",8,6,0,0,0.1,827,"2,282.20",0.1 ( 1 ),0.0 ( 1 ),NA,0.1
4. Clearwater Basin,"4,000-5,000'",61,51,1.1,0.7,7.5,"71,829","1,966.60",0.0 ( 1 ),0.0 ( 1 ),NA,3.6
4. Clearwater Basin,"5,000-6,000'",108,113,6.7,6,46.6,"584,147","1,812.30",29.2 ( 6 ),28.6 ( 6 ),NA,14.6
4. Clearwater Basin,"6,000-7,000'",113,129,14.2,15.6,80.6,"947,073","1,138.30",17.6 ( 2 ),17.2 ( 2 ),NA,22.5
4. Clearwater Basin,"7,000-8,000'",101,126,18.3,22.7,91.1,"319,713",264.1,NA,NA,NA,23.8
4. Clearwater Basin,"8,000-9,000'",96,127,19.6,26.3,90.1,"16,409",11.7,NA,NA,NA,26.8
5. Clover Valley and Franklin,"5,000-6,000'",0,0,0,0,0.1,0,793.5,NA,NA,NA,0
5. Clover Valley and Franklin,"6,000-7,000'",0,0,0,0,0,0,"2,365.00",NA,NA,NA,0
5. Clover Valley and Franklin,"7,000-8,000'",2,2,0,0,0.1,227,760.6,0.0 ( 1 ),0.0 ( 1 ),NA,0
5. Clover Valley and Franklin,"8,000-9,000'",18,18,0.6,0.5,5.6,"3,953",155.8,0.3 ( 1 ),0.0 ( 1 ),NA,0.3
5. Clover Valley and Franklin,"9,000-10,000'",47,52,5.1,5.3,40.2,"9,566",34.1,NA,NA,NA,1.6
5. Clover Valley and Franklin,"10,000-11,000'",54,67,8,9.5,54.6,"3,040",6,NA,NA,NA,3.4
6. Donner und Blitzen,"6,000-7,000'",6,5,0.1,0.1,1.3,447,138.9,0.0 ( 1 ),0.0 ( 1 ),NA,0.1
6. Donner und Blitzen,"7,000-8,000'",53,44,4.7,3.3,34.4,"10,552",59.8,9.9 ( 1 ),8.4 ( 1 ),NA,2.8
6. Donner und Blitzen,"8,000-9,000'",76,79,12.5,12.4,62.9,"12,618",19.1,NA,NA,NA,8.8
6. Donner und Blitzen,"9,000-10,000'",73,95,14.1,18.4,57.1,"1,993",2,NA,NA,NA,10.1
7. Dry Lake Valley,"7,000-8,000'",0,0,0,0,0,0,230.4,NA,NA,NA,0.1
7. Dry Lake Valley,"8,000-9,000'",0,3,0,0,1.5,59,53.9,NA,NA,NA,0.9
7. Dry Lake Valley,"9,000-10,000'",4,33,0.2,1,21.7,560,10.2,NA,NA,NA,1.6
7. Dry Lake Valley,"10,000-11,000'",31,41,3,3.3,61.1,324,1.8,NA,NA,NA,1.7
8. Eastern Nevada,"7,000-8,000'",0,0,0,0,0,0,"2,847.80",0.0 ( 1 ),0.0 ( 1 ),NA,0
8. Eastern Nevada,"8,000-9,000'",0,1,0,0,0.2,386,"1,111.30",0.1 ( 3 ),0.0 ( 3 ),NA,0.3
8. Eastern Nevada,"9,000-10,000'",5,8,0.2,0.2,4.7,"3,634",309.5,1.2 ( 2 ),1.9 ( 2 ),NA,1
8. Eastern Nevada,"10,000-11,000'",23,30,1.9,2.1,34.4,"9,686",87.8,0.3 ( 2 ),1.5 ( 2 ),NA,2.7
8. Eastern Nevada,">11,000'",35,44,3.9,4.3,59.3,"4,289",18.8,NA,NA,NA,4.1
9. Flathead,"3,000-4,000'",13,11,0,0,0,367,"2,118.20",0.6 ( 1 ),0.0 ( 1 ),NA,0
9. Flathead,"4,000-5,000'",90,89,0.7,0.5,4.1,"49,359","1,920.60",1.4 ( 3 ),1.1 ( 3 ),0.3 ( 8 ),1.2
9. Flathead,"5,000-6,000'",145,151,6.2,5.7,35.3,"507,811","1,682.00",14.5 ( 3 ),14.6 ( 3 ),9.3 ( 6 ),12.5
9. Flathead,"6,000-7,000'",158,168,16.4,17.1,79.8,"1,267,023","1,392.90",33.3 ( 6 ),33.1 ( 6 ),30.9 ( 3 ),29.6
9. Flathead,"7,000-8,000'",161,166,22.8,24.6,89,"644,733",491.4,NA,NA,NA,36.9
9. Flathead,"8,000-9,000'",157,167,26.5,30.1,83.6,"60,658",37.7,NA,NA,NA,39.3
9. Flathead,"9,000-10,000'",174,184,29.2,34.1,74.7,"2,989",1.6,NA,NA,NA,32.2
10. Grande Ronde-Burnt-Powder-Imnaha,"4,000-5,000'",1,1,0,0,0,200,"3,104.90",0.0 ( 1 ),0.0 ( 1 ),NA,0
10. Grande Ronde-Burnt-Powder-Imnaha,"5,000-6,000'",17,14,0.5,0.3,3.4,"22,213","1,382.50",2.5 ( 7 ),2.0 ( 7 ),0.0 ( 1 ),0.9
10. Grande Ronde-Burnt-Powder-Imnaha,"6,000-7,000'",62,60,6.6,5.6,45.3,"143,326",477.3,0.0 ( 1 ),0.0 ( 1 ),NA,6.7
10. Grande Ronde-Burnt-Powder-Imnaha,"7,000-8,000'",85,100,17.3,20.5,83,"297,524",271.5,10.2 ( 2 ),10.0 ( 2 ),NA,12.7
10. Grande Ronde-Burnt-Powder-Imnaha,"8,000-9,000'",91,120,22.6,31.2,80.9,"129,294",77.8,NA,NA,NA,16.1
10. Grande Ronde-Burnt-Powder-Imnaha,"9,000-10,000'",80,103,16.6,21.8,73.3,"2,240",1.9,NA,NA,NA,10.6
11. Guano,"5,000-6,000'",0,0,0,0,0,0,"1,512.90",0.0 ( 1 ),0.0 ( 1 ),NA,0
11. Guano,"6,000-7,000'",0,0,0,0,0,0,525.7,NA,NA,0.0 ( 1 ),0
11. Guano,"7,000-8,000'",0,0,0,0,0,0,24.3,NA,NA,NA,0
12. Harney-Malheur Lakes,"5,000-6,000'",0,0,0,0,0,0,254.2,NA,NA,NA,0
12. Harney-Malheur Lakes,"6,000-7,000'",0,0,0,0,0,0,26.4,NA,NA,NA,0
13. John Day,"5,000-6,000'",3,2,0,0,0.4,"1,228","1,202.60",0.5 ( 3 ),0.0 ( 3 ),NA,0
13. John Day,"6,000-7,000'",42,38,3.3,2.4,28.1,"32,130",247.5,NA,NA,NA,0.5
13. John Day,"7,000-8,000'",76,76,12.2,11.7,80.9,"33,034",53,NA,NA,NA,2.8
13. John Day,"8,000-9,000'",85,95,13.5,15.1,67.2,"1,317",1.6,NA,NA,NA,6.7
