,,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026
Basin,Elevation Band,%2/1 Avg.,SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Surveys,SNODAS (in.)*
10. Madison Headwaters in WY,"8,000-9,000'",118,8.2,69.3,"248,996",570.5,12.2 ( 3 ),NA,12.8
10. Madison Headwaters in WY,"9,000-10,000'",133,12.2,84.3,"86,961",134.2,NA,NA,13.5
10. Madison Headwaters in WY,">10,000'",139,13.9,88.4,"8,005",10.8,NA,NA,14.3
11. Powder,"2,000-3,000'",0,0,0.5,135,"1,211.40",NA,NA,0
11. Powder,"3,000-4,000'",0,0,0.4,337,"3,971.60",NA,NA,0
11. Powder,"4,000-5,000'",0,0,0.4,"1,188","4,662.10",NA,NA,0
11. Powder,"5,000-6,000'",0,0,0.8,"1,667","2,024.50",NA,NA,0
11. Powder,"6,000-7,000'",4,0.1,3.2,"4,662",604.1,NA,NA,0.1
11. Powder,"7,000-8,000'",47,2.2,38.1,"58,686",490.3,NA,NA,1.2
11. Powder,"8,000-9,000'",73,3.9,59.7,"60,485",290.1,2.6 ( 4 ),NA,2.5
11. Powder,"9,000-10,000'",84,5,61.2,"21,968",82.1,8.1 ( 1 ),NA,6.8
11. Powder,"10,000-11,000'",119,9.1,73.4,"21,017",43.4,NA,NA,10.4
11. Powder,">11,000'",135,11.4,71.6,"10,683",17.6,NA,NA,11.5
12. Smith-Judith-Musselshell,"4,000-5,000'",5,0.1,3.7,"33,279","4,194.90",NA,NA,0
12. Smith-Judith-Musselshell,"5,000-6,000'",14,0.6,11,"83,784","2,493.60",NA,0.4 ( 1 ),0.1
12. Smith-Judith-Musselshell,"6,000-7,000'",43,2.2,29.1,"132,412","1,119.40",4.8 ( 4 ),2.4 ( 1 ),1
12. Smith-Judith-Musselshell,"7,000-8,000'",69,4.1,45.4,"102,804",475.5,9.0 ( 5 ),NA,4.2
12. Smith-Judith-Musselshell,"8,000-9,000'",109,7.5,65.3,"21,585",54.2,NA,NA,4.6
12. Smith-Judith-Musselshell,"9,000-10,000'",156,9.1,59,"1,034",2.1,NA,NA,3.5
13. Snake,"5,000-6,000'",55,3.4,69.9,"54,243",294.9,NA,NA,1.3
13. Snake,"6,000-7,000'",75,5.3,81.5,"374,087","1,324.30",NA,5.5 ( 3 ),4.2
13. Snake,"7,000-8,000'",95,7.2,85.7,"656,178","1,704.50",11.4 ( 6 ),8.0 ( 8 ),8.1
13. Snake,"8,000-9,000'",116,9.8,86.6,"759,407","1,447.40",13.3 ( 3 ),NA,12.6
13. Snake,"9,000-10,000'",128,12.3,88.4,"500,407",760.5,17.0 ( 2 ),NA,15.4
13. Snake,"10,000-11,000'",131,14.8,88.6,"159,211",202,NA,NA,17.9
13. Snake,"11,000-12,000'",133,13.8,80.8,"5,467",7.4,NA,NA,16.8
13. Snake,">12,000'",227,15.1,71.2,311,0.4,NA,NA,22.9
14. Sun-Teton-Marias,"3,000-4,000'",6,0.1,1.7,"48,847","6,452.10",NA,NA,0
14. Sun-Teton-Marias,"4,000-5,000'",7,0.2,2.4,"24,201","2,583.90",NA,NA,0
14. Sun-Teton-Marias,"5,000-6,000'",53,2.3,31.8,"75,651",615.8,3.4 ( 3 ),5.1 ( 1 ),3
14. Sun-Teton-Marias,"6,000-7,000'",113,5.6,56.5,"172,042",574.4,8.6 ( 2 ),NA,9.3
14. Sun-Teton-Marias,"7,000-8,000'",160,9.9,75.5,"154,551",291.6,NA,NA,10.7
14. Sun-Teton-Marias,"8,000-9,000'",177,11.7,74.7,"14,566",23.3,NA,NA,10.9
14. Sun-Teton-Marias,">9,000'",>300†,9.3,35.5,96,0.2,NA,NA,27.6
