,4/12/2026,4/19/2026,4/12/2026,4/19/2026,4/19/2026,4/19/2026,4/19/2026,4/12/2026,4/19/2026,4/19/2026
Basin,%4/12 Avg.,%4/19 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Central Columbia,65,65,12.4,11.6,44.6,"1,321,351","2,129.50",14.9 ( 7 ),14.6 ( 7 ),22.9
2. Central Puget Sound,84,80,11.8,12.4,41.9,"824,298","1,246.10",22.6 ( 5 ),24.4 ( 5 ),25.9
3. Hood-Sandy-Lower Deschutes,23,25,0.5,0.5,3.3,"144,190","5,083.40",4.7 ( 11 ),5.4 ( 11 ),2.9
4. Klamath,9,10,0.2,0.2,1.8,"91,546","7,543.00",0.4 ( 16 ),0.5 ( 16 ),0.1
5. Lewis,20,20,1,1,5.3,"32,215",583.2,11.4 ( 7 ),12.3 ( 7 ),6.5
6. Lower Cowlitz,29,34,2.4,2.6,14.2,"26,707",190.5,6.3 ( 2 ),7.9 ( 2 ),4.2
7. Naches,40,44,4,4,24.2,"132,584",614,23.3 ( 4 ),23.8 ( 4 ),17.5
8. North Puget Sound,95,91,12.1,11.9,38.6,"1,488,868","2,342.10",28.7 ( 9 ),28.7 ( 9 ),31.7
9. Olympic,59,53,11.9,13.2,45.9,"166,090",236.4,14.1 ( 3 ),14.4 ( 3 ),21.8
10. Rogue-Umpqua,12,13,0.5,0.5,3.8,"97,175","3,388.60",0.2 ( 6 ),0.2 ( 6 ),0.5
11. South Puget Sound,42,42,2.3,2.6,13.1,"156,612","1,146.00",10.3 ( 14 ),12.1 ( 12 ),14.8
12. Upper Columbia,65,77,4.6,3.9,18.9,"1,130,361","5,486.20",8.4 ( 7 ),8.4 ( 7 ),7.2
13. Upper Cowlitz,43,42,3.7,4,17.4,"154,455",717.7,14.9 ( 3 ),15.4 ( 3 ),18.4
14. Upper Deschutes-Crooked,15,17,0.5,0.5,3.8,"164,021","5,681.70",1.6 ( 7 ),2.1 ( 7 ),0.8
15. Upper Yakima,37,38,3.7,3.8,17,"210,512","1,031.70",5.5 ( 3 ),4.9 ( 3 ),8.2
16. Willamette,17,19,0.3,0.3,1.7,"156,571","11,470.90",0.1 ( 18 ),0.7 ( 18 ),0.4
