,,2/1/2026,2/8/2026,2/1/2026,2/8/2026,2/8/2026,2/8/2026,2/8/2026,2/1/2026,2/8/2026,2/8/2026
Basin,Elevation Band,%2/1 Avg.,%2/8 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
8. North Puget Sound,"7,000-8,000'",115,108,21.1,23.7,87.1,"21,312",16.9,NA,NA,80.3
8. North Puget Sound,"8,000-9,000'",123,116,28.7,32.1,95,"2,151",1.3,NA,NA,202.2
9. Olympic,"4,000-5,000'",41,36,2.9,2.9,20.6,"20,664",132.3,8.7 ( 2 ),8.8 ( 2 ),9.9
9. Olympic,"5,000-6,000'",58,54,10.7,10.8,59.8,"49,149",85.6,10.0 ( 1 ),9.9 ( 1 ),14.2
9. Olympic,">6,000'",66,62,15.2,15.5,76.4,"15,263",18.4,NA,NA,16.3
10. Rogue-Umpqua,"3,000-4,000'",0,0,0,0,0,0,"1,692.80",0.2 ( 1 ),0.0 ( 1 ),0
10. Rogue-Umpqua,"4,000-5,000'",2,1,0,0,0.4,979,927,0.4 ( 2 ),0.1 ( 2 ),0
10. Rogue-Umpqua,"5,000-6,000'",23,18,1.4,1.3,16,"39,073",557.7,1.0 ( 2 ),0.2 ( 2 ),1.1
10. Rogue-Umpqua,"6,000-7,000'",38,33,4.4,4.5,36.6,"46,133",194.2,4.7 ( 1 ),4.5 ( 1 ),3.7
10. Rogue-Umpqua,"7,000-8,000'",57,53,9.7,10.2,58.4,"8,619",15.8,NA,NA,4.6
10. Rogue-Umpqua,"8,000-9,000'",62,60,14,15.1,83.8,856,1.1,NA,NA,5
11. South Puget Sound,"2,000-3,000'",3,2,0,0,0.2,238,405.8,0.1 ( 3 ),0.0 ( 2 ),0.1
11. South Puget Sound,"3,000-4,000'",7,6,0.1,0.1,1.4,"2,256",377.6,5.1 ( 7 ),4.0 ( 7 ),1.3
11. South Puget Sound,"4,000-5,000'",28,23,0.8,0.8,6.3,"9,601",222.6,12.6 ( 3 ),12.3 ( 3 ),4
11. South Puget Sound,"5,000-6,000'",63,57,5.8,6.1,39.5,"31,200",95.4,13.7 ( 1 ),15.0 ( 1 ),15.2
11. South Puget Sound,"6,000-7,000'",75,70,15.1,15.9,81.4,"31,684",37.4,NA,NA,32.6
11. South Puget Sound,"7,000-8,000'",68,65,23.4,24.4,88.7,"5,021",3.9,NA,NA,63.1
11. South Puget Sound,"8,000-9,000'",53,58,35.5,38,86.9,"1,566",0.8,NA,NA,92.4
11. South Puget Sound,"9,000-10,000'",19,22,15.7,18.5,83.9,665,0.7,NA,NA,171.4
11. South Puget Sound,"10,000-11,000'",18,19,22.1,24.7,78.4,"1,017",0.8,NA,NA,505.9
11. South Puget Sound,"11,000-12,000'",46,47,13.3,15.7,80.1,486,0.6,NA,NA,588
11. South Puget Sound,"12,000-13,000'",11,18,12.2,21.6,85.4,445,0.4,NA,NA,1063.8
11. South Puget Sound,">13,000'",2,2,6.3,8.9,93.8,91,0.2,NA,NA,NA
12. Upper Columbia,"3,000-4,000'",33,31,1.6,1.9,23.8,"260,947","2,566.20",2.5 ( 1 ),2.4 ( 1 ),1.8
12. Upper Columbia,"4,000-5,000'",54,50,3.6,4.2,40.5,"320,752","1,437.90",2.9 ( 3 ),3.2 ( 3 ),5.1
12. Upper Columbia,"5,000-6,000'",96,89,8.9,10.2,66,"421,338",772.6,2.9 ( 2 ),3.1 ( 2 ),17.1
12. Upper Columbia,"6,000-7,000'",116,108,14.7,16.7,85.7,"503,105",564,46.3 ( 1 ),48.1 ( 1 ),27.7
12. Upper Columbia,"7,000-8,000'",110,103,17,19.3,89.1,"145,707",141.2,NA,NA,30.3
12. Upper Columbia,"8,000-9,000'",105,97,17.9,20.6,85.6,"4,662",4.2,NA,NA,32.5
13. Upper Cowlitz,"3,000-4,000'",16,15,0.1,0.1,1.6,"2,236",281.5,10.9 ( 1 ),10.6 ( 1 ),4.3
13. Upper Cowlitz,"4,000-5,000'",44,41,1.3,1.4,10.3,"22,418",306.7,9.9 ( 2 ),10.2 ( 2 ),7.7
13. Upper Cowlitz,"5,000-6,000'",85,81,7.2,7.7,42.8,"43,408",106.3,NA,NA,17.2
13. Upper Cowlitz,"6,000-7,000'",88,81,18.5,19.3,84.1,"20,356",19.8,NA,NA,36
13. Upper Cowlitz,"7,000-8,000'",70,67,23.3,24.4,88.1,"3,644",2.8,NA,NA,56.1
13. Upper Cowlitz,"8,000-9,000'",64,66,28.2,30.2,95.1,311,0.2,NA,NA,92.2
13. Upper Cowlitz,"9,000-10,000'",31,35,21.1,23.8,83.3,489,0.4,NA,NA,301
13. Upper Cowlitz,"10,000-11,000'",0,0,0,0,75.7,0,0.1,NA,NA,737.2
14. Upper Deschutes-Crooked,"4,000-5,000'",3,3,0.1,0.1,3.6,"18,440","3,903.90",3.5 ( 1 ),3.7 ( 1 ),0.5
14. Upper Deschutes-Crooked,"5,000-6,000'",15,13,0.9,0.9,13.4,"71,017","1,478.40",4.5 ( 6 ),4.4 ( 6 ),1.5
14. Upper Deschutes-Crooked,"6,000-7,000'",36,34,4.2,4.6,39.9,"62,528",255.5,NA,NA,4.2
14. Upper Deschutes-Crooked,"7,000-8,000'",52,50,10.5,11.2,64.3,"24,026",40.2,NA,NA,8.5
14. Upper Deschutes-Crooked,"8,000-9,000'",46,46,15.1,16.5,83.3,"2,720",3.1,NA,NA,19.3
14. Upper Deschutes-Crooked,"9,000-10,000'",62,62,20,22.2,88.4,799,0.7,NA,NA,19.9
15. Upper Yakima,"3,000-4,000'",42,36,1.9,1.9,36.1,"49,009",489,8.8 ( 1 ),9.0 ( 1 ),4.3
15. Upper Yakima,"4,000-5,000'",65,57,4.8,5.1,50.1,"98,245",359.8,7.7 ( 1 ),8.0 ( 1 ),6.9
15. Upper Yakima,"5,000-6,000'",90,79,10,10.5,73.6,"90,600",161.7,3.8 ( 1 ),4.2 ( 1 ),11.8
15. Upper Yakima,"6,000-7,000'",97,89,16,17.1,83.5,"18,665",20.5,NA,NA,22.4
15. Upper Yakima,"7,000-8,000'",78,76,27.7,29.6,93.1,"1,066",0.7,NA,NA,45.3
16. Willamette,"0-1,000'",NA,NA,0,0,0,0,"5,006.40",0.4 ( 1 ),0.0 ( 1 ),0
16. Willamette,"1,000-2,000'",0,0,0,0,0,0,"2,005.80",0.2 ( 1 ),0.0 ( 1 ),0
16. Willamette,"2,000-3,000'",3,2,0,0,0.1,273,"1,614.10",0.4 ( 2 ),0.0 ( 2 ),0
16. Willamette,"3,000-4,000'",12,8,0.1,0.1,2.2,"8,239","1,472.90",1.1 ( 7 ),0.8 ( 7 ),0.4
16. Willamette,"4,000-5,000'",24,19,0.8,0.7,11.1,"35,055",879.1,4.3 ( 7 ),3.8 ( 7 ),1.9
16. Willamette,"5,000-6,000'",40,34,2.8,2.9,30.7,"64,400",410.8,NA,NA,2.9
16. Willamette,"6,000-7,000'",49,45,7.3,7.6,48.4,"28,095",68.9,NA,NA,6.6
16. Willamette,"7,000-8,000'",56,54,17.9,18.6,74.1,"9,082",9.2,NA,NA,14.6
16. Willamette,"8,000-9,000'",47,47,23.5,24.7,82.2,"3,942",3,NA,NA,16.6
16. Willamette,"9,000-10,000'",49,50,22.6,24.7,95.7,"1,017",0.8,NA,NA,17.8
