,4/5/2026,4/12/2026,4/5/2026,4/12/2026,4/12/2026,4/12/2026,4/12/2026,4/5/2026,4/12/2026,4/12/2026
Basin,%4/5 Avg.,%4/12 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
0. Trinity,4,7,1,1.5,19.4,"26,209",321.4,0.2 ( 7 ),1.4 ( 6 ),1.1
1. Upper Sacramento,5,11,1,2.3,15.7,"13,851",115.2,0.3 ( 2 ),1.9 ( 2 ),3.6
2. McCloud,6,17,1.2,3,22.9,"26,441",164.9,0.0 ( 1 ),0.0 ( 1 ),6.7
3. Pit,6,10,0.3,0.5,4.7,"53,069","2,086.20",1.0 ( 5 ),1.1 ( 5 ),0.3
4. Sacramento at Bend Bridge,4,9,0.5,1,7.9,"13,370",240,NA,NA,1.2
5. Feather§,3,4,0.3,0.5,5.4,"58,232","2,117.50",0.3 ( 7 ),1.2 ( 6 ),0.9
6. Yuba§,8,12,1.7,3.2,22.7,"88,980",525.6,5.7 ( 4 ),5.9 ( 4 ),2
7. American§,8,13,1.8,3.5,22.8,"150,869",807,5.0 ( 13 ),5.3 ( 12 ),2.3
8. Cosumnes,2,3,0.3,0.3,4.8,"1,257",91.9,NA,NA,0.7
9. Mokelumne,12,17,2.3,3.3,31.1,"55,271",317.9,9.2 ( 3 ),10.3 ( 3 ),3.3
10. Stanislaus,11,15,2.2,2.9,25.5,"86,922",562.9,10.9 ( 4 ),10.3 ( 4 ),3.1
11. Tuolumne§,15,20,3,4.4,33.6,"214,450",915,6.9 ( 8 ),7.3 ( 8 ),6.3
12. Merced§,14,17,2.6,3,30.3,"87,279",539.4,9.5 ( 2 ),8.3 ( 2 ),6.8
13. San Joaquin§,17,19,5.2,6.6,33.3,"431,149","1,225.40",2.4 ( 7 ),2.4 ( 7 ),6.5
14. Kings§,19,19,4.1,4.8,35.5,"308,099","1,213.40",10.2 ( 6 ),7.5 ( 7 ),6.7
15. Kaweah§,13,13,1.7,3.5,16.1,"58,199",314.4,0.0 ( 1 ),0.0 ( 1 ),2.4
16. Tule,2,2,0.1,0.1,1.5,954,137.6,0.0 ( 1 ),0.6 ( 1 ),0
17. Kern§,12,12,1.1,1.7,10.8,"154,964","1,682.80",5.0 ( 5 ),2.7 ( 5 ),1.4
18. Truckee§,7,11,1.6,2.8,16.4,"64,172",425.4,4.0 ( 6 ),5.0 ( 6 ),2.4
19. Tahoe§,6,9,1.3,2.2,12.9,"59,598",508.3,1.3 ( 7 ),1.5 ( 7 ),2.2
20. W Carson§,13,14,2.2,2.6,26.8,"9,008",65.3,6.1 ( 3 ),6.1 ( 3 ),3.1
21. E Carson§,13,17,1.3,1.8,18.3,"33,329",355.2,1.4 ( 4 ),1.8 ( 4 ),2.1
22. W Walker,19,29,3.5,5.5,39.7,"52,867",179.8,11.3 ( 4 ),12.5 ( 4 ),7
23. E Walker,16,29,1.2,2.2,16.2,"41,019",356.3,6.5 ( 1 ),5.3 ( 1 ),1.8
24. Mono,14,24,0.6,0.9,7.5,"52,252","1,085.80",NA,NA,1
25. Upper Owens,14,19,1.3,1.6,17.7,"32,871",382.7,18.2 ( 1 ),17.6 ( 1 ),0.9
26. Owens,24,27,1,1.1,11.4,"106,976","1,772.90",2.8 ( 4 ),1.7 ( 4 ),0.9
