,,3/22/2026,4/1/2026,3/22/2026,4/1/2026,4/1/2026,4/1/2026,4/1/2026,3/22/2026,4/1/2026,4/1/2026,4/1/2026
Basin,Elevation Band,%3/22 Avg.,%4/1 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,Surveys,SNODAS (in.)*
9. Flathead,"9,000-10,000'",262,216,29.2,28.9,74.6,"2,528",1.6,NA,NA,NA,26.3
10. Grande Ronde-Burnt-Powder-Imnaha,"4,000-5,000'",6,5,0.2,0.1,1.6,"18,324","3,104.90",0.0 ( 1 ),0.0 ( 1 ),0.0 ( 2 ),0.2
10. Grande Ronde-Burnt-Powder-Imnaha,"5,000-6,000'",27,18,2.2,1.4,14.8,"100,773","1,382.50",5.2 ( 7 ),3.7 ( 7 ),3.1 ( 3 ),1.8
10. Grande Ronde-Burnt-Powder-Imnaha,"6,000-7,000'",71,57,9.8,8.2,60.3,"208,743",477.3,0.0 ( 1 ),0.0 ( 1 ),5.7 ( 2 ),6.7
10. Grande Ronde-Burnt-Powder-Imnaha,"7,000-8,000'",102,87,21.1,19,86.5,"274,581",271.5,10.4 ( 2 ),9.5 ( 2 ),36.6 ( 2 ),10.7
10. Grande Ronde-Burnt-Powder-Imnaha,"8,000-9,000'",110,94,26.3,23.7,80.3,"98,164",77.8,NA,NA,NA,11.6
10. Grande Ronde-Burnt-Powder-Imnaha,"9,000-10,000'",101,85,20.1,18.3,68.3,"1,883",1.9,NA,NA,NA,5
11. Guano,"5,000-6,000'",0,0,0,0,0,0,"1,512.90",0.0 ( 1 ),0.0 ( 1 ),NA,0
11. Guano,"6,000-7,000'",0,0,0,0,0,0,525.7,NA,NA,0.0 ( 2 ),0
11. Guano,"7,000-8,000'",0,0,0,0,0,0,24.3,NA,NA,NA,0
12. Harney-Malheur Lakes,"5,000-6,000'",0,0,0,0,0,0,254.2,NA,NA,0.0 ( 2 ),0
12. Harney-Malheur Lakes,"6,000-7,000'",1,0,0.1,0,0,0,26.4,NA,NA,NA,0
13. John Day,"5,000-6,000'",5,2,0.3,0.1,0.8,"4,974","1,202.60",0.1 ( 3 ),0.0 ( 3 ),NA,0
13. John Day,"6,000-7,000'",44,33,5.2,4.1,31.7,"53,501",247.5,NA,NA,NA,0.4
13. John Day,"7,000-8,000'",91,81,15.5,14.4,77.7,"40,630",53,NA,NA,NA,2.3
13. John Day,"8,000-9,000'",98,91,17.2,15.7,64.8,"1,373",1.6,NA,NA,NA,4.8
14. Kootenai,"4,000-5,000'",41,34,1.2,1,8.5,"45,285",880.8,6.3 ( 2 ),6.2 ( 2 ),NA,3.6
14. Kootenai,"5,000-6,000'",85,75,6.2,6.1,36.5,"200,089",611.9,23.6 ( 3 ),23.6 ( 3 ),21.7 ( 1 ),14.5
14. Kootenai,"6,000-7,000'",147,119,15,15.2,71.3,"139,098",172.1,33.0 ( 1 ),34.1 ( 1 ),12.2 ( 1 ),30.3
14. Kootenai,">7,000'",173,133,20.9,20.8,84.8,"7,805",7,NA,NA,NA,43.9
15. Lake County-Goose Lake,"5,000-6,000'",0,0,0,0,0,0,"2,708.10",0.0 ( 1 ),0.0 ( 1 ),0.0 ( 2 ),0
15. Lake County-Goose Lake,"6,000-7,000'",4,1,0.4,0.1,1.5,"4,599",801.6,NA,NA,0.0 ( 8 ),0
15. Lake County-Goose Lake,"7,000-8,000'",27,17,3.9,2.5,27.5,"14,866",111.4,8.9 ( 1 ),4.6 ( 1 ),NA,0.1
15. Lake County-Goose Lake,"8,000-9,000'",45,39,8.3,7.6,58,"1,024",2.5,NA,NA,NA,0.6
16. Little Humboldt,"6,000-7,000'",0,0,0,0,0,0,326.8,0.0 ( 2 ),0.1 ( 2 ),NA,0
16. Little Humboldt,"7,000-8,000'",5,0,0.5,0,0.4,183,84.7,NA,NA,0.0 ( 1 ),0.1
16. Little Humboldt,"8,000-9,000'",30,12,4.1,1.7,15.9,813,8.8,3.3 ( 1 ),0.6 ( 1 ),NA,0.2
16. Little Humboldt,"9,000-10,000'",51,34,7.4,5.4,28.6,139,0.5,NA,NA,NA,0.2
17. Lower Clark Fork,"5,000-6,000'",122,103,7.7,7.2,48,"421,552","1,098.30",33.7 ( 1 ),33.3 ( 1 ),20.2 ( 4 ),15.1
17. Lower Clark Fork,"6,000-7,000'",161,130,16.1,15.8,82.6,"294,336",348.7,41.6 ( 1 ),43.5 ( 1 ),26.2 ( 1 ),25.8
17. Lower Clark Fork,"7,000-8,000'",203,159,22.1,21.4,88.4,"30,964",27.1,38.0 ( 1 ),38.8 ( 1 ),NA,38.7
17. Lower Clark Fork,"8,000-9,000'",282,231,25.5,25.2,67.7,780,0.6,NA,NA,NA,42.3
18. Lower Humboldt,"6,000-7,000'",0,0,0,0,0,0,207.6,0.0 ( 1 ),0.0 ( 1 ),NA,0
18. Lower Humboldt,"7,000-8,000'",0,0,0,0,0,0,48.6,NA,NA,NA,0.1
18. Lower Humboldt,"8,000-9,000'",5,0,0.5,0,0,0,15.9,NA,NA,NA,0.3
18. Lower Humboldt,"9,000-10,000'",45,0,5.2,0,0,0,0.5,NA,NA,NA,0.4
19. Lower Pend Oreille,"5,000-6,000'",100,90,7.5,7.2,44.3,"41,924",109.3,12.1 ( 1 ),12.5 ( 1 ),NA,15.5
19. Lower Pend Oreille,">6,000'",140,120,16.1,15.8,79.5,"20,368",24.1,NA,NA,NA,22.6
20. Lower Snake-Asotin,"3,000-4,000'",5,0,0,0,0.1,0,192.5,0.0 ( 1 ),0.0 ( 1 ),NA,0
20. Lower Snake-Asotin,"4,000-5,000'",57,36,1.9,0.9,20.7,"5,026",102.1,NA,NA,NA,0.4
20. Lower Snake-Asotin,"5,000-6,000'",54,49,5.4,4.6,68.1,"9,094",37.5,NA,4.8 ( 1 ),NA,5.1
20. Lower Snake-Asotin,"6,000-7,000'",92,81,15,13.9,99.9,"1,219",1.6,NA,NA,NA,13.4
21. Lower Snake-Tucannon,"4,000-5,000'",77,39,2.8,1.1,24,"3,669",64.2,NA,NA,NA,1.6
21. Lower Snake-Tucannon,"5,000-6,000'",73,67,7.1,6.6,86.6,"14,622",41.8,NA,NA,NA,8.9
21. Lower Snake-Tucannon,"6,000-7,000'",104,93,15,14.3,97.4,"1,765",2.3,NA,NA,NA,15.8
22. Lower Yakima,"3,000-4,000'",0,0,0,0,0,0,311.2,NA,NA,NA,0.1
22. Lower Yakima,"4,000-5,000'",17,8,1.6,0.7,11.7,"4,920",127.1,6.1 ( 1 ),3.5 ( 1 ),NA,1.2
22. Lower Yakima,"5,000-6,000'",43,38,6.4,5.9,70.5,"11,716",37.4,18.4 ( 1 ),17.0 ( 1 ),NA,10.2
22. Lower Yakima,"6,000-7,000'",75,66,14,12.8,91.3,"6,386",9.4,NA,NA,NA,20.1
23. Malheur,"5,000-6,000'",5,0,0.3,0,0.2,472,857.7,1.4 ( 3 ),0.1 ( 3 ),0.0 ( 2 ),0
23. Malheur,"6,000-7,000'",39,23,4.6,3,29.1,"16,464",104.2,NA,NA,NA,0.9
23. Malheur,"7,000-8,000'",75,64,13.1,12.3,79.2,"17,932",27.3,NA,NA,NA,3.2
24. Middle Humboldt,"6,000-7,000'",0,0,0,0,0,0,473.7,NA,NA,NA,0
24. Middle Humboldt,"7,000-8,000'",0,0,0,0,0,0,145.7,NA,NA,NA,0.1
24. Middle Humboldt,"8,000-9,000'",1,0,0.1,0,0,0,13,NA,NA,NA,0.1
24. Middle Humboldt,"9,000-10,000'",32,0,3.2,0,0,0,0.6,NA,NA,NA,0.1
25. Northern Big Smoky Valley,"7,000-8,000'",0,0,0,0,0,0,318.1,NA,NA,NA,0
25. Northern Big Smoky Valley,"8,000-9,000'",2,1,0.2,0,1.4,228,154.3,NA,NA,NA,0
25. Northern Big Smoky Valley,"9,000-10,000'",20,10,2.2,0.8,22.9,"3,141",72.5,NA,NA,NA,0
25. Northern Big Smoky Valley,"10,000-11,000'",36,22,4.4,2.4,39.3,"3,200",24.7,NA,NA,NA,0.1
25. Northern Big Smoky Valley,"11,000-12,000'",46,29,5.5,3.3,56.9,557,3.2,NA,NA,NA,0
26. Northern Great Basin,"6,000-7,000'",0,0,0,0,0,0,"1,927.20",0.0 ( 1 ),0.0 ( 1 ),NA,0
26. Northern Great Basin,"7,000-8,000'",4,0,0.3,0,0.2,296,255.9,0.0 ( 1 ),0.0 ( 1 ),0.0 ( 1 ),0
26. Northern Great Basin,"8,000-9,000'",31,9,3.7,1,8.8,"2,308",41.4,NA,NA,NA,0.1
26. Northern Great Basin,"9,000-10,000'",35,28,5,4.4,57.2,91,0.4,NA,NA,NA,0.2
27. Panhandle Basins,"3,000-4,000'",32,21,0.5,0.2,3.2,"8,725",706,0.3 ( 1 ),0.0 ( 1 ),NA,1.4
27. Panhandle Basins,"4,000-5,000'",71,60,3.7,3.2,26.4,"86,763",508.9,23.8 ( 1 ),25.4 ( 1 ),NA,9.8
27. Panhandle Basins,"5,000-6,000'",119,102,12.3,11.9,63.8,"219,542",345.4,NA,NA,NA,20.5
27. Panhandle Basins,"6,000-7,000'",155,128,19.3,18.9,84.5,"82,874",82.3,31.6 ( 1 ),33.0 ( 1 ),NA,29.2
27. Panhandle Basins,"7,000-8,000'",165,135,18.3,18.1,88.4,"1,953",2,NA,NA,NA,24.3
28. Reese,"7,000-8,000'",0,0,0,0,0,0,285.6,0.0 ( 1 ),0.0 ( 1 ),NA,0
28. Reese,"8,000-9,000'",3,1,0.3,0,1.1,392,152,1.8 ( 1 ),0.0 ( 1 ),0.0 ( 1 ),0
28. Reese,"9,000-10,000'",17,7,2,0.7,14.8,"1,636",47,NA,NA,NA,0
28. Reese,">10,000'",36,22,4.8,2.6,44.9,"1,721",12.3,NA,NA,NA,0
29. Rock,"5,000-6,000'",0,0,0,0,0,0,592.8,NA,NA,NA,0
29. Rock,"6,000-7,000'",0,0,0,0,0,0,210.5,NA,NA,0.0 ( 1 ),0
29. Rock,"7,000-8,000'",1,0,0.1,0,0,0,29.5,1.8 ( 1 ),0.4 ( 1 ),NA,0.1
29. Rock,"8,000-9,000'",15,0,1.9,0,0,0,2.7,NA,NA,NA,0.3
30. Salmon Basin,"5,000-6,000'",54,40,1.9,1.2,14.1,"133,443","2,056.60",8.2 ( 1 ),6.8 ( 1 ),NA,1.2
30. Salmon Basin,"6,000-7,000'",85,69,6.7,5.5,45.9,"1,041,459","3,572.20",16.4 ( 2 ),14.6 ( 2 ),NA,5.8
30. Salmon Basin,"7,000-8,000'",99,76,11.9,10,67,"2,038,642","3,809.10",15.8 ( 2 ),13.9 ( 2 ),NA,9.8
30. Salmon Basin,"8,000-9,000'",104,80,14.3,12.6,78,"1,304,881","1,935.60",16.3 ( 5 ),16.0 ( 5 ),14.8 ( 1 ),12.5
30. Salmon Basin,"9,000-10,000'",109,89,16.5,15.3,76.9,"411,420",502.6,15.0 ( 1 ),14.4 ( 1 ),NA,15.7
30. Salmon Basin,"10,000-11,000'",113,94,17.1,16.3,62.8,"61,999",71.3,NA,NA,NA,11.4
30. Salmon Basin,"11,000-12,000'",121,100,18.3,17.6,58.8,"2,900",3.1,NA,NA,NA,5.3
31. Silver,"5,000-6,000'",0,0,0,0,0,0,440.7,NA,NA,NA,0
31. Silver,"6,000-7,000'",4,0,0.3,0,0,0,3.6,NA,NA,NA,0
32. Silvies,"4,000-5,000'",0,0,0,0,0,0,714.7,NA,NA,NA,0
32. Silvies,"5,000-6,000'",0,0,0,0,0,0,569.1,0.0 ( 1 ),0.0 ( 1 ),NA,0
32. Silvies,"6,000-7,000'",18,6,1.7,0.6,6,"1,024",31.9,3.0 ( 1 ),0.4 ( 1 ),NA,0.3
32. Silvies,"7,000-8,000'",92,85,17.5,16.5,91.2,"1,526",1.7,NA,NA,NA,3.3
