No.,Basin Code,Area (mi2),SWE (in.),Vol (AF)
01,AND,975.68,5.47,0.0
02,BEU,447.3,0.79,479566.0
03,BUL,552.61,0.01,50016.0
04,BUM,69.5,5.84,0.0
05,CCL,6.66,0.0,5814.0
06,CCR,112.55,3.33,103710.0
07,CLE,202.03,10.33,75201.0
08,CMO,53.76,16.5,26953.0
09,CSC,614.19,7.4,961205.0
10,DED,109.17,13.81,0.0
11,GRS,3.86,8.63,264.0
12,HEII,4918.27,6.84,9940.0
13,HGH,1660.82,12.32,0.0
14,HRSI,1492.86,5.48,38166.0
15,ISL,499.81,4.2,366385.0
16,JCK,804.44,11.92,1052.0
17,KAC,63.13,5.25,0.0
18,KEE,54.44,7.38,635.0
19,LUC,1711.11,3.69,542332.0
20,MAN,56.18,0.27,11576.0
21,MCK,194.21,0.0,228097.0
22,NACW,685.52,2.02,0.0
23,OCH,290.83,0.01,46950.0
24,"OWY (Above 5,750')",2103.39,0.12,2046468.0
25,"OWY (Below 5,750')",8594.05,0.0,346284.0
26,PARW,2401.75,0.58,0.0
27,PRV,2664.49,0.0,3735627.0
28,PWDO,347.97,0.75,807412.0
29,RIM,186.0,3.47,291841.0
30,RIR,638.42,0.09,209176.0
31,TEAI,874.62,4.51,1152458.0
32,UNY,310.23,0.42,233176.0
33,VALO,2567.48,0.0,6325.0
34,WAR,1075.0,0.23,606757.0
35,WLD,203.28,0.01,6269.0
36,WOD,273.84,3.42,122626.0
