,5/1/2026,5/10/2026,5/1/2026,5/10/2026,5/10/2026,5/10/2026,5/10/2026,5/1/2026,5/10/2026,5/10/2026
Basin,%5/1 Avg.,%5/10 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Bear,24,16,0.6,0.3,5.6,"87,575","6,323.40",3.4 ( 18 ),2.0 ( 18 ),0.9
2. Beaver,11,5,0.1,0,0.8,"1,378",835.5,3.3 ( 2 ),1.9 ( 2 ),0.2
3. Blue,21,14,1.3,1,27.1,"36,965",683.9,4.2 ( 5 ),3.6 ( 5 ),3.1
4. Canadian,1,10,0,0,0.5,956,"1,265.80",0.4 ( 2 ),0.0 ( 2 ),0
5. Colorado Headwaters§,16,12,0.8,0.6,14.2,"91,503","2,906.10",4.5 ( 13 ),4.1 ( 12 ),1.8
6. Colorado Headwaters-Plateau,15,11,0.4,0.3,8,"24,654","1,813.00",1.0 ( 1 ),0.0 ( 1 ),0.4
7. Eagle,16,12,1,0.6,16.5,"29,886",918,0.0 ( 3 ),0.0 ( 3 ),2.6
8. Gila,0,0,0,0,0,0,"4,926.30",0.0 ( 6 ),0.1 ( 6 ),0
9. Gunnison§,17,12,0.6,0.4,9.9,"129,977","6,459.70",1.3 ( 11 ),1.1 ( 11 ),0.6
10. Little Colorado,7,8,0,0,0,242,"16,398.00",0.0 ( 5 ),0.2 ( 5 ),0
11. Lower Colorado Mainstream,0,0,0,0,0,0,"10,697.40",0.0 ( 5 ),0.0 ( 5 ),0
12. Lower Green,18,12,0.6,0.3,7.7,"90,506","5,693.80",1.2 ( 24 ),0.6 ( 24 ),0.5
13. Lower Rio Grande,0,0,0,0,0,12,"1,796.70",0.0 ( 6 ),0.1 ( 6 ),0
14. Lower Sevier,4,0,0,0,0,19,906.4,0.0 ( 4 ),0.0 ( 3 ),0
15. Pecos,1,12,0,0.1,2.7,"1,422",332.1,0.2 ( 2 ),0.0 ( 2 ),0
16. Provo-Utah Lake-Jordan,16,11,0.4,0.2,6.4,"30,150","2,694.10",2.3 ( 18 ),1.2 ( 18 ),0.3
17. Rio Chama-Upper Rio Grande,6,7,0,0,0.9,"8,403","5,227.90",0.8 ( 13 ),0.7 ( 13 ),0.2
18. Rio Grande Headwaters,18,15,0.3,0.2,5.3,"79,056","7,613.30",1.4 ( 14 ),1.1 ( 14 ),0.2
19. Roaring Fork§,21,14,1.5,0.9,28.8,"68,914","1,360.30",2.8 ( 7 ),1.7 ( 7 ),3.7
20. Salt,0,0,0,0,0,0,"2,360.60",0.0 ( 8 ),0.1 ( 8 ),0
21. San Juan**,24,18,0.4,0.3,7.2,"85,499","6,425.50",1.0 ( 15 ),0.6 ( 15 ),0.4
22. San Pitch,18,10,0.4,0.2,4.4,"7,949",859.5,0.0 ( 6 ),0.0 ( 6 ),0
23. South Platte§,18,15,0.3,0.2,8.5,"75,117","5,641.90",3.0 ( 21 ),3.1 ( 21 ),1
24. Southwestern Utah,6,3,0,0,0.1,322,"1,446.90",0.0 ( 5 ),0.0 ( 5 ),0
25. Toole Valley-Vernon Creek,20,18,0.1,0,0.7,"2,387",902.1,0.6 ( 4 ),0.0 ( 4 ),0
26. Upper Arkansas,19,15,0.3,0.2,4.9,"67,007","5,892.20",0.9 ( 7 ),0.4 ( 7 ),0.4
27. Upper Colorado-Dirty Devil,11,4,0.1,0,0.9,"4,629","2,608.00",0.2 ( 7 ),0.0 ( 7 ),0.2
28. Upper Colorado-Dolores§,15,12,0.3,0.1,3.7,"26,636","3,453.30",1.6 ( 9 ),1.7 ( 9 ),0.5
29. Upper Sevier,7,3,0.1,0,0.5,"3,959","3,767.80",0.9 ( 16 ),0.2 ( 16 ),0.1
30. Verde,2,4,0,0,0,10,"1,820.70",0.0 ( 7 ),0.0 ( 7 ),0
31. Weber-Ogden,15,10,0.5,0.2,6.1,"21,339","2,046.60",2.1 ( 17 ),0.6 ( 17 ),0.4
32. White-Yampa§,14,10,0.6,0.4,9.4,"116,831","5,952.40",4.1 ( 15 ),3.4 ( 14 ),1.2
33. Animas,25,17,1.3,0.8,21.2,"38,365",922.5,1.1 ( 6 ),0.7 ( 6 ),1.9
