,3/8/2026,3/15/2026,3/8/2026,3/15/2026,3/15/2026,3/15/2026,3/15/2026,3/8/2026,3/15/2026,3/15/2026
Basin,%3/8 Avg.,%3/15 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Central Columbia,79,93,13.6,16,58.3,"1,811,816","2,129.50",16.3 ( 7 ),21.7 ( 6 ),25.1
2. Central Puget Sound,126,147,10.4,13.9,36.7,"926,169","1,246.10",18.2 ( 5 ),26.0 ( 5 ),26.9
3. Hood-Sandy-Lower Deschutes,30,37,0.8,1.1,8.5,"284,964","5,083.40",7.5 ( 11 ),10.2 ( 10 ),4.6
4. Klamath,14,12,0.6,0.5,5.2,"215,866","7,543.00",3.6 ( 16 ),2.7 ( 16 ),0.6
5. Lewis,29,34,1.2,1.6,8.5,"50,558",583.2,13.0 ( 7 ),14.7 ( 7 ),9.9
6. Lower Cowlitz,39,51,3.5,4.8,31.7,"48,581",190.5,7.9 ( 2 ),8.8 ( 2 ),8.3
7. Naches,58,69,5.2,6.6,49.1,"216,281",614,19.2 ( 4 ),27.5 ( 4 ),22.5
8. North Puget Sound,128,146,11.4,14.4,38.7,"1,799,343","2,342.10",27.1 ( 9 ),30.9 ( 9 ),31.1
9. Olympic,66,84,12.2,17.2,60.9,"216,545",236.4,13.0 ( 3 ),16.3 ( 3 ),22.4
10. Rogue-Umpqua,25,27,1.1,1.3,7.9,"227,091","3,388.60",1.3 ( 6 ),1.1 ( 6 ),1.2
11. South Puget Sound,44,57,2.2,3,13,"185,813","1,146.00",7.7 ( 14 ),16.1 ( 13 ),17.6
12. Upper Columbia,65,72,6.6,6.6,33.9,"1,937,079","5,486.20",10.4 ( 7 ),11.0 ( 7 ),9.4
13. Upper Cowlitz,64,76,3.9,5.1,18.3,"196,919",717.7,15.7 ( 3 ),20.1 ( 3 ),22.6
14. Upper Deschutes-Crooked,19,22,1,1,8.5,"317,227","5,681.70",6.2 ( 7 ),6.3 ( 6 ),1.6
15. Upper Yakima,53,65,5.7,7,38.5,"383,502","1,031.70",7.9 ( 3 ),12.8 ( 3 ),13.2
16. Willamette,30,36,0.4,0.5,3.6,"328,993","11,470.90",2.8 ( 18 ),2.2 ( 18 ),1
