,,4/19/2026,4/26/2026,4/19/2026,4/26/2026,4/26/2026,4/26/2026,4/26/2026,4/19/2026,4/26/2026,4/26/2026
Basin,Elevation Band,%4/19 Avg.,%4/26 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Alvord Lake,"6,000-7,000'",2,5,0,0,0.5,349,240.2,NA,NA,0
1. Alvord Lake,"7,000-8,000'",20,28,1,1,7.4,"3,604",69.9,NA,NA,0.6
1. Alvord Lake,"8,000-9,000'",65,74,10.5,10.2,65.7,"6,219",11.5,NA,NA,5.8
1. Alvord Lake,"9,000-10,000'",82,76,16.9,14.2,83.3,879,1.2,NA,NA,9
2. Bitterroot,"5,000-6,000'",39,65,0.7,0.7,7.1,"23,653",657.5,4.3 ( 2 ),3.7 ( 2 ),2.5
2. Bitterroot,"6,000-7,000'",81,100,5.9,5.5,43.6,"208,864",718,17.9 ( 2 ),18.1 ( 2 ),8.4
2. Bitterroot,"7,000-8,000'",109,108,16.9,14.3,81.3,"369,514",483.4,NA,NA,17.2
2. Bitterroot,"8,000-9,000'",121,104,25.4,19.8,84.5,"99,287",93.8,NA,NA,24.7
2. Bitterroot,"9,000-10,000'",117,99,27.5,21.1,82.2,"2,610",2.3,NA,NA,26.9
3. Carson,"5,000-6,000'",7,6,0,0,0,12,619.1,NA,NA,0
3. Carson,"6,000-7,000'",3,2,0,0,0.2,98,354.2,0.0 ( 1 ),0.0 ( 1 ),0
3. Carson,"7,000-8,000'",9,14,0.6,0.5,12.8,"6,100",220.1,0.6 ( 1 ),0.1 ( 1 ),0.3
3. Carson,"8,000-9,000'",14,29,3.1,3.5,46.8,"29,016",155.7,4.7 ( 5 ),4.0 ( 5 ),2.9
3. Carson,"9,000-10,000'",15,43,6,9,69.8,"22,554",46.8,NA,NA,7.9
3. Carson,">10,000'",14,60,8.3,16.9,70.5,"10,675",11.9,NA,NA,12.2
4. Clearwater Basin,"3,000-4,000'",6,8,0,0,0.2,"1,809","2,282.20",0.0 ( 1 ),0.1 ( 1 ),0.2
4. Clearwater Basin,"4,000-5,000'",40,61,1,1.1,10.3,"114,236","1,966.60",0.0 ( 1 ),0.0 ( 1 ),4.3
4. Clearwater Basin,"5,000-6,000'",87,108,6.8,6.7,49.3,"644,977","1,812.30",29.8 ( 6 ),29.2 ( 6 ),15.2
4. Clearwater Basin,"6,000-7,000'",113,113,16.4,14.2,81.9,"864,194","1,138.30",17.7 ( 2 ),17.6 ( 2 ),22.8
4. Clearwater Basin,"7,000-8,000'",114,101,22.7,18.3,90.6,"258,150",264.1,NA,NA,23.8
4. Clearwater Basin,"8,000-9,000'",115,96,25.4,19.6,88.2,"12,232",11.7,NA,NA,26.3
5. Clover Valley and Franklin,"5,000-6,000'",0,0,0,0,0.1,0,793.5,NA,NA,0
5. Clover Valley and Franklin,"6,000-7,000'",0,0,0,0,0,0,"2,365.00",NA,NA,0
5. Clover Valley and Franklin,"7,000-8,000'",1,2,0,0,0.1,385,760.6,0.0 ( 1 ),0.0 ( 1 ),0
5. Clover Valley and Franklin,"8,000-9,000'",15,18,0.7,0.6,6.5,"5,286",155.8,0.0 ( 1 ),0.3 ( 1 ),0.1
5. Clover Valley and Franklin,"9,000-10,000'",51,47,6.3,5.1,36.7,"9,316",34.1,NA,NA,1.2
5. Clover Valley and Franklin,"10,000-11,000'",65,54,10.5,8,55.6,"2,567",6,NA,NA,3.1
6. Donner und Blitzen,"6,000-7,000'",2,6,0.1,0.1,1.3,861,138.9,0.0 ( 1 ),0.0 ( 1 ),0.3
