,3/1/2026,3/8/2026,3/1/2026,3/8/2026,3/8/2026,3/8/2026,3/8/2026,3/1/2026,3/8/2026,3/8/2026
Basin,%3/1 Avg.,%3/8 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Belle Fourche,6,4,0.1,0.1,2.4,"22,528","7,233.40",2.5 ( 1 ),2.7 ( 1 ),0.1
2. Bighorn,47,52,1.6,1.6,12.8,"758,595","8,864.60",7.6 ( 8 ),7.8 ( 8 ),1
3. Cheyenne,7,4,0.1,0,0.8,"21,028","15,359.30",4.3 ( 2 ),4.0 ( 2 ),0.1
4. Gallatin,68,70,4.6,5,35.1,"492,287","1,848.40",13.5 ( 4 ),14.4 ( 4 ),5.9
5. Glendo,45,36,3.9,3.5,31.8,"134,293",714.1,3.4 ( 4 ),4.4 ( 4 ),0.8
6. Jefferson,79,80,5.2,5.8,44.9,"2,730,023","8,812.20",10.1 ( 14 ),11.0 ( 14 ),4
7. Lower Bighorn,18,22,0.4,0.4,4.3,"68,426","3,259.10",NA,NA,0.3
8. Lower No Platte,17,20,0.9,1.2,12.6,"51,694",824,NA,NA,0.2
9. Lower Shoshone,16,17,0.3,0.2,2.2,"15,956","1,474.60",NA,NA,0.1
10. Madison Headwaters in WY,84,85,6.1,7,51,"950,554","2,557.60",13.2 ( 7 ),13.6 ( 7 ),8.7
11. Powder,15,17,0.3,0.3,2.6,"188,029","13,397.20",4.3 ( 5 ),4.7 ( 5 ),0.2
12. Smith-Judith-Musselshell,50,45,2.2,1.9,20.1,"836,997","8,339.80",8.6 ( 9 ),9.7 ( 9 ),0.6
13. Snake,103,101,10.6,12,85.7,"3,664,285","5,741.50",16.7 ( 11 ),17.3 ( 11 ),12.8
14. Sun-Teton-Marias,99,59,2.8,1.6,11.9,"881,624","10,541.30",6.3 ( 5 ),6.2 ( 5 ),1.3
15. Sweetwater,40,38,2.5,2.8,28.2,"181,536","1,201.20",8.3 ( 2 ),8.8 ( 2 ),1.6
16. Tongue,20,25,0.5,0.5,4.6,"132,582","5,405.20",3.7 ( 6 ),4.0 ( 6 ),0.4
17. Upper Clark Fork,94,97,5.3,6,50.2,"1,920,639","6,006.90",10.4 ( 10 ),11.6 ( 11 ),5.8
18. Upper Green,59,60,4.8,5.2,39.5,"2,674,316","9,583.60",10.1 ( 22 ),10.8 ( 21 ),4.2
19. Upper Missouri,45,44,1.9,1.8,17.3,"290,725","2,956.30",4.7 ( 2 ),5.2 ( 2 ),1.1
20. Upper No Platte,36,47,2.6,3.5,34.9,"1,431,285","7,590.10",13.0 ( 16 ),13.8 ( 16 ),3.2
21. Upper Shoshone,107,112,7.9,8.4,53.2,"670,769","1,505.30",10.8 ( 4 ),11.2 ( 4 ),8.8
22. Upper Snake Basins,68,69,4.9,5.7,56.5,"2,133,786","6,974.50",11.4 ( 11 ),10.7 ( 10 ),5.3
23. Upper Yellowstone,88,90,5,5.4,36.7,"3,240,208","11,233.00",12.2 ( 20 ),12.8 ( 20 ),6.4
24. Wind,63,70,2.6,2.8,20.4,"1,165,455","7,750.00",9.5 ( 8 ),9.3 ( 9 ),2.4
25. Wood and Lost Basins,71,70,5.6,5.9,47.6,"2,345,034","7,420.10",10.2 ( 16 ),10.6 ( 16 ),4.1
