No.,Basin Code,Area (mi2),SWE (in.),Vol (AF)
1,AND,975.68,6.17,4705
2,BEU,447.3,1.32,520664
3,BUL,552.61,0,71825
4,BUM,69.5,6.62,0
5,CCL,6.66,0.16,7232
6,CCR,112.55,7.86,122970
7,CLE,202.03,12.23,177041
8,CMO,53.76,16.19,34143
9,CSC,614.19,9.59,1043372
10,DED,109.17,14.52,188
11,GRS,3.86,10.68,1086
12,HEII,4918.27,10.14,316893
13,HGH,1660.82,12.99,241723
14,HRSI,1492.86,6.61,38005
15,ISL,499.81,8.26,411051
16,JCK,804.44,13.38,37618
17,KAC,63.13,6.11,848
18,KEE,54.44,7.99,17746
19,LUC,1711.11,4.56,892114
20,MAN,56.18,1.78,12281
21,MCK,194.21,0,250596
22,NACW,685.52,3.07,0
23,OCH,290.83,0.05,70969
24,"OWY (Above 5,750')",2103.39,0.19,1938261
25,"OWY (Below 5,750')",8594.05,0,1673375
26,PARW,2401.75,1.39,0
27,PRV,2664.49,0.08,4193381
28,PWDO,347.97,1.14,859768
29,RIM,186,4.24,312823
30,RIR,638.42,0.91,282645
31,TEAI,874.62,5.67,1035815
32,UNY,310.23,0.61,255401
33,VALO,2567.48,0.01,95212
34,WAR,1075,0.41,701044
35,WLD,203.28,0.04,22428
36,WOD,273.84,4.01,152634
