,5/1/2026,5/10/2026,5/1/2026,5/10/2026,5/10/2026,5/10/2026,5/10/2026,5/1/2026,5/10/2026,5/10/2026
Basin,%5/1 Avg.,%5/10 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Belle Fourche,0,0,0,0,0,21,"7,233.40",0.0 ( 1 ),0.0 ( 1 ),0
2. Bighorn,71,77,1.1,0.9,7.9,"431,214","8,864.60",8.4 ( 8 ),7.3 ( 8 ),1.1
3. Cheyenne,0,0,0,0,0,0,"15,359.30",0.1 ( 2 ),0.0 ( 2 ),0
4. Gallatin,88,79,4,2.7,17.9,"266,257","1,848.40",16.9 ( 4 ),14.5 ( 4 ),4.8
5. Glendo,0,0,0,0,0,0,714.1,0.5 ( 4 ),0.2 ( 4 ),0
6. Jefferson,88,75,2.3,1.3,9.4,"626,421","8,812.20",11.8 ( 14 ),8.6 ( 14 ),1.8
7. Lower Bighorn,58,57,0.3,0.3,3.1,"44,324","3,259.10",NA,NA,0.3
8. Lower No Platte,0,0,0,0,0,0,824,NA,NA,0
9. Lower Shoshone,33,42,0.1,0.1,0.8,"4,094","1,474.60",NA,NA,0
10. Madison Headwaters in WY,77,64,4.5,2.7,18.7,"367,494","2,557.60",12.5 ( 7 ),9.5 ( 7 ),6.2
11. Powder,41,47,0.1,0.1,0.9,"60,534","13,397.20",2.4 ( 5 ),1.7 ( 5 ),0.1
12. Smith-Judith-Musselshell,76,73,0.5,0.3,2.4,"128,060","8,339.80",9.9 ( 9 ),6.8 ( 9 ),0.3
13. Snake,76,71,6.9,4.6,31.5,"1,414,271","5,741.50",10.8 ( 11 ),6.6 ( 11 ),6
14. Sun-Teton-Marias,141,133,1.1,0.7,4.1,"406,248","10,541.30",3.5 ( 5 ),1.9 ( 5 ),0.8
15. Sweetwater,25,43,0.3,0.2,2.4,"15,868","1,201.20",3.3 ( 2 ),1.1 ( 2 ),0.3
16. Tongue,54,54,0.4,0.3,3.3,"90,163","5,405.20",3.6 ( 6 ),3.3 ( 5 ),0.5
17. Upper Clark Fork,152,140,3.1,1.8,11.5,"586,529","6,006.90",11.6 ( 12 ),8.1 ( 12 ),3.1
18. Upper Green,59,57,2,1.4,9.9,"697,455","9,583.60",4.8 ( 22 ),3.7 ( 20 ),2.3
19. Upper Missouri,100,95,0.6,0.3,2.1,"45,968","2,956.30",0.0 ( 2 ),0.0 ( 2 ),0.2
20. Upper No Platte,15,11,0.4,0.2,6.7,"90,926","7,590.10",8.0 ( 16 ),7.3 ( 16 ),1.1
21. Upper Shoshone,112,110,8,6.4,36.6,"509,883","1,505.30",6.8 ( 4 ),8.6 ( 3 ),7.9
22. Upper Snake Basins,55,57,1.7,1.1,7.3,"409,664","6,974.50",6.3 ( 11 ),4.5 ( 11 ),2
23. Upper Yellowstone,102,95,5.2,3.8,23.4,"2,258,791","11,233.00",12.0 ( 20 ),9.6 ( 20 ),5.8
24. Wind,83,82,2.1,1.6,12.6,"675,507","7,750.00",5.4 ( 9 ),5.1 ( 7 ),2.5
25. Wood and Lost Basins,78,55,2.1,0.9,7.2,"371,149","7,420.10",4.5 ( 16 ),1.9 ( 16 ),0.7
