,,2/15/2026,2/22/2026,2/15/2026,2/22/2026,2/22/2026,2/22/2026,2/22/2026,2/15/2026,2/22/2026,2/22/2026
Basin,Elevation Band,%2/15 Avg.,%2/22 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
9. Gunnison,"8,000-9,000'",41,38,2.9,3.2,64,"291,530","1,716.10",6.1 ( 1 ),8.1 ( 1 ),3.8
9. Gunnison,"9,000-10,000'",50,51,3.9,4.6,74.4,"378,700","1,555.90",6.0 ( 4 ),8.1 ( 4 ),5
9. Gunnison,"10,000-11,000'",46,56,3.6,4.9,65,"323,982","1,228.40",6.2 ( 3 ),7.5 ( 3 ),6.2
9. Gunnison,"11,000-12,000'",53,64,5.6,7.4,78.1,"248,902",630,4.6 ( 3 ),5.9 ( 3 ),7.2
9. Gunnison,"12,000-13,000'",59,66,7.8,9.5,89.2,"137,855",270.9,NA,NA,7.1
9. Gunnison,"13,000-14,000'",63,68,8.5,10,90.7,"10,534",19.7,NA,NA,5.4
10. Little Colorado,"6,000-7,000'",0,5,0,0,1.5,"11,050","9,987.30",NA,NA,0.2
10. Little Colorado,"7,000-8,000'",0,9,0,0.1,4.8,"29,452","5,643.60",0.4 ( 3 ),1.9 ( 3 ),0.4
10. Little Colorado,"8,000-9,000'",3,15,0.1,0.4,12.6,"12,151",604.3,1.0 ( 2 ),2.3 ( 2 ),0.4
10. Little Colorado,"9,000-10,000'",19,39,0.9,2.2,59.5,"16,829",144.2,0.5 ( 1 ),0.6 ( 1 ),1.1
10. Little Colorado,"10,000-11,000'",21,53,1.2,3.3,35.8,"2,481",14.3,10.4 ( 1 ),13.2 ( 1 ),6.6
10. Little Colorado,">11,000'",43,69,3.4,5.9,43.1,"1,368",4.3,NA,NA,11.6
11. Lower Colorado Mainstream,"5,000-6,000'",0,5,0,0.2,22.4,"59,373","5,707.90",NA,NA,0.5
11. Lower Colorado Mainstream,"6,000-7,000'",0,19,0,0.6,29.7,"103,080","3,486.30",NA,NA,0.8
11. Lower Colorado Mainstream,"7,000-8,000'",0,21,0,0.9,36.3,"43,056",879.5,NA,3.2 ( 1 ),1.7
11. Lower Colorado Mainstream,"8,000-9,000'",5,35,0.3,2.1,45.1,"61,365",541,1.1 ( 1 ),4.3 ( 1 ),2.6
11. Lower Colorado Mainstream,"9,000-10,000'",27,64,2.2,5.3,67.6,"22,864",81,6.2 ( 2 ),11.5 ( 2 ),6
11. Lower Colorado Mainstream,"10,000-11,000'",36,74,2.7,5.6,58.4,493,1.6,NA,NA,11.1
12. Lower Green,"7,000-8,000'",8,25,0.4,1.3,28.8,"161,059","2,289.00",4.2 ( 2 ),6.4 ( 2 ),0.9
12. Lower Green,"8,000-9,000'",26,50,1.9,4,60.1,"382,559","1,779.70",2.6 ( 9 ),3.8 ( 9 ),3.3
12. Lower Green,"9,000-10,000'",49,70,4.7,7.2,78,"341,321",889,5.1 ( 8 ),6.4 ( 8 ),6.3
12. Lower Green,"10,000-11,000'",62,78,7,9.3,88.5,"251,775",509.3,8.6 ( 5 ),11.0 ( 5 ),9.4
12. Lower Green,"11,000-12,000'",67,78,8.3,10.3,89,"110,567",201.6,NA,NA,8.5
12. Lower Green,">12,000'",70,80,9.1,11.1,88.5,"14,972",25.2,NA,NA,5.3
13. Lower Rio Grande,"8,000-9,000'",2,4,0,0.1,2.9,"6,185","1,490.30",1.1 ( 3 ),1.2 ( 3 ),0.3
13. Lower Rio Grande,"9,000-10,000'",17,24,0.5,0.8,16.2,"10,458",257.5,4.6 ( 1 ),5.1 ( 1 ),1.3
13. Lower Rio Grande,"10,000-11,000'",45,57,2,2.9,46.7,"7,026",45.8,3.4 ( 2 ),3.8 ( 2 ),2.3
13. Lower Rio Grande,"11,000-12,000'",22,24,1.7,2.1,27.4,357,3.2,NA,NA,3.9
14. Lower Sevier,"6,000-7,000'",0,1,0,0,0.9,778,504.3,4.3 ( 1 ),7.0 ( 1 ),1.2
14. Lower Sevier,"7,000-8,000'",3,11,0.2,0.6,11.5,"8,413",256.2,1.8 ( 1 ),2.7 ( 2 ),1.9
14. Lower Sevier,"8,000-9,000'",22,38,1.6,3,42.7,"18,069",114.1,NA,NA,3.9
14. Lower Sevier,"9,000-10,000'",55,73,5.4,7.5,84.8,"12,650",31.8,5.0 ( 1 ),6.9 ( 1 ),5.6
15. Pecos,"9,000-10,000'",12,18,0.3,0.4,11.6,"4,339",193.4,NA,NA,0.5
15. Pecos,"10,000-11,000'",18,42,0.9,2.3,45.8,"11,421",94.9,1.1 ( 1 ),0.6 ( 1 ),2.7
15. Pecos,"11,000-12,000'",48,49,3.7,4.3,65.1,"9,693",42.7,1.8 ( 1 ),2.4 ( 1 ),4
15. Pecos,"12,000-13,000'",62,57,6.5,6.7,77,414,1.2,NA,NA,4.7
16. Provo-Utah Lake-Jordan,"5,000-6,000'",0,12,0,0.3,12.7,"12,516",683.2,NA,NA,0.3
16. Provo-Utah Lake-Jordan,"6,000-7,000'",2,16,0.1,1,25.3,"36,660",711.3,NA,5.1 ( 1 ),0.9
16. Provo-Utah Lake-Jordan,"7,000-8,000'",15,37,1.3,3.3,57.4,"115,828",653.4,3.0 ( 3 ),4.1 ( 3 ),3.6
16. Provo-Utah Lake-Jordan,"8,000-9,000'",44,62,4.8,7.1,83.4,"147,539",390.1,7.4 ( 8 ),9.2 ( 9 ),7.3
16. Provo-Utah Lake-Jordan,"9,000-10,000'",58,75,7.6,10.3,90.9,"114,646",209,11.6 ( 5 ),15.0 ( 5 ),10.5
16. Provo-Utah Lake-Jordan,"10,000-11,000'",59,73,8.9,11.4,85.2,"27,948",46,NA,NA,12.2
16. Provo-Utah Lake-Jordan,"11,000-12,000'",54,64,8.6,10.9,74.3,671,1.2,NA,NA,7.8
17. Rio Chama-Upper Rio Grande,"7,000-8,000'",0,1,0,0,1.4,"1,534","2,440.90",NA,NA,0.1
17. Rio Chama-Upper Rio Grande,"8,000-9,000'",5,10,0.2,0.3,12.8,"17,899","1,222.80",2.0 ( 2 ),2.7 ( 2 ),0.7
17. Rio Chama-Upper Rio Grande,"9,000-10,000'",24,31,1.1,1.4,35.5,"63,967",848.3,2.4 ( 5 ),2.8 ( 5 ),3.2
17. Rio Chama-Upper Rio Grande,"10,000-11,000'",35,45,2.2,2.9,48.3,"83,832",532.9,4.0 ( 4 ),4.4 ( 4 ),5.5
17. Rio Chama-Upper Rio Grande,"11,000-12,000'",39,40,2.9,3.3,47.4,"27,193",154.6,6.2 ( 1 ),7.0 ( 1 ),5.1
17. Rio Chama-Upper Rio Grande,"12,000-13,000'",59,55,6,6.2,83.2,"9,369",28.4,NA,NA,3.4
18. Rio Grande Headwaters,"7,000-8,000'",1,1,0,0,0.3,"1,753","2,682.20",NA,NA,0.1
18. Rio Grande Headwaters,"8,000-9,000'",2,6,0.1,0.2,8.2,"16,594","1,420.70",NA,NA,0.5
18. Rio Grande Headwaters,"9,000-10,000'",12,22,0.6,1.2,29.4,"80,624","1,270.60",2.7 ( 3 ),3.4 ( 3 ),2.2
