,,3/8/2026,3/15/2026,3/8/2026,3/15/2026,3/15/2026,3/15/2026,3/15/2026,3/8/2026,3/15/2026,3/15/2026
Basin,Elevation Band,%3/8 Avg.,%3/15 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Bear,"5,000-6,000'",25,11,1.3,0.6,11.7,"38,500","1,268.90",NA,NA,0
1. Bear,"6,000-7,000'",49,34,4.3,2.6,28.1,"344,694","2,464.70",3.4 ( 3 ),1.4 ( 3 ),0.5
1. Bear,"7,000-8,000'",73,59,8.3,6.1,54.3,"578,940","1,789.30",10.7 ( 6 ),10.2 ( 6 ),4.9
1. Bear,"8,000-9,000'",87,82,12.7,11.4,93.5,"355,401",585.8,17.6 ( 7 ),17.5 ( 7 ),14.7
1. Bear,"9,000-10,000'",91,86,13.5,12.4,92.6,"90,645",136.8,9.9 ( 2 ),9.6 ( 2 ),14
1. Bear,"10,000-11,000'",89,81,14.3,12.3,87.9,"40,217",61.1,NA,NA,14.5
1. Bear,"11,000-12,000'",88,81,15.4,13.4,86.2,"11,216",15.7,NA,NA,9.4
1. Bear,"12,000-13,000'",86,79,14.9,13,94.8,736,1.1,NA,NA,6.5
2. Beaver,"6,000-7,000'",0,0,0,0,0,0,479.9,NA,NA,0
2. Beaver,"7,000-8,000'",1,0,0,0,0,0,180.6,NA,NA,0
2. Beaver,"8,000-9,000'",24,9,1.5,0.5,7,"2,209",75.9,3.2 ( 1 ),3.5 ( 1 ),0.9
2. Beaver,"9,000-10,000'",72,52,6.4,4.6,48.1,"16,210",66.3,NA,NA,5.3
2. Beaver,"10,000-11,000'",88,75,10.7,8.8,69.1,"12,808",27.4,8.8 ( 1 ),8.8 ( 1 ),9.2
2. Beaver,"11,000-12,000'",80,73,12.9,11.2,68,"3,232",5.4,NA,NA,10.3
3. Blue,"7,000-8,000'",1,2,0.1,0.1,0.7,175,32.9,NA,NA,0
3. Blue,"8,000-9,000'",38,41,3.2,3.2,39.6,"17,640",101.8,NA,NA,0.7
3. Blue,"9,000-10,000'",57,58,5.1,5.1,68.1,"40,756",150.2,6.1 ( 1 ),6.1 ( 1 ),4.1
3. Blue,"10,000-11,000'",71,68,6.4,6,70.9,"52,056",162.3,10.1 ( 2 ),10.2 ( 2 ),7.3
3. Blue,"11,000-12,000'",79,73,10.8,9.5,85.1,"83,220",163.9,8.2 ( 2 ),8.5 ( 2 ),7.5
3. Blue,"12,000-13,000'",79,73,12.4,10.7,88.3,"37,825",66.3,NA,NA,4.8
3. Blue,">13,000'",77,72,12.9,11.1,86.3,"3,825",6.5,NA,NA,2.3
4. Canadian,"8,000-9,000'",0,0,0,0,0,0,737,NA,NA,0
4. Canadian,"9,000-10,000'",0,0,0,0,0,24,360.3,NA,NA,0
