,,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026
Basin,Elevation Band,%2/1 Avg.,SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Surveys,SNODAS (in.)*
11. Tuolomne,"7,000-8,000'",60,8.7,72.4,"68,900",149.1,9.2 ( 2 ),12.0 ( 1 ),6.2
11. Tuolomne,"8,000-9,000'",64,10.1,79.4,"90,393",167.9,10.3 ( 3 ),15.2 ( 2 ),11.2
11. Tuolomne,"9,000-10,000'",65,11.3,80.3,"106,209",176.1,14.1 ( 2 ),15.8 ( 3 ),14.9
11. Tuolomne,"10,000-11,000'",68,13.6,83.1,"62,826",86.6,NA,NA,14.7
11. Tuolomne,"11,000-12,000'",71,15.4,85,"19,764",24,NA,NA,12.1
11. Tuolomne,"12,000-13,000'",73,15.8,90,"2,030",2.4,NA,NA,10.2
12. Merced,"5,000-6,000'",1,0,0.1,64,69.7,NA,NA,0.2
12. Merced,"6,000-7,000'",23,1.7,16.1,"7,136",78.3,NA,NA,2.7
12. Merced,"7,000-8,000'",67,8.2,75.3,"57,824",131.9,NA,7.0 ( 1 ),8.8
12. Merced,"8,000-9,000'",70,10.1,85.8,"66,184",123.4,16.3 ( 2 ),15.3 ( 3 ),13.6
12. Merced,"9,000-10,000'",70,11.9,85.4,"53,137",84.1,NA,NA,16.8
12. Merced,"10,000-11,000'",68,14.2,84.5,"29,973",39.7,NA,15.5 ( 1 ),17.1
12. Merced,"11,000-12,000'",66,16.6,82.8,"9,831",11.1,NA,NA,16.4
12. Merced,"12,000-13,000'",66,20.9,92.9,"1,510",1.4,NA,NA,16.1
13. San Joaquin,"5,000-6,000'",0,0,0.3,125,137.2,NA,NA,1.3
13. San Joaquin,"6,000-7,000'",39,3.1,35.1,"29,384",177.6,6.2 ( 3 ),6.3 ( 3 ),5.2
13. San Joaquin,"7,000-8,000'",72,7.8,79.5,"89,504",214.2,11.5 ( 3 ),9.5 ( 6 ),10.9
13. San Joaquin,"8,000-9,000'",71,9,82,"93,739",195.3,NA,15.2 ( 3 ),16.2
13. San Joaquin,"9,000-10,000'",70,10.8,81.8,"115,591",201.4,16.1 ( 1 ),16.2 ( 3 ),17.2
13. San Joaquin,"10,000-11,000'",72,13.5,84.4,"113,521",157.5,NA,15.0 ( 3 ),15.1
13. San Joaquin,"11,000-12,000'",71,14.8,78.1,"90,245",114.6,NA,13.8 ( 3 ),11.5
13. San Joaquin,"12,000-13,000'",75,17.2,74.3,"23,988",26.2,NA,NA,8.2
13. San Joaquin,"13,000-14,000'",83,17.4,75.5,"1,341",1.4,NA,NA,5.6
14. Kings,"5,000-6,000'",0,0,0,27,95.6,NA,NA,0.3
14. Kings,"6,000-7,000'",10,0.7,6.8,"4,465",128.5,0.4 ( 1 ),7.5 ( 1 ),2.4
14. Kings,"7,000-8,000'",56,5.6,50.8,"50,194",168.2,NA,5.3 ( 3 ),7.9
14. Kings,"8,000-9,000'",70,8.5,74.4,"95,942",212.7,15.0 ( 1 ),14.4 ( 8 ),13.8
14. Kings,"9,000-10,000'",74,10.9,81,"125,808",216.8,19.8 ( 2 ),15.2 ( 4 ),14.6
14. Kings,"10,000-11,000'",74,13.1,81.1,"137,483",196.9,16.1 ( 2 ),15.6 ( 5 ),13.6
14. Kings,"11,000-12,000'",75,14.8,80.8,"116,987",147.8,13.7 ( 1 ),17.5 ( 1 ),11.6
14. Kings,"12,000-13,000'",77,16.9,82.1,"39,805",44.1,NA,NA,9.1
14. Kings,"13,000-14,000'",83,18.5,85.7,"2,761",2.8,NA,NA,6.4
15. Kaweah,"5,000-6,000'",0,0,0,0,55.5,NA,NA,0.0
15. Kaweah,"6,000-7,000'",3,0.1,1.2,376,59.5,NA,1.0 ( 1 ),0.7
15. Kaweah,"7,000-8,000'",41,3.7,31.4,"11,865",60.1,NA,NA,5.2
15. Kaweah,"8,000-9,000'",54,7.1,56.1,"21,359",56.8,NA,8.8 ( 2 ),10.2
15. Kaweah,"9,000-10,000'",67,10.9,73.9,"25,182",43.4,11.7 ( 1 ),NA,12.5
15. Kaweah,"10,000-11,000'",69,13.9,77.4,"22,068",29.8,NA,NA,13.6
15. Kaweah,">11,000'",72,15.8,81.2,"7,799",9.3,NA,NA,12.9
16. Tule,"5,000-6,000'",0,0,0,0,51.6,NA,NA,0.0
16. Tule,"6,000-7,000'",0,0,0,0,40,NA,NA,0.1
16. Tule,"7,000-8,000'",25,2.3,20.9,"3,259",26.8,2.3 ( 1 ),NA,1.2
16. Tule,"8,000-9,000'",54,7.3,58.2,"5,923",15.2,NA,NA,4.6
16. Tule,"9,000-10,000'",64,10.9,72.2,"2,347",4.1,NA,NA,10.4
17. Kern,"5,000-6,000'",0,0,0,0,246.2,NA,NA,0.0
17. Kern,"6,000-7,000'",4,0.1,1.3,"2,548",341.5,NA,NA,0.0
17. Kern,"7,000-8,000'",28,2.1,17,"36,687",326.6,0.9 ( 1 ),4.0 ( 1 ),1.0
17. Kern,"8,000-9,000'",76,8.2,56.8,"137,196",314.7,NA,7.2 ( 3 ),4.7
17. Kern,"9,000-10,000'",89,10.5,75.4,"106,119",189.2,13.2 ( 1 ),9.0 ( 2 ),7.8
17. Kern,"10,000-11,000'",87,12.4,84.3,"85,558",129.2,11.6 ( 2 ),13.3 ( 3 ),9.8
17. Kern,"11,000-12,000'",81,14.4,83.1,"70,195",91.6,20.2 ( 1 ),14.2 ( 2 ),11.3
17. Kern,"12,000-13,000'",83,16.3,78.5,"32,842",37.8,NA,NA,9.6
17. Kern,">13,000'",94,17.4,75.5,"5,478",5.9,NA,NA,6.9
18. Truckee,"5,000-6,000'",65,4.5,68.2,"16,467",68.6,NA,NA,8.2
18. Truckee,"6,000-7,000'",60,6,74.5,"65,559",206.5,8.7 ( 4 ),9.5 ( 1 ),7.7
18. Truckee,"7,000-8,000'",55,7.7,78.6,"46,074",111.9,11.9 ( 2 ),NA,10.3
18. Truckee,"8,000-9,000'",59,10.1,86.6,"16,385",30.5,NA,NA,15.1
18. Truckee,"9,000-10,000'",70,11.9,91.2,"4,716",7.4,NA,NA,17.8
18. Truckee,"10,000-11,000'",75,13.2,88.2,339,0.5,NA,NA,19.8
19. Tahoe,"6,000-7,000'",19,1.5,19,"24,772",312.6,6.7 ( 2 ),NA,4.2
19. Tahoe,"7,000-8,000'",58,6.8,72.7,"38,931",107.1,10.2 ( 4 ),10.0 ( 2 ),8.8
19. Tahoe,"8,000-9,000'",63,9.6,81.4,"36,335",70.9,8.6 ( 1 ),NA,11.3
19. Tahoe,"9,000-10,000'",70,12,83.6,"10,544",16.5,NA,NA,12.9
19. Tahoe,"10,000-11,000'",77,13.1,90.5,741,1.1,NA,NA,10.6
20. W Carson,"5,000-6,000'",161,5.1,85.3,79,0.3,NA,NA,4.0
20. W Carson,"6,000-7,000'",89,5.3,58.2,550,1.9,NA,NA,8.4
20. W Carson,"7,000-8,000'",70,7.8,89.2,"11,683",28.1,NA,NA,11.0
20. W Carson,"8,000-9,000'",69,10,88.2,"14,788",27.8,12.3 ( 3 ),NA,12.9
20. W Carson,"9,000-10,000'",70,11.8,85.3,"4,382",6.9,NA,NA,12.3
20. W Carson,"10,000-11,000'",72,12.6,88.7,195,0.3,NA,NA,12.6
21. E Carson,"5,000-6,000'",66,1.5,28.8,"2,617",33.4,NA,NA,0.5
21. E Carson,"6,000-7,000'",93,4.2,74.1,"17,825",79.4,2.5 ( 1 ),NA,4.1
21. E Carson,"7,000-8,000'",67,5.6,88.9,"30,162",100.2,7.4 ( 1 ),NA,7.4
21. E Carson,"8,000-9,000'",67,8.8,92.1,"45,561",97.3,10.4 ( 2 ),NA,10.3
21. E Carson,"9,000-10,000'",69,11.5,88,"21,279",34.7,NA,NA,11.7
21. E Carson,">10,000'",75,13.8,87.9,"7,549",10.2,NA,NA,11.8
22. W Walker,"6,000-7,000'",66,2.4,83.2,952,7.3,NA,NA,3.5
22. W Walker,"7,000-8,000'",56,3,89.6,"6,183",38.7,7.0 ( 1 ),NA,4.1
22. W Walker,"8,000-9,000'",67,7,92.4,"17,142",46.1,9.0 ( 2 ),12.5 ( 1 ),8.8
22. W Walker,"9,000-10,000'",70,11.3,89.2,"36,713",60.8,27.2 ( 1 ),NA,15.1
22. W Walker,"10,000-11,000'",70,13.9,89,"18,441",24.9,NA,NA,15.2
22. W Walker,"11,000-12,000'",77,14.3,81.8,"1,476",1.9,NA,NA,12.0
23. E Walker,"6,000-7,000'",2,0.1,83.7,346,60.6,NA,NA,2.8
23. E Walker,"7,000-8,000'",26,0.9,87.6,"5,218",111.7,NA,NA,3.0
23. E Walker,"8,000-9,000'",38,2.7,89.7,"12,747",88.1,NA,NA,4.5
23. E Walker,"9,000-10,000'",59,6.8,87.9,"19,420",53.9,9.9 ( 1 ),NA,9.4
23. E Walker,"10,000-11,000'",68,9.6,78.7,"17,797",34.7,NA,NA,11.6
23. E Walker,">11,000'",72,9.5,81.5,"3,725",7.3,NA,NA,10.1
24. Mono,"6,000-7,000'",0,0,39.8,107,374.9,NA,NA,2.3
24. Mono,"7,000-8,000'",9,0.4,74.8,"8,700",392.8,NA,NA,3.7
24. Mono,"8,000-9,000'",42,2.5,84.5,"23,663",178.9,NA,NA,4.9
24. Mono,"9,000-10,000'",62,5.9,86.9,"20,272",64.1,NA,14.8 ( 3 ),9.7
24. Mono,"10,000-11,000'",69,10.2,89.4,"25,787",47.2,NA,22.5 ( 1 ),13.1
24. Mono,"11,000-12,000'",73,13,87.5,"16,466",23.7,NA,NA,11.5
24. Mono,"12,000-13,000'",76,14.1,88.7,"3,201",4.2,NA,NA,10.8
25. Upper Owens,"6,000-7,000'",47,0.8,76.3,"3,034",68.6,NA,NA,7.6
25. Upper Owens,"7,000-8,000'",77,3,82.3,"22,895",143.6,NA,NA,9.1
25. Upper Owens,"8,000-9,000'",83,6.8,81.1,"27,210",75.4,NA,NA,10.8
25. Upper Owens,"9,000-10,000'",69,7.4,82.6,"17,348",44.2,13.2 ( 1 ),20.0 ( 1 ),11.4
25. Upper Owens,"10,000-11,000'",67,8.8,78.6,"15,210",32.4,NA,NA,10.2
25. Upper Owens,"11,000-12,000'",73,10.9,73.8,"9,023",15.5,NA,NA,6.9
25. Upper Owens,"12,000-13,000'",74,9.6,61.4,"1,476",2.9,NA,NA,4.0
26. Owens,"5,000-6,000'",0,0,0,0,421.9,NA,NA,0.0
26. Owens,"6,000-7,000'",3,0,2.4,159,342.5,NA,NA,0.2
26. Owens,"7,000-8,000'",13,0.2,25.3,"3,094",314.8,NA,NA,1.4
26. Owens,"8,000-9,000'",42,0.9,37.8,"8,844",178.7,NA,NA,2.2
26. Owens,"9,000-10,000'",65,3.7,59.1,"29,292",148.1,6.1 ( 2 ),8.0 ( 1 ),4.2
26. Owens,"10,000-11,000'",80,7.3,73.7,"64,143",163.8,11.4 ( 2 ),12.0 ( 2 ),6.7
26. Owens,"11,000-12,000'",84,11,73.7,"77,533",132,NA,17.5 ( 1 ),7.4
26. Owens,"12,000-13,000'",86,13.4,75.3,"44,273",62.1,NA,NA,5.5
26. Owens,">13,000'",94,12.4,69.5,"6,058",9.2,NA,NA,3.6
