,5/1/2026,5/10/2026,5/1/2026,5/10/2026,5/10/2026,5/10/2026,5/10/2026,5/1/2026,5/10/2026,5/10/2026
Basin,%5/1 Avg.,%5/10 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Alvord Lake,41,21,0.5,0.2,1.4,"3,055",322.7,NA,NA,0
2. Bitterroot,124,89,7.5,4.1,31.4,"431,690","1,955.00",10.6 ( 4 ),6.9 ( 4 ),5.3
3. Carson,25,8,0.7,0.2,5.1,"13,276","1,407.70",2.1 ( 7 ),0.8 ( 7 ),0.4
4. Clearwater Basin,116,81,4.9,2.6,19.8,"1,042,807","7,475.20",18.7 ( 11 ),12.2 ( 11 ),5.4
5. Clover Valley and Franklin,29,14,0.1,0,0.3,"5,846","4,115.00",0.0 ( 2 ),0.0 ( 2 ),0
6. Donner und Blitzen,50,20,2.2,0.6,3.9,"7,041",219.9,4.2 ( 2 ),0.0 ( 2 ),0
7. Dry Lake Valley,17,10,0.1,0,0.4,321,296.3,NA,NA,0
8. Eastern Nevada,13,13,0.1,0.1,0.9,"11,881","4,375.20",0.9 ( 8 ),0.0 ( 8 ),0
9. Flathead,158,140,6.2,4.3,23.3,"1,753,333","7,644.30",18.9 ( 13 ),13.0 ( 11 ),8.5
10. Grande Ronde-Burnt-Powder-Imnaha,69,44,2.1,1,6.9,"293,466","5,316.00",3.1 ( 11 ),1.3 ( 11 ),0.7
11. Guano,0,0,0,0,0,0,"2,062.90",0.0 ( 1 ),0.0 ( 1 ),0
12. Harney-Malheur Lakes,0,0,0,0,0,0,280.6,NA,NA,0
13. John Day,37,26,0.8,0.4,3.8,"32,427","1,504.70",0.0 ( 2 ),0.0 ( 2 ),0
14. Kootenai,108,80,3.6,2.1,12.9,"186,617","1,671.80",14.5 ( 5 ),8.6 ( 5 ),6.2
15. Lake County-Goose Lake,8,2,0.1,0,0.1,"2,895","3,623.70",0.0 ( 2 ),0.0 ( 2 ),0
16. Little Humboldt,9,2,0.1,0,0,169,420.8,0.0 ( 3 ),0.0 ( 3 ),0
17. Lower Clark Fork,135,96,6.6,3.6,26.2,"286,799","1,474.70",38.0 ( 4 ),34.0 ( 3 ),10.7
18. Lower Humboldt,8,0,0,0,0,0,272.6,0.0 ( 1 ),0.0 ( 1 ),0
19. Lower Pend Oreille,89,63,5.3,2.7,16.8,"19,564",133.4,9.4 ( 1 ),2.7 ( 1 ),9.1
20. Lower Snake-Asotin,25,7,0.1,0,0.4,364,333.7,0.0 ( 2 ),0.0 ( 1 ),0
21. Lower Snake-Tucannon,54,16,0.9,0.2,2.5,866,108.3,NA,NA,0.2
22. Lower Yakima,26,12,0.4,0.1,1.4,"3,353",485,4.8 ( 2 ),0.1 ( 2 ),0.2
23. Malheur,33,22,0.5,0.2,1.6,"10,202",989.2,0.0 ( 3 ),0.0 ( 3 ),0
24. Middle Humboldt,0,0,0,0,0,0,633,NA,NA,0
25. Northern Big Smoky Valley,15,11,0.2,0.1,2.1,"2,367",572.8,NA,NA,0
26. Northern Great Basin,12,1,0,0,0,194,"2,224.90",0.0 ( 2 ),0.0 ( 2 ),0
27. Panhandle Basins,89,70,3.3,2.1,12.9,"184,663","1,644.60",18.9 ( 3 ),12.1 ( 3 ),4.1
28. Reese,9,6,0.1,0,1,888,496.9,0.0 ( 2 ),0.0 ( 2 ),0
29. Rock,1,0,0,0,0,0,835.5,0.0 ( 1 ),0.0 ( 1 ),0
30. Salmon Basin,101,68,6.7,3.3,29.7,"2,121,563","11,950.50",14.3 ( 11 ),8.6 ( 11 ),3.8
31. Silver,0,0,0,0,0,0,444.3,NA,NA,0
32. Silvies,12,13,0,0,0.1,984,"1,317.40",0.0 ( 2 ),0.0 ( 2 ),0
33. Southern Snake Basins,20,11,0.1,0,0.2,"15,781","12,552.70",1.4 ( 13 ),0.0 ( 13 ),0
34. Spokane,90,52,1.1,0.4,3.8,"74,890","3,142.80",3.3 ( 8 ),0.2 ( 7 ),2.2
35. St. Mary,119,110,9.2,6.7,35.9,"240,298",668.1,0.0 ( 1 ),0.0 ( 1 ),5.2
36. Truckee,16,5,0.5,0.1,3.3,"8,246","1,443.60",5.7 ( 9 ),3.8 ( 9 ),0.5
37. Umatilla-Walla Walla-Willow,9,1,0,0,0.1,227,"1,434.30",2.3 ( 7 ),0.9 ( 7 ),0
38. Upper Humboldt,37,18,0.2,0.1,1,"20,344","5,035.80",1.0 ( 8 ),0.1 ( 8 ),0
39. Walker,37,13,0.9,0.2,6.9,"24,862","1,942.90",8.5 ( 7 ),6.9 ( 7 ),1
40. West Central Basins,75,49,4.6,2.2,18.1,"674,111","5,702.10",8.0 ( 16 ),4.1 ( 16 ),2.7
