,4/1/2026,4/5/2026,4/1/2026,4/5/2026,4/5/2026,4/5/2026,4/5/2026,4/1/2026,4/5/2026,4/5/2026
Basin,%4/1 Avg.,%4/5 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Belle Fourche,1,1,0,0,0.3,"1,433","7,233.40",0.0 ( 1 ),0.2 ( 1 ),0
2. Bighorn,46,50,1.1,1.2,7.9,"579,576","8,864.60",7.4 ( 8 ),8.2 ( 8 ),1.4
3. Cheyenne,2,1,0,0,0.1,"1,683","15,359.30",0.0 ( 2 ),0.0 ( 2 ),0.1
4. Gallatin,63,65,4.3,4.7,28.7,"459,217","1,848.40",14.5 ( 4 ),15.8 ( 4 ),5.7
5. Glendo,0,0,0,0,0,50,714.1,1.0 ( 4 ),1.8 ( 4 ),0.5
6. Jefferson,50,52,3.2,3.2,21.2,"1,523,431","8,812.20",10.8 ( 14 ),11.6 ( 14 ),3.1
7. Lower Bighorn,31,37,0.3,0.4,4.4,"63,965","3,259.10",NA,NA,0.5
8. Lower No Platte,0,0,0,0,0,27,824,NA,NA,0
9. Lower Shoshone,10,12,0.1,0.1,0.8,"5,327","1,474.60",NA,NA,0.1
10. Madison Headwaters in WY,58,59,5,5.3,36.8,"721,843","2,557.60",11.5 ( 7 ),11.9 ( 7 ),7.8
11. Powder,14,17,0.1,0.1,0.9,"84,851","13,397.20",1.6 ( 5 ),2.5 ( 5 ),0.2
12. Smith-Judith-Musselshell,39,43,1.2,1.1,14.8,"490,978","8,339.80",10.5 ( 9 ),11.3 ( 9 ),0.8
13. Snake,63,65,8,8.6,58.5,"2,630,227","5,741.50",13.3 ( 11 ),14.1 ( 11 ),9.6
14. Sun-Teton-Marias,70,72,1.3,1.3,7.1,"752,207","10,541.30",6.3 ( 5 ),6.5 ( 5 ),1.6
15. Sweetwater,7,8,0.4,0.4,4.2,"25,614","1,201.20",4.3 ( 2 ),5.2 ( 2 ),0.7
16. Tongue,34,39,0.4,0.4,3.6,"121,934","5,405.20",3.3 ( 6 ),4.7 ( 6 ),0.7
17. Upper Clark Fork,88,93,4.5,4.7,32.9,"1,494,297","6,006.90",12.4 ( 12 ),13.0 ( 12 ),5.8
18. Upper Green§,36,41,2.1,2.3,19.8,"1,176,065","9,583.60",6.5 ( 22 ),7.0 ( 21 ),3.2
19. Upper Missouri,31,36,0.9,1,7.7,"155,578","2,956.30",2.6 ( 2 ),2.7 ( 2 ),0.7
20. Upper No Platte,11,14,0.6,0.8,10.1,"304,516","7,590.10",8.7 ( 16 ),10.1 ( 16 ),1.7
21. Upper Shoshone,95,95,7.7,8.3,42.7,"669,786","1,505.30",7.7 ( 4 ),7.8 ( 4 ),8.5
22. Upper Snake Basins,26,28,1.9,2,14.9,"757,459","6,974.50",6.5 ( 11 ),6.9 ( 11 ),2.8
23. Upper Yellowstone,82,82,5.1,5.5,32.2,"3,287,344","11,233.00",11.8 ( 20 ),12.3 ( 20 ),6.6
24. Wind,61,63,2.1,2.3,14.6,"941,212","7,750.00",5.8 ( 9 ),8.5 ( 6 ),2.9
25. Wood and Lost Basins,37,41,2.4,2.5,17.8,"984,919","7,420.10",6.5 ( 16 ),6.7 ( 16 ),2
