,,5/1/2026,5/10/2026,5/1/2026,5/10/2026,5/10/2026,5/10/2026,5/10/2026,5/1/2026,5/10/2026,5/10/2026
Basin,Elevation Band,%5/1 Avg.,%5/10 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Central Columbia,"3,000-4,000'",21,12,0.6,0.2,2.2,"7,233",658.8,5.8 ( 2 ),0.2 ( 2 ),0.7
1. Central Columbia,"4,000-5,000'",44,27,4.1,2.1,18.2,"59,821",532.7,0.0 ( 2 ),0.0 ( 2 ),7
1. Central Columbia,"5,000-6,000'",72,42,11.3,6.7,42.9,"190,805",533.9,19.8 ( 2 ),14.1 ( 2 ),19.9
1. Central Columbia,"6,000-7,000'",102,57,19.9,13.3,61.3,"229,750",323,NA,NA,34.7
1. Central Columbia,"7,000-8,000'",130,70,27.8,20,65.3,"83,012",77.9,NA,NA,47.2
1. Central Columbia,"8,000-9,000'",147,72,29.9,21.3,66.6,"3,723",3.3,NA,NA,54.7
2. Central Puget Sound,"3,000-4,000'",27,16,1.2,0.6,8.5,"17,728",555.8,18.6 ( 3 ),8.6 ( 3 ),3.2
2. Central Puget Sound,"4,000-5,000'",58,35,6,3.7,39.5,"89,666",457.3,13.8 ( 2 ),3.6 ( 2 ),9.7
2. Central Puget Sound,"5,000-6,000'",106,59,17,11.9,70.3,"113,428",179.2,NA,NA,29.6
2. Central Puget Sound,"6,000-7,000'",131,69,28.6,20.8,75,"52,886",47.8,NA,NA,61.1
2. Central Puget Sound,"7,000-8,000'",148,76,38.6,28.5,87.2,"8,792",5.8,NA,NA,94.1
2. Central Puget Sound,"8,000-9,000'",167,86,52.9,39.9,96.7,411,0.2,NA,NA,115.3
2. Central Puget Sound,">9,000'",263,120,75.6,56.6,88.1,291,0.1,NA,NA,156.2
3. Hood-Sandy-Lower Deschutes,"2,000-3,000'",0,0,0,0,0,0,"2,531.10",0.0 ( 1 ),0.0 ( 1 ),0
3. Hood-Sandy-Lower Deschutes,"3,000-4,000'",0,0,0,0,0,0,"1,613.30",0.0 ( 4 ),0.0 ( 5 ),0.1
