No.,Basin Code,Area (mi2),SWE (in.),Vol (AF)
01,AND,975.68,5.1,299.0
02,BEU,447.3,0.9,548988.0
03,BUL,552.61,0.0,68771.0
04,BUM,69.5,7.94,0.0
05,CCL,6.66,0.21,7546.0
06,CCR,112.55,7.94,140531.0
07,CLE,202.03,12.27,176349.0
08,CMO,53.76,16.37,32344.0
09,CSC,614.19,8.46,1073290.0
10,DED,109.17,14.09,0.0
11,GRS,3.86,9.31,651.0
12,HEII,4918.27,8.04,72286.0
13,HGH,1660.82,12.96,322417.0
14,HRSI,1492.86,5.84,47930.0
15,ISL,499.81,5.47,407591.0
16,JCK,804.44,12.09,6677.0
17,KAC,63.13,6.12,836.0
18,KEE,54.44,8.04,17359.0
19,LUC,1711.11,3.85,837178.0
20,MAN,56.18,0.87,12266.0
21,MCK,194.21,0.0,253477.0
22,NACW,685.52,2.88,0.0
23,OCH,290.83,0.02,66520.0
24,"OWY (Above 5,750')",2103.39,0.12,2039543.0
25,"OWY (Below 5,750')",8594.05,0.0,996547.0
26,PARW,2401.75,0.99,0.0
27,PRV,2664.49,0.02,4870979.0
28,PWDO,347.97,1.01,1102359.0
29,RIM,186.0,4.52,356986.0
30,RIR,638.42,0.17,301635.0
31,TEAI,874.62,4.78,1108482.0
32,UNY,310.23,0.49,252635.0
33,VALO,2567.48,0.0,57169.0
34,WAR,1075.0,0.27,692565.0
35,WLD,203.28,0.01,12766.0
36,WOD,273.84,3.21,145846.0
