No.,Basin Code,Area (mi2),SWE (in.),Vol (AF)
01,AND,975.68,4.74,578.0
02,BEU,447.3,0.84,541319.0
03,BUL,552.61,0.0,71119.0
04,BUM,69.5,6.93,0.0
05,CCL,6.66,0.18,7652.0
06,CCR,112.55,8.17,133389.0
07,CLE,202.03,12.4,183908.0
08,CMO,53.76,15.07,33997.0
09,CSC,614.19,7.88,1049047.0
10,DED,109.17,13.13,0.0
11,GRS,3.86,8.01,723.0
12,HEII,4918.27,7.49,115183.0
13,HGH,1660.82,12.17,281708.0
14,HRSI,1492.86,5.45,49970.0
15,ISL,499.81,5.44,392141.0
16,JCK,804.44,11.12,7558.0
17,KAC,63.13,6.13,814.0
18,KEE,54.44,8.12,18006.0
19,LUC,1711.11,3.58,843875.0
20,MAN,56.18,1.05,12433.0
21,MCK,194.21,0.0,258572.0
22,NACW,685.52,2.72,0.0
23,OCH,290.83,0.02,69741.0
24,"OWY (Above 5,750')",2103.39,0.08,1889572.0
25,"OWY (Below 5,750')",8594.05,0.0,1098286.0
26,PARW,2401.75,1.02,0.0
27,PRV,2664.49,0.02,4308216.0
28,PWDO,347.97,0.92,860891.0
29,RIM,186.0,4.15,321447.0
30,RIR,638.42,0.16,278645.0
31,TEAI,874.62,4.4,1027087.0
32,UNY,310.23,0.47,258812.0
33,VALO,2567.48,0.0,90024.0
34,WAR,1075.0,0.25,694516.0
35,WLD,203.28,0.0,13180.0
36,WOD,273.84,3.08,137469.0
