,4/26/2026,5/1/2026,4/26/2026,5/1/2026,5/1/2026,5/1/2026,5/1/2026,4/26/2026,5/1/2026,5/1/2026,5/1/2026
Basin,%4/26 Avg.,%5/1 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,Surveys,SNODAS (in.)*
1. Alvord Lake,38,41,0.6,0.5,3.6,"9,246",322.7,NA,NA,0.0 ( 1 ),0.3
2. Bitterroot,103,124,6.8,7.5,42.7,"778,744","1,955.00",10.9 ( 4 ),10.6 ( 4 ),NA,9.2
3. Carson,29,25,0.9,0.7,9,"49,671","1,407.70",2.8 ( 7 ),2.1 ( 7 ),NA,0.7
4. Clearwater Basin,103,116,4.8,4.9,28.9,"1,939,998","7,475.20",19.1 ( 11 ),18.7 ( 11 ),NA,8.8
5. Clover Valley and Franklin,23,29,0.1,0.1,0.7,"16,786","4,115.00",0.2 ( 2 ),0.0 ( 2 ),NA,0
6. Donner und Blitzen,49,50,2.6,2.2,16.2,"25,610",219.9,5.0 ( 2 ),4.2 ( 2 ),NA,1.7
7. Dry Lake Valley,4,17,0,0.1,1.4,944,296.3,NA,NA,NA,0.3
8. Eastern Nevada,7,13,0.1,0.1,1.3,"17,995","4,375.20",0.4 ( 8 ),0.9 ( 8 ),NA,0.2
9. Flathead,150,158,6.1,6.2,29.5,"2,532,938","7,644.30",19.1 ( 13 ),18.9 ( 13 ),9.4 ( 16 ),11.1
10. Grande Ronde-Burnt-Powder-Imnaha,58,69,1.9,2.1,10.4,"594,797","5,316.00",3.5 ( 11 ),3.1 ( 11 ),0.0 ( 1 ),1.7
11. Guano,0,0,0,0,0,0,"2,062.90",0.0 ( 1 ),0.0 ( 1 ),0.0 ( 1 ),0
12. Harney-Malheur Lakes,0,0,0,0,0,0,280.6,NA,NA,NA,0
13. John Day,36,37,1,0.8,7.8,"67,710","1,504.70",0.8 ( 2 ),0.0 ( 2 ),NA,0.2
14. Kootenai,102,108,3.8,3.6,17.9,"325,301","1,671.80",15.2 ( 5 ),14.5 ( 5 ),19.0 ( 2 ),9.2
15. Lake County-Goose Lake,8,8,0.1,0.1,0.7,"17,737","3,623.70",0.7 ( 2 ),0.0 ( 2 ),0.0 ( 3 ),0
16. Little Humboldt,9,9,0.1,0.1,0.6,"1,585",420.8,0.0 ( 3 ),0.0 ( 3 ),NA,0
17. Lower Clark Fork,125,135,7,6.6,38.5,"521,384","1,474.70",41.0 ( 3 ),38.0 ( 4 ),15.4 ( 5 ),16
18. Lower Humboldt,9,8,0,0,0.3,386,272.6,0.0 ( 1 ),0.0 ( 1 ),NA,0
19. Lower Pend Oreille,98,89,6.7,5.3,30.6,"37,745",133.4,11.3 ( 1 ),9.4 ( 1 ),NA,14.7
20. Lower Snake-Asotin,30,25,0.2,0.1,1.4,"2,167",333.7,0.0 ( 1 ),0.0 ( 2 ),NA,0.2
21. Lower Snake-Tucannon,53,54,1.2,0.9,8.8,"4,942",108.3,NA,NA,NA,1.8
22. Lower Yakima,24,26,0.5,0.4,3.2,"11,158",485,6.3 ( 2 ),4.8 ( 2 ),NA,0.8
23. Malheur,34,33,0.7,0.5,4.3,"24,775",989.2,0.0 ( 3 ),0.0 ( 3 ),NA,0.1
24. Middle Humboldt,4,0,0,0,0,21,633,NA,NA,NA,0
25. Northern Big Smoky Valley,11,15,0.2,0.2,3.6,"4,998",572.8,NA,NA,NA,0.1
26. Northern Great Basin,13,12,0.1,0,0.3,"4,208","2,224.90",0.0 ( 2 ),0.0 ( 2 ),NA,0
27. Panhandle Basins,91,89,3.7,3.3,18.5,"292,627","1,644.60",19.6 ( 3 ),18.9 ( 3 ),0.8 ( 1 ),7.2
28. Reese,7,9,0.1,0.1,1.9,"2,186",496.9,0.1 ( 2 ),0.0 ( 2 ),NA,0.1
29. Rock,1,1,0,0,0,43,835.5,0.2 ( 1 ),0.0 ( 1 ),NA,0
30. Salmon Basin,83,101,6.1,6.7,43.3,"4,239,690","11,950.50",14.9 ( 11 ),14.3 ( 11 ),NA,7.1
31. Silver,0,0,0,0,0,0,444.3,NA,NA,NA,0
32. Silvies,8,12,0,0,0.2,"2,117","1,317.40",0.0 ( 2 ),0.0 ( 2 ),NA,0
33. Southern Snake Basins,18,20,0.1,0.1,0.7,"50,544","12,552.70",1.5 ( 13 ),1.4 ( 13 ),NA,0.1
34. Spokane,94,90,1.5,1.1,7.5,"190,779","3,142.80",4.1 ( 8 ),3.3 ( 8 ),0.9 ( 6 ),4
35. St. Mary,113,119,8.9,9.2,43.6,"329,382",668.1,0.2 ( 1 ),0.0 ( 1 ),20.8 ( 5 ),8.2
36. Truckee,19,16,0.8,0.5,7.1,"38,504","1,443.60",5.8 ( 9 ),5.7 ( 9 ),NA,0.8
37. Umatilla-Walla Walla-Willow,13,9,0.1,0,0.6,"3,416","1,434.30",3.1 ( 7 ),2.3 ( 7 ),NA,0.1
38. Upper Humboldt,30,37,0.2,0.2,1.8,"58,406","5,035.80",1.2 ( 8 ),1.0 ( 8 ),NA,0.1
39. Walker,37,37,1,0.9,9.2,"88,844","1,942.90",8.8 ( 7 ),8.5 ( 7 ),NA,1.4
40. West Central Basins,63,75,4.4,4.6,29.1,"1,406,774","5,702.10",8.6 ( 16 ),8.0 ( 16 ),4.0 ( 3 ),5.2
