,,4/26/2026,5/1/2026,4/26/2026,5/1/2026,5/1/2026,5/1/2026,5/1/2026,4/26/2026,5/1/2026,5/1/2026,5/1/2026
Basin,Elevation Band,%4/26 Avg.,%5/1 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,Surveys,SNODAS (in.)*
1. Belle Fourche,"2,000-3,000'",NA,NA,0,0,0,0,"1,734.80",NA,NA,NA,0
1. Belle Fourche,"3,000-4,000'",NA,NA,0,0,0,0,"1,717.40",NA,NA,NA,0
1. Belle Fourche,"4,000-5,000'",0,0,0,0,0,0,"2,849.60",NA,NA,NA,0
1. Belle Fourche,"5,000-6,000'",0,0,0,0,0.1,0,721.2,0.0 ( 1 ),0.0 ( 1 ),NA,0
1. Belle Fourche,"6,000-7,000'",0,0,0,0,0.6,8,208.1,NA,NA,NA,0.2
1. Belle Fourche,"7,000-8,000'",0,0,0,0,0,0,2.3,NA,NA,NA,0.3
2. Bighorn,"3,000-4,000'",0,NA,0,0,0,0,273.6,NA,NA,NA,0
2. Bighorn,"4,000-5,000'",0,0,0,0,0,0,"3,531.10",NA,NA,NA,0
2. Bighorn,"5,000-6,000'",0,0,0,0,0,0,"1,949.70",NA,NA,NA,0
2. Bighorn,"6,000-7,000'",1,2,0,0,0.1,130,"1,082.60",NA,NA,NA,0.3
2. Bighorn,"7,000-8,000'",9,13,0.2,0.2,4.3,"7,304",715.4,0.2 ( 1 ),1.6 ( 2 ),NA,0.9
2. Bighorn,"8,000-9,000'",35,42,2.3,2.3,27.9,"67,746",541.1,NA,NA,2.6 ( 3 ),2.2
2. Bighorn,"9,000-10,000'",72,77,7.5,7.8,60.6,"178,807",427.2,10.1 ( 5 ),10.7 ( 5 ),11.5 ( 1 ),9.9
2. Bighorn,"10,000-11,000'",90,96,12.2,13.2,81.1,"171,473",243.8,9.6 ( 1 ),10.2 ( 1 ),NA,16
2. Bighorn,"11,000-12,000'",102,105,16.7,17.9,88.8,"88,093",92.4,NA,NA,NA,15.9
2. Bighorn,">12,000'",107,109,19.7,21.4,87.9,"8,706",7.6,NA,NA,NA,13.5
3. Cheyenne,"2,000-3,000'",0,0,0,0,0,0,"3,402.70",NA,NA,NA,0
3. Cheyenne,"3,000-4,000'",NA,NA,0,0,0,0,"3,673.10",NA,NA,NA,0
3. Cheyenne,"4,000-5,000'",0,0,0,0,0,0,"5,669.50",NA,NA,NA,0
3. Cheyenne,"5,000-6,000'",0,0,0,0,0,0,"2,131.40",NA,NA,NA,0
3. Cheyenne,"6,000-7,000'",0,0,0,0,0,0,478.2,0.1 ( 2 ),0.1 ( 2 ),NA,0.3
3. Cheyenne,"7,000-8,000'",0,0,0,0,0,0,4.4,NA,NA,NA,0.4
4. Gallatin,"4,000-5,000'",0,0,0,0,0,0,462.7,NA,NA,NA,0
4. Gallatin,"5,000-6,000'",1,1,0,0,0.1,32,296.9,NA,NA,NA,0.1
4. Gallatin,"6,000-7,000'",7,8,0.2,0.1,1.8,"2,032",279.8,NA,NA,2.2 ( 1 ),0.9
4. Gallatin,"7,000-8,000'",43,50,2.9,2.8,26.2,"55,888",372.8,1.1 ( 1 ),1.3 ( 1 ),4.8 ( 3 ),6.1
4. Gallatin,"8,000-9,000'",95,102,11.7,12.2,74.3,"205,110",315.9,18.1 ( 2 ),18.6 ( 2 ),NA,18.4
4. Gallatin,"9,000-10,000'",119,122,19.3,20.7,91.2,"124,700",112.7,28.5 ( 1 ),29.1 ( 1 ),NA,25.9
4. Gallatin,"10,000-11,000'",113,113,21.1,22.6,86.9,"8,968",7.4,NA,NA,NA,28.2
5. Glendo,"7,000-8,000'",0,0,0,0,0,0,591.9,0.0 ( 1 ),0.0 ( 1 ),NA,0.4
5. Glendo,"8,000-9,000'",0,0,0,0,0,0,119.6,0.4 ( 2 ),0.7 ( 2 ),NA,0.7
5. Glendo,"9,000-10,000'",0,0,0,0,0,0,2.6,NA,NA,NA,0.9
6. Jefferson,"5,000-6,000'",0,0,0,0,0,0,"1,665.20",NA,NA,NA,0
6. Jefferson,"6,000-7,000'",20,29,0.2,0.1,1.4,"19,816","3,136.00",0.0 ( 2 ),0.0 ( 2 ),0.8 ( 2 ),0.2
6. Jefferson,"7,000-8,000'",50,64,2.1,2,16.5,"274,955","2,637.50",5.6 ( 3 ),5.6 ( 3 ),3.9 ( 5 ),3.7
6. Jefferson,"8,000-9,000'",91,103,9.3,9.6,60.3,"578,301","1,135.30",18.2 ( 5 ),18.5 ( 5 ),13.0 ( 3 ),11.1
6. Jefferson,"9,000-10,000'",112,120,16.9,17.8,85,"219,074",231.2,17.0 ( 3 ),17.1 ( 3 ),NA,18
6. Jefferson,"10,000-11,000'",109,118,17.4,18.3,72.2,"6,895",7,NA,NA,NA,17.1
7. Lower Bighorn,"2,000-3,000'",NA,NA,0,0,0,0,214,NA,NA,NA,0
7. Lower Bighorn,"3,000-4,000'",0,NA,0,0,0,0,"2,139.00",NA,NA,NA,0
7. Lower Bighorn,"4,000-5,000'",0,0,0,0,0,0,542.7,NA,NA,NA,0
7. Lower Bighorn,"5,000-6,000'",0,0,0,0,0,0,106.8,NA,NA,NA,0.1
7. Lower Bighorn,"6,000-7,000'",1,1,0,0,0.6,41,66.6,NA,NA,NA,0.8
7. Lower Bighorn,"7,000-8,000'",22,27,1.2,1.1,20.8,"3,972",68.1,NA,NA,NA,2.4
7. Lower Bighorn,"8,000-9,000'",57,59,6.6,6.6,71.6,"33,114",93.5,NA,NA,NA,5.8
7. Lower Bighorn,"9,000-10,000'",82,81,12.8,13.1,94.5,"19,841",28.5,NA,NA,NA,14.2
8. Lower No Platte,"7,000-8,000'",0,0,0,0,0,0,746.6,NA,NA,NA,0.3
8. Lower No Platte,"8,000-9,000'",0,0,0,0,0,0,76.4,NA,NA,NA,0.4
8. Lower No Platte,"9,000-10,000'",0,0,0,0,0,0,1,NA,NA,NA,1.2
9. Lower Shoshone,"3,000-4,000'",NA,NA,0,0,0,0,90.2,NA,NA,NA,0
9. Lower Shoshone,"4,000-5,000'",0,0,0,0,0,0,876.8,NA,NA,NA,0
9. Lower Shoshone,"5,000-6,000'",0,0,0,0,0,0,327.8,NA,NA,NA,0
9. Lower Shoshone,"6,000-7,000'",0,0,0,0,0,0,117.1,NA,NA,NA,0.3
9. Lower Shoshone,"7,000-8,000'",14,19,0.4,0.4,4.9,768,39.5,NA,NA,NA,1
9. Lower Shoshone,"8,000-9,000'",38,43,3.2,3.2,34.4,"3,784",22.3,NA,NA,NA,1.5
9. Lower Shoshone,"9,000-10,000'",17,51,1.3,3.1,39.4,113,0.7,NA,NA,NA,2.4
9. Lower Shoshone,"10,000-11,000'",104,109,11.2,11.4,77.3,176,0.3,NA,NA,NA,3.7
10. Madison Headwaters in WY,"4,000-5,000'",0,0,0,0,0,0,173.4,NA,NA,NA,0
10. Madison Headwaters in WY,"5,000-6,000'",0,0,0,0,0,0,437.9,NA,NA,NA,0
10. Madison Headwaters in WY,"6,000-7,000'",3,3,0.1,0,0.8,"1,008",513.2,3.3 ( 2 ),3.5 ( 2 ),0.0 ( 1 ),0.7
10. Madison Headwaters in WY,"7,000-8,000'",40,46,2.9,2.7,28,"102,393",717.7,15.6 ( 2 ),16.2 ( 2 ),0.2 ( 2 ),7.9
10. Madison Headwaters in WY,"8,000-9,000'",87,92,11.4,11.7,76.4,"355,795",570.5,15.9 ( 3 ),16.2 ( 3 ),NA,20
10. Madison Headwaters in WY,"9,000-10,000'",109,111,18.8,19.8,89.6,"141,659",134.2,NA,NA,NA,25.3
10. Madison Headwaters in WY,">10,000'",108,108,22.2,23.8,80.3,"13,740",10.8,NA,NA,NA,28.8
11. Powder,"2,000-3,000'",NA,NA,0,0,0,0,"1,211.40",NA,NA,NA,0
11. Powder,"3,000-4,000'",NA,NA,0,0,0,0,"3,971.60",NA,NA,NA,0
11. Powder,"4,000-5,000'",0,NA,0,0,0,0,"4,662.10",NA,NA,NA,0
11. Powder,"5,000-6,000'",0,0,0,0,0,0,"2,024.50",NA,NA,NA,0
11. Powder,"6,000-7,000'",0,1,0,0,0.1,13,604.1,NA,NA,NA,0.1
11. Powder,"7,000-8,000'",7,8,0.1,0.1,2,"2,737",490.3,NA,NA,NA,0.9
11. Powder,"8,000-9,000'",12,14,0.7,0.6,9.5,"9,899",290.1,0.7 ( 3 ),0.9 ( 4 ),NA,1.2
11. Powder,"9,000-10,000'",44,49,4.6,4.9,56.5,"21,669",82.1,7.3 ( 1 ),8.6 ( 1 ),NA,7.2
11. Powder,"10,000-11,000'",86,87,11.9,12.5,90.3,"28,945",43.4,NA,NA,NA,15.9
11. Powder,">11,000'",105,106,17,18.4,86,"17,230",17.6,NA,NA,NA,17.8
12. Smith-Judith-Musselshell,"4,000-5,000'",2,18,0,0,0,161,"4,194.90",NA,NA,NA,0
12. Smith-Judith-Musselshell,"5,000-6,000'",1,10,0,0,0.2,"2,063","2,493.60",NA,NA,NA,0.3
12. Smith-Judith-Musselshell,"6,000-7,000'",27,35,0.6,0.5,4.8,"30,140","1,119.40",2.9 ( 4 ),2.5 ( 4 ),0.2 ( 2 ),1.4
12. Smith-Judith-Musselshell,"7,000-8,000'",84,96,6.2,5.9,45.9,"150,870",475.5,15.1 ( 4 ),15.8 ( 5 ),14.4 ( 2 ),6.8
12. Smith-Judith-Musselshell,"8,000-9,000'",113,126,13.7,14.8,79.7,"42,834",54.2,NA,NA,NA,11.8
12. Smith-Judith-Musselshell,"9,000-10,000'",124,134,16.2,17.6,61.4,"1,996",2.1,NA,NA,NA,13.4
13. Snake,"5,000-6,000'",0,0,0,0,0,0,294.9,NA,NA,NA,0
13. Snake,"6,000-7,000'",2,3,0.1,0,1,"3,485","1,324.30",NA,NA,NA,0.4
13. Snake,"7,000-8,000'",37,42,3,2.7,29.2,"245,836","1,704.50",6.9 ( 6 ),6.7 ( 6 ),0.0 ( 2 ),4.5
13. Snake,"8,000-9,000'",79,81,10.8,10.9,73.4,"837,992","1,447.40",12.0 ( 3 ),12.0 ( 3 ),NA,12.8
13. Snake,"9,000-10,000'",101,102,17.4,18.4,90.3,"744,385",760.5,21.1 ( 2 ),21.5 ( 2 ),NA,20.6
13. Snake,"10,000-11,000'",106,106,22.2,23.8,90.4,"256,494",202,NA,NA,NA,26.2
13. Snake,"11,000-12,000'",103,105,21.4,23.3,88.6,"9,245",7.4,NA,NA,NA,24.8
13. Snake,">12,000'",115,123,19.8,22.1,86.5,454,0.4,NA,NA,NA,34.3
14. Sun-Teton-Marias,"3,000-4,000'",0,0,0,0,0,0,"6,452.10",NA,NA,NA,0
14. Sun-Teton-Marias,"4,000-5,000'",0,0,0,0,0,0,"2,583.90",NA,NA,NA,0
14. Sun-Teton-Marias,"5,000-6,000'",56,63,1.4,1.1,9.2,"36,632",615.8,1.0 ( 3 ),0.5 ( 3 ),0.4 ( 3 ),2.5
14. Sun-Teton-Marias,"6,000-7,000'",130,148,8.7,8.7,49.9,"265,675",574.4,8.5 ( 2 ),8.1 ( 2 ),0.0 ( 1 ),13.1
14. Sun-Teton-Marias,"7,000-8,000'",158,166,17.7,18.4,79.6,"286,862",291.6,NA,NA,NA,16
14. Sun-Teton-Marias,"8,000-9,000'",160,164,21.3,22.4,76.4,"27,843",23.3,NA,NA,NA,16.9
14. Sun-Teton-Marias,">9,000'",152,153,24.6,27.1,50.5,279,0.2,NA,NA,NA,37.6
15. Sweetwater,"7,000-8,000'",0,0,0,0,0,0,952.6,NA,NA,NA,0.4
15. Sweetwater,"8,000-9,000'",0,1,0,0,0.9,373,189,0.1 ( 1 ),0.0 ( 1 ),4.9 ( 1 ),0.7
15. Sweetwater,"9,000-10,000'",26,35,2.6,2.8,39.7,"6,326",43,NA,NA,NA,4
15. Sweetwater,"10,000-11,000'",77,87,10.6,11.4,81.5,"6,517",10.7,NA,NA,NA,14.9
15. Sweetwater,"11,000-12,000'",90,100,15.9,17.9,85.7,"5,426",5.7,NA,NA,NA,17.9
15. Sweetwater,"12,000-13,000'",82,88,16.4,18.1,86,186,0.2,NA,NA,NA,17.1
16. Tongue,"2,000-3,000'",NA,NA,0,0,0,0,881.3,NA,NA,NA,0
16. Tongue,"3,000-4,000'",0,0,0,0,0,0,"2,790.20",NA,NA,NA,0
16. Tongue,"4,000-5,000'",0,0,0,0,0,0,"1,214.80",NA,NA,NA,0
16. Tongue,"5,000-6,000'",0,0,0,0,0,0,49.2,NA,NA,NA,0.1
16. Tongue,"6,000-7,000'",3,7,0,0,3.8,73,34.1,NA,NA,NA,0.7
16. Tongue,"7,000-8,000'",11,14,0.6,0.5,11,"3,305",121.5,3.5 ( 2 ),3.7 ( 2 ),NA,2.3
16. Tongue,"8,000-9,000'",33,33,3,2.8,36.1,"25,624",173.6,2.9 ( 4 ),3.6 ( 4 ),6.3 ( 2 ),4.7
16. Tongue,"9,000-10,000'",76,75,10.4,10.6,82.1,"65,636",115.6,NA,NA,10.8 ( 1 ),13.7
16. Tongue,"10,000-11,000'",91,89,15.3,16,90.6,"19,711",23.1,NA,NA,NA,18.8
16. Tongue,"11,000-12,000'",90,91,16.4,17.3,90.9,"1,693",1.8,NA,NA,NA,19.1
17. Upper Clark Fork,"3,000-4,000'",0,0,0,0,0,0,157.3,NA,NA,NA,0
17. Upper Clark Fork,"4,000-5,000'",22,15,0,0,0.1,600,"1,442.30",NA,NA,0.0 ( 1 ),0.1
17. Upper Clark Fork,"5,000-6,000'",97,108,0.8,0.5,4.7,"57,034","2,001.20",0.1 ( 3 ),0.0 ( 3 ),NA,1.4
17. Upper Clark Fork,"6,000-7,000'",142,168,4.6,4,27.8,"339,874","1,576.10",16.4 ( 4 ),16.4 ( 4 ),5.7 ( 4 ),7.1
17. Upper Clark Fork,"7,000-8,000'",138,153,11.5,11.7,65,"414,852",664.7,9.5 ( 3 ),9.5 ( 3 ),7.4 ( 5 ),16.4
17. Upper Clark Fork,"8,000-9,000'",140,147,17.6,18.7,85.7,"146,429",147,22.0 ( 2 ),22.6 ( 2 ),NA,20.2
17. Upper Clark Fork,"9,000-10,000'",139,145,19.6,20.8,77.8,"20,084",18.1,NA,NA,NA,19.2
17. Upper Clark Fork,">10,000'",128,139,18.4,19.8,86.5,203,0.2,NA,NA,NA,12.5
18. Upper Green,"7,000-8,000'",0,0,0,0,0,438,"6,387.90",0.1 ( 2 ),0.0 ( 2 ),NA,0
18. Upper Green,"8,000-9,000'",30,34,1.3,1.5,13.3,"127,986","1,592.70",6.2 ( 7 ),4.9 ( 8 ),NA,2.6
18. Upper Green,"9,000-10,000'",63,68,5.3,7.7,52.9,"370,244",901,5.2 ( 9 ),5.6 ( 10 ),NA,10.3
18. Upper Green,"10,000-11,000'",71,77,9.2,13,69.3,"327,579",473.5,5.2 ( 2 ),5.3 ( 2 ),NA,19.2
18. Upper Green,"11,000-12,000'",68,75,10.5,15.1,80.9,"155,962",194.1,NA,NA,NA,18
18. Upper Green,"12,000-13,000'",56,64,7.6,12.9,83.1,"23,417",34.1,NA,NA,NA,10.7
18. Upper Green,"13,000-14,000'",99,103,7,25.3,92.7,652,0.5,NA,NA,NA,16.5
19. Upper Missouri,"4,000-5,000'",0,89,0,0,0,10,"1,182.20",NA,NA,NA,0
19. Upper Missouri,"5,000-6,000'",3,9,0,0,0.1,377,"1,057.70",NA,NA,NA,0.2
19. Upper Missouri,"6,000-7,000'",51,68,1.1,0.9,7.6,"25,247",556.4,0.6 ( 1 ),0.0 ( 1 ),0.7 ( 2 ),0.9
19. Upper Missouri,"7,000-8,000'",99,121,5.9,6,42.4,"42,901",135.1,0.3 ( 1 ),0.0 ( 1 ),4.7 ( 1 ),3.3
19. Upper Missouri,"8,000-9,000'",135,146,16.4,17.7,87.1,"22,560",23.9,NA,NA,NA,13.3
19. Upper Missouri,">9,000'",143,148,18.8,20.2,70.2,938,0.9,NA,NA,NA,19.6
20. Upper No Platte,"7,000-8,000'",0,0,0,0,0,2,"4,078.60",0.0 ( 1 ),0.0 ( 1 ),NA,0.1
20. Upper No Platte,"8,000-9,000'",0,1,0,0,0.4,"1,394","2,114.90",0.3 ( 2 ),0.4 ( 2 ),NA,0.6
20. Upper No Platte,"9,000-10,000'",10,12,1,1,22.8,"50,723",945.5,4.6 ( 8 ),5.5 ( 8 ),NA,3.9
20. Upper No Platte,"10,000-11,000'",20,25,3.1,3.7,68.3,"77,468",394.1,16.6 ( 6 ),18.1 ( 6 ),NA,12.9
20. Upper No Platte,"11,000-12,000'",25,33,4.7,5.8,89.5,"16,923",54.9,NA,NA,NA,9.2
20. Upper No Platte,"12,000-13,000'",28,37,5.3,6.6,94.1,746,2.1,NA,NA,NA,2.9
21. Upper Shoshone,"5,000-6,000'",NA,NA,0,0,0,0,101.7,NA,NA,NA,0
21. Upper Shoshone,"6,000-7,000'",0,0,0,0,0,0,206.7,NA,NA,NA,0.1
21. Upper Shoshone,"7,000-8,000'",51,69,0.7,0.7,7.9,"10,453",280.5,0.4 ( 1 ),0.0 ( 1 ),NA,1.5
21. Upper Shoshone,"8,000-9,000'",88,101,5.8,6,45.5,"104,999",330.1,1.3 ( 2 ),0.8 ( 2 ),NA,8.2
21. Upper Shoshone,"9,000-10,000'",113,119,13.8,14.6,79,"259,949",333.2,NA,NA,NA,17.3
21. Upper Shoshone,"10,000-11,000'",112,115,18.2,19.5,89.8,"212,163",204.2,24.7 ( 1 ),25.6 ( 1 ),NA,19.4
21. Upper Shoshone,"11,000-12,000'",111,112,19.8,21.3,92.4,"55,641",48.9,NA,NA,NA,17.1
22. Upper Snake Basins,"4,000-5,000'",0,0,0,0,0,0,919.5,NA,NA,NA,0
22. Upper Snake Basins,"5,000-6,000'",0,0,0,0,0,0,"1,919.80",NA,NA,NA,0
22. Upper Snake Basins,"6,000-7,000'",3,4,0.1,0.1,1.9,"14,302","2,908.40",0.4 ( 6 ),0.0 ( 6 ),0.2 ( 5 ),0.2
22. Upper Snake Basins,"7,000-8,000'",47,52,4.7,4.5,42.3,"196,387",823.2,8.1 ( 4 ),8.0 ( 4 ),3.0 ( 3 ),7.8
22. Upper Snake Basins,"8,000-9,000'",97,99,17.1,17.9,89.3,"315,320",329.4,NA,NA,13.9 ( 3 ),28.1
22. Upper Snake Basins,"9,000-10,000'",108,109,23.1,24.7,90.2,"87,451",66.3,37.5 ( 1 ),37.2 ( 1 ),NA,32.8
22. Upper Snake Basins,"10,000-11,000'",107,106,26,28.1,89.7,"11,715",7.8,NA,NA,NA,38.4
23. Upper Yellowstone,"4,000-5,000'",0,0,0,0,0,0,"3,428.40",NA,NA,NA,0
23. Upper Yellowstone,"5,000-6,000'",5,14,0,0,0.1,367,"1,793.50",0.2 ( 1 ),0.1 ( 1 ),NA,0
23. Upper Yellowstone,"6,000-7,000'",16,21,0.3,0.2,2.7,"11,570","1,036.50",0.3 ( 4 ),0.1 ( 4 ),NA,0.4
23. Upper Yellowstone,"7,000-8,000'",52,61,3.1,3,29.5,"238,382","1,514.30",4.5 ( 6 ),4.7 ( 6 ),0.0 ( 1 ),4.9
23. Upper Yellowstone,"8,000-9,000'",97,103,10.9,11.2,73.1,"1,106,682","1,850.20",19.3 ( 6 ),19.8 ( 6 ),1.2 ( 2 ),14.5
23. Upper Yellowstone,"9,000-10,000'",115,117,18.3,19.5,91,"1,227,015","1,177.70",30.1 ( 3 ),30.7 ( 3 ),6.3 ( 1 ),24.9
23. Upper Yellowstone,"10,000-11,000'",110,111,20.7,22.3,93.6,"438,906",368.6,NA,NA,NA,28.2
23. Upper Yellowstone,"11,000-12,000'",107,107,21.9,23.9,94.6,"79,268",62.3,NA,NA,NA,26.1
23. Upper Yellowstone,"12,000-13,000'",111,112,22.4,24.5,93.6,"1,895",1.4,NA,NA,NA,26.4
24. Wind,"4,000-5,000'",0,NA,0,0,0,0,354.7,NA,NA,NA,0
24. Wind,"5,000-6,000'",0,0,0,0,0,0,"3,030.20",NA,NA,NA,0
24. Wind,"6,000-7,000'",0,0,0,0,0,0,"1,717.90",NA,NA,NA,0.1
24. Wind,"7,000-8,000'",1,0,0,0,0.4,10,738.1,NA,NA,0.3 ( 3 ),0.5
24. Wind,"8,000-9,000'",23,27,0.9,0.9,11.1,"26,696",578.7,0.0 ( 3 ),0.3 ( 4 ),0.8 ( 2 ),1.2
24. Wind,"9,000-10,000'",68,75,6.6,7,55.2,"219,812",592.4,7.7 ( 5 ),8.4 ( 5 ),0.6 ( 2 ),8.8
24. Wind,"10,000-11,000'",90,96,13.1,14.1,86.9,"363,658",482,10.8 ( 1 ),11.4 ( 1 ),NA,20.7
24. Wind,"11,000-12,000'",96,99,16.7,18.3,89.5,"221,534",227.4,NA,NA,NA,21.5
24. Wind,"12,000-13,000'",100,102,21,23.9,93.2,"35,137",27.6,NA,NA,NA,19
24. Wind,"13,000-14,000'",96,98,20.5,26.6,97,"1,508",1.1,NA,NA,NA,12.3
25. Wood and Lost Basins,"5,000-6,000'",0,0,0,0,0,0,"2,760.00",0.0 ( 2 ),0.0 ( 2 ),NA,0
25. Wood and Lost Basins,"6,000-7,000'",3,3,0,0,0.3,"2,102","1,847.10",0.0 ( 4 ),0.0 ( 4 ),NA,0
25. Wood and Lost Basins,"7,000-8,000'",43,47,1.6,1.2,13.4,"91,880","1,388.10",4.1 ( 6 ),3.4 ( 6 ),NA,1.1
25. Wood and Lost Basins,"8,000-9,000'",71,85,6.1,6.2,48.5,"283,805",864.9,10.5 ( 3 ),10.2 ( 3 ),NA,5.4
25. Wood and Lost Basins,"9,000-10,000'",77,99,11.5,13.8,71.7,"320,484",436.9,20.8 ( 1 ),21.1 ( 1 ),NA,10.6
25. Wood and Lost Basins,"10,000-11,000'",79,103,13.9,17.7,65.1,"106,680",113.3,NA,NA,NA,10.5
25. Wood and Lost Basins,"11,000-12,000'",85,104,16,19.2,62.1,"10,089",9.8,NA,NA,NA,9.6
