,,3/22/2026,4/1/2026,3/22/2026,4/1/2026,4/1/2026,4/1/2026,4/1/2026,3/22/2026,4/1/2026,4/1/2026,4/1/2026
Basin,Elevation Band,%3/22 Avg.,%4/1 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,Surveys,SNODAS (in.)*
8. North Puget Sound,"4,000-5,000'",119,145,18.4,20.6,61.5,"540,178",490.7,18.9 ( 4 ),20.8 ( 4 ),NA,43.2
8. North Puget Sound,"5,000-6,000'",123,147,30,32.1,83,"654,770",382.6,62.0 ( 3 ),63.2 ( 3 ),39.2 ( 1 ),64.3
8. North Puget Sound,"6,000-7,000'",114,135,33.4,35.4,85.2,"285,841",151.4,NA,NA,NA,76
8. North Puget Sound,"7,000-8,000'",99,120,34.1,37.1,86.4,"33,463",16.9,NA,NA,NA,102.9
8. North Puget Sound,"8,000-9,000'",105,129,45.2,47.5,95.9,"3,181",1.3,NA,NA,NA,275.8
9. Olympic,"4,000-5,000'",55,71,8.8,9.5,46.5,"66,990",132.3,13.3 ( 2 ),13.9 ( 2 ),6.4 ( 2 ),19.1
9. Olympic,"5,000-6,000'",69,84,21.5,21.6,77.3,"98,717",85.6,13.3 ( 1 ),17.6 ( 1 ),0.2 ( 1 ),25.6
9. Olympic,">6,000'",71,87,25.6,25.9,78.9,"25,437",18.4,NA,NA,NA,26.7
10. Rogue-Umpqua,"3,000-4,000'",0,0,0,0,0,0,"1,692.80",0.0 ( 1 ),0.0 ( 1 ),0.0 ( 4 ),0
10. Rogue-Umpqua,"4,000-5,000'",0,0,0,0,0,0,927,0.1 ( 2 ),0.0 ( 2 ),0.0 ( 6 ),0
10. Rogue-Umpqua,"5,000-6,000'",12,4,1.6,0.5,3.3,"14,215",557.7,0.0 ( 2 ),0.1 ( 2 ),0.0 ( 2 ),0.4
10. Rogue-Umpqua,"6,000-7,000'",32,25,7.9,5.9,32.4,"60,940",194.2,3.8 ( 1 ),1.1 ( 1 ),0.0 ( 2 ),4
10. Rogue-Umpqua,"7,000-8,000'",57,54,16.9,15.2,68,"12,795",15.8,NA,NA,NA,6.8
10. Rogue-Umpqua,"8,000-9,000'",60,56,20.5,17.9,74.5,"1,011",1.1,NA,NA,NA,9
11. South Puget Sound,"2,000-3,000'",2,3,0,0,0.1,247,405.8,1.4 ( 3 ),0.4 ( 3 ),0.5 ( 3 ),1
11. South Puget Sound,"3,000-4,000'",7,9,0.2,0.3,2.3,"5,380",377.6,10.3 ( 7 ),10.1 ( 7 ),5.8 ( 1 ),5.3
11. South Puget Sound,"4,000-5,000'",33,38,2.1,2.3,13.6,"27,462",222.6,25.0 ( 3 ),24.9 ( 3 ),NA,12.3
11. South Puget Sound,"5,000-6,000'",79,86,13.5,14.1,59.6,"71,532",95.4,27.2 ( 1 ),27.1 ( 1 ),NA,31.3
11. South Puget Sound,"6,000-7,000'",77,83,25.3,25.6,79.3,"51,003",37.4,NA,NA,NA,57.2
11. South Puget Sound,"7,000-8,000'",66,78,39.3,40.4,81.8,"8,316",3.9,NA,NA,NA,104
11. South Puget Sound,"8,000-9,000'",63,78,67.5,67.8,88.9,"2,793",0.8,NA,NA,NA,127.4
11. South Puget Sound,"9,000-10,000'",17,24,23.5,29.1,96.7,"1,049",0.7,NA,NA,NA,237.9
11. South Puget Sound,"10,000-11,000'",21,29,48.5,53.4,100,"2,198",0.8,NA,NA,NA,531.8
11. South Puget Sound,"11,000-12,000'",38,57,19.1,28.1,92.2,867,0.6,NA,NA,NA,684.9
11. South Puget Sound,"12,000-13,000'",29,37,66.2,68.6,94.3,"1,412",0.4,NA,NA,NA,1020.2
11. South Puget Sound,">13,000'",1,19,7.6,102.2,100,"1,052",0.2,NA,NA,NA,1146.5
12. Upper Columbia,"3,000-4,000'",18,22,0.7,0.6,4.4,"75,574","2,566.20",0.1 ( 1 ),0.0 ( 1 ),0.0 ( 5 ),0.3
12. Upper Columbia,"4,000-5,000'",47,46,3.9,3.3,20.4,"250,142","1,437.90",0.0 ( 3 ),0.0 ( 3 ),3.1 ( 4 ),3.5
12. Upper Columbia,"5,000-6,000'",82,88,12.2,13.1,62.9,"540,601",772.6,1.3 ( 2 ),0.2 ( 2 ),NA,19.5
12. Upper Columbia,"6,000-7,000'",96,104,20.4,22.3,87.2,"671,919",564,54.9 ( 1 ),57.6 ( 1 ),NA,33.8
12. Upper Columbia,"7,000-8,000'",94,100,22.9,25.1,87.2,"188,902",141.2,NA,NA,NA,37
12. Upper Columbia,"8,000-9,000'",90,99,24.2,26.9,79.5,"6,089",4.2,NA,NA,NA,39.9
13. Upper Cowlitz,"3,000-4,000'",14,15,0.3,0.3,2.3,"4,444",281.5,20.4 ( 1 ),19.4 ( 1 ),NA,7.4
13. Upper Cowlitz,"4,000-5,000'",41,44,2.8,3,16,"48,720",306.7,16.6 ( 2 ),16.4 ( 2 ),NA,16.5
13. Upper Cowlitz,"5,000-6,000'",79,84,14.3,14.4,54.9,"81,680",106.3,NA,NA,NA,35.2
13. Upper Cowlitz,"6,000-7,000'",83,92,31.6,31.4,80.6,"33,124",19.8,NA,NA,NA,65.2
13. Upper Cowlitz,"7,000-8,000'",68,78,39.9,39.5,82.2,"5,897",2.8,NA,NA,NA,93.6
13. Upper Cowlitz,"8,000-9,000'",59,72,47.2,47.1,100,485,0.2,NA,NA,NA,119.1
13. Upper Cowlitz,"9,000-10,000'",52,67,60,61.5,70,"1,266",0.4,NA,NA,NA,215.8
13. Upper Cowlitz,"10,000-11,000'",6,8,28,30,40,155,0.1,NA,NA,NA,629.4
14. Upper Deschutes-Crooked,"4,000-5,000'",1,0,0,0,0.1,988,"3,903.90",0.0 ( 1 ),0.0 ( 1 ),0.0 ( 2 ),0
14. Upper Deschutes-Crooked,"5,000-6,000'",9,7,0.8,0.5,3.9,"41,515","1,478.40",4.4 ( 6 ),2.9 ( 6 ),0.0 ( 3 ),0.9
14. Upper Deschutes-Crooked,"6,000-7,000'",33,28,7,5.8,34.4,"78,422",255.5,NA,NA,12.6 ( 1 ),6.3
14. Upper Deschutes-Crooked,"7,000-8,000'",48,48,15.9,15,68.7,"32,114",40.2,NA,NA,NA,11.7
14. Upper Deschutes-Crooked,"8,000-9,000'",47,52,22.9,22.4,76.7,"3,690",3.1,NA,NA,NA,26.9
14. Upper Deschutes-Crooked,"9,000-10,000'",60,68,30.7,30.8,92.3,"1,108",0.7,NA,NA,NA,31.7
15. Upper Yakima,"3,000-4,000'",28,19,1.6,1,6.3,"24,935",489,13.6 ( 1 ),13.2 ( 1 ),NA,5
15. Upper Yakima,"4,000-5,000'",48,44,6.5,5.6,28.8,"107,138",359.8,12.8 ( 1 ),11.1 ( 1 ),NA,11.2
