,4/12/2026,4/19/2026,4/12/2026,4/19/2026,4/19/2026,4/19/2026,4/19/2026,4/12/2026,4/19/2026,4/19/2026
Basin,%4/12 Avg.,%4/19 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
0. Trinity,7,7,1.5,1.5,29.4,"25,024",321.4,1.4 ( 6 ),0.4 ( 6 ),1.4
1. Upper Sacramento,11,7,2.3,1.6,27.9,"9,574",115.2,1.9 ( 2 ),0.8 ( 2 ),3.9
2. McCloud,17,7,3,1.6,25.9,"14,179",164.9,0.0 ( 1 ),0.0 ( 1 ),6.3
3. Pit,10,10,0.5,0.5,4.8,"51,550","2,086.20",1.1 ( 5 ),0.5 ( 5 ),0.2
4. Sacramento at Bend Bridge,9,5,1,0.8,11.1,"10,250",240,NA,NA,0.9
5. Feather§,4,5,0.5,0.3,10.2,"30,993","2,117.50",1.2 ( 6 ),0.4 ( 6 ),0.5
6. Yuba,12,12,3.2,2.6,47.7,"72,237",525.6,5.9 ( 4 ),4.7 ( 4 ),2
7. American§,13,14,3.5,2.8,54.8,"119,145",807,5.3 ( 12 ),4.5 ( 8 ),2.4
8. Cosumnes,3,14,0.3,0.7,27.6,"3,516",91.9,NA,NA,0.5
9. Mokelumne,17,14,3.3,3.1,55.5,"52,680",317.9,10.3 ( 3 ),10.4 ( 3 ),3.8
10. Stanislaus,15,14,2.9,3,51.7,"90,622",562.9,10.3 ( 4 ),10.7 ( 4 ),3.9
11. Tuolumne§,20,14,4.4,3.9,51.5,"189,378",915,7.3 ( 8 ),6.7 ( 8 ),8
12. Merced,17,13,3,3.1,44.2,"88,151",539.4,8.3 ( 2 ),6.8 ( 2 ),7.8
13. San Joaquin§,19,11,6.6,5.7,40,"374,096","1,225.40",2.4 ( 7 ),1.3 ( 7 ),6.4
14. Kings§,19,12,4.8,3.8,36.8,"245,081","1,213.40",7.5 ( 7 ),6.3 ( 6 ),6.4
15. Kaweah,13,11,3.5,1.6,22.8,"27,607",314.4,0.0 ( 1 ),0.0 ( 1 ),2.5
16. Tule,2,3,0.1,0.1,2.9,967,137.6,0.6 ( 1 ),0.0 ( 1 ),0.1
17. Kern§,12,8,1.7,1.2,10.1,"108,414","1,682.80",2.7 ( 5 ),0.0 ( 4 ),1.4
18. Truckee,11,9,2.8,1.6,26.7,"36,126",425.4,5.0 ( 6 ),5.0 ( 6 ),2.4
19. Tahoe,9,6,2.2,1.3,20.3,"36,484",508.3,1.5 ( 7 ),0.8 ( 7 ),2.3
20. W Carson§,14,14,2.6,2.6,54.1,"9,144",65.3,6.1 ( 3 ),6.0 ( 3 ),3.5
21. E Carson§,17,13,1.8,1.5,31.3,"28,348",355.2,1.8 ( 4 ),1.5 ( 4 ),2.6
22. W Walker,29,15,5.5,4.3,56.7,"40,816",179.8,12.5 ( 4 ),12.9 ( 4 ),9
23. E Walker,29,26,2.2,2,20.8,"37,138",356.3,5.3 ( 1 ),6.1 ( 1 ),2.6
24. Mono,24,17,0.9,0.8,8.6,"44,396","1,085.80",NA,NA,1.1
25. Upper Owens,19,15,1.6,1.4,19.3,"29,024",382.7,17.6 ( 1 ),18.6 ( 1 ),1
26. Owens,27,18,1.1,0.8,10.8,"77,070","1,772.90",1.7 ( 4 ),1.5 ( 4 ),0.9
