,3/1/2026,3/8/2026,3/1/2026,3/8/2026,3/8/2026,3/8/2026,3/8/2026,3/1/2026,3/8/2026,3/8/2026
Basin,%3/1 Avg.,%3/8 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Bear,55,62,5,5.9,56.7,"1,991,187","6,323.40",10.7 ( 18 ),12.1 ( 18 ),4.8
2. Beaver,36,35,1.3,1.1,10.5,"48,515",835.5,6.8 ( 2 ),6.0 ( 2 ),1.2
3. Blue,63,66,6.3,7,71.5,"256,291",683.9,7.7 ( 5 ),8.5 ( 5 ),5.6
4. Canadian,5,4,0.1,0.1,1.2,"6,911","1,265.80",3.6 ( 2 ),2.2 ( 2 ),0.1
5. Colorado Headwaters,59,60,5.4,5.9,61.7,"915,383","2,906.10",8.2 ( 13 ),9.0 ( 12 ),4.8
6. Colorado Headwaters-Plateau,45,48,3.7,4.3,44.6,"415,689","1,813.00",6.2 ( 1 ),6.6 ( 1 ),2.7
7. Eagle,51,56,4.7,5.5,57.3,"268,086",918,6.3 ( 3 ),7.4 ( 3 ),5.2
8. Gila,11,5,0,0,0.3,"3,414","4,926.30",0.5 ( 6 ),0.2 ( 6 ),0
9. Gunnison,52,49,4.3,4.4,50.3,"1,520,801","6,459.70",7.6 ( 11 ),7.9 ( 11 ),4
10. Little Colorado,5,1,0,0,0,"2,833","16,398.00",3.4 ( 5 ),2.9 ( 5 ),0
11. Lower Colorado Mainstream,19,11,0.2,0.1,1.7,"52,788","10,697.40",5.2 ( 5 ),4.7 ( 5 ),0.1
12. Lower Green,53,49,4.5,4.3,40.2,"1,294,756","5,693.80",6.4 ( 24 ),6.7 ( 24 ),3.6
13. Lower Rio Grande,6,5,0.1,0.1,1.2,"7,778","1,796.70",2.0 ( 6 ),1.8 ( 6 ),0.1
14. Lower Sevier,32,26,1.4,1.2,15.5,"57,088",906.4,4.0 ( 4 ),4.0 ( 4 ),1.6
15. Pecos,22,13,0.9,0.6,6.4,"10,130",332.1,0.4 ( 2 ),0.1 ( 2 ),0.9
16. Provo-Utah Lake-Jordan,42,44,3.3,3.5,33.4,"496,291","2,694.10",10.0 ( 18 ),11.4 ( 18 ),3.7
17. Rio Chama-Upper Rio Grande,20,20,0.6,0.7,9.2,"187,720","5,227.90",3.7 ( 13 ),3.6 ( 13 ),1
18. Rio Grande Headwaters,40,41,1.8,1.9,20.6,"760,860","7,613.30",5.5 ( 14 ),5.5 ( 14 ),1.7
19. Roaring Fork,57,60,6.3,7,69.9,"508,071","1,360.30",8.6 ( 7 ),9.4 ( 7 ),6.8
20. Salt§,7,1,0.1,0,0.3,"1,950","2,360.60",0.0 ( 7 ),0.5 ( 8 ),0.1
21. San Juan**,34,30,1.9,1.6,16.9,"568,681","6,425.50",6.9 ( 15 ),6.8 ( 15 ),1.8
22. San Pitch,35,37,2.2,2.2,21,"100,230",859.5,6.7 ( 6 ),7.4 ( 6 ),2.4
23. South Platte,28,39,1.3,1.8,24.8,"544,968","5,641.90",6.6 ( 21 ),7.6 ( 21 ),2
24. Southwestern Utah,29,27,0.7,0.5,8.7,"40,174","1,446.90",3.1 ( 5 ),3.4 ( 5 ),0.5
25. Toole Valley-Vernon Creek,37,29,1.3,0.8,10,"39,278",902.1,3.8 ( 4 ),5.2 ( 4 ),0.7
26. Upper Arkansas,31,41,1.1,1.5,19.5,"468,522","5,892.20",3.8 ( 7 ),4.2 ( 7 ),1.1
27. Upper Colorado-Dirty Devil,41,30,2.1,1.5,15.6,"206,581","2,608.00",4.3 ( 7 ),5.0 ( 6 ),1.8
28. Upper Colorado-Dolores,45,38,2.7,2.6,33.1,"472,955","3,453.30",8.0 ( 9 ),9.0 ( 8 ),2.8
29. Upper Sevier,38,30,1.9,1.6,19.3,"317,448","3,767.80",4.4 ( 16 ),4.4 ( 15 ),1.5
30. Verde,9,0,0.1,0,0,251,"1,820.70",0.5 ( 7 ),0.3 ( 7 ),0
31. Weber-Ogden,43,50,4.1,5,51.4,"542,962","2,046.60",8.3 ( 17 ),9.9 ( 17 ),4
32. White-Yampa,51,55,4.7,5.4,50.7,"1,721,470","5,952.40",11.4 ( 15 ),12.0 ( 15 ),4.2
33. Animas,55,49,5.2,4.7,42.8,"232,595",922.5,7.6 ( 6 ),7.4 ( 6 ),4.9
