,4/1/2026,4/5/2026,4/1/2026,4/5/2026,4/5/2026,4/5/2026,4/5/2026,4/1/2026,4/5/2026,4/5/2026
Basin,%4/1 Avg.,%4/5 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Alvord Lake,7,14,0.3,0.6,5.3,"10,104",322.7,NA,NA,0.1
2. Bitterroot,93,100,8.7,9.2,49.3,"956,167","1,955.00",14.8 ( 4 ),14.6 ( 4 ),11.2
3. Carson,12,12,0.7,0.6,8.1,"45,452","1,407.70",3.4 ( 7 ),3.4 ( 7 ),0.7
4. Clearwater Basin,98,106,6.2,6.6,35.6,"2,614,178","7,475.20",21.3 ( 11 ),21.6 ( 11 ),11.7
5. Clover Valley and Franklin,6,7,0.1,0.1,1,"19,256","4,115.00",0.2 ( 2 ),0.2 ( 2 ),0
6. Donner und Blitzen,12,16,1.2,1.6,13.3,"18,295",219.9,3.9 ( 2 ),4.7 ( 2 ),0.3
7. Dry Lake Valley,2,2,0,0,0.7,749,296.3,NA,NA,0
8. Eastern Nevada,4,5,0.1,0.1,1.3,"28,118","4,375.20",1.3 ( 8 ),1.4 ( 8 ),0.1
9. Flathead,128,127,6.8,7.2,36.9,"2,945,321","7,644.30",20.0 ( 13 ),20.9 ( 13 ),12.4
10. Grande Ronde-Burnt-Powder-Imnaha,41,46,2.5,2.6,14.3,"730,979","5,316.00",4.1 ( 11 ),4.1 ( 11 ),2.1
11. Guano,0,1,0,0,0,365,"2,062.90",0.0 ( 1 ),0.0 ( 1 ),0
12. Harney-Malheur Lakes,0,0,0,0,0,0,280.6,NA,NA,0
13. John Day,20,24,1.3,1.4,9.2,"109,001","1,504.70",0.0 ( 2 ),0.0 ( 2 ),0.3
14. Kootenai,75,83,4.4,4.7,24.8,"421,992","1,671.80",16.3 ( 5 ),16.8 ( 5 ),10.9
15. Lake County-Goose Lake,3,4,0.1,0.1,1.9,"27,789","3,623.70",2.3 ( 2 ),3.1 ( 2 ),0.1
16. Little Humboldt,1,3,0.1,0.1,1.1,"2,680",420.8,0.2 ( 3 ),0.7 ( 3 ),0.1
17. Lower Clark Fork,114,120,9.5,9.9,53.7,"779,835","1,474.70",37.9 ( 4 ),38.9 ( 4 ),18.4
18. Lower Humboldt,0,3,0,0.1,0.7,856,272.6,0.0 ( 1 ),0.0 ( 1 ),0.1
19. Lower Pend Oreille,98,108,8.8,9.6,51,"67,999",133.4,12.5 ( 1 ),13.3 ( 1 ),17.2
20. Lower Snake-Asotin,43,28,0.9,0.5,6.5,"9,115",333.7,2.4 ( 2 ),0.0 ( 1 ),0.8
21. Lower Snake-Tucannon,60,41,3.5,2.2,22.8,"12,866",108.3,NA,NA,4.7
22. Lower Yakima,19,20,0.9,0.9,8.8,"22,621",485,10.3 ( 2 ),17.6 ( 1 ),1.6
23. Malheur,12,15,0.7,0.7,5.7,"37,622",989.2,0.1 ( 3 ),0.0 ( 3 ),0.2
24. Middle Humboldt,0,0,0,0,0.1,201,633,NA,NA,0
25. Northern Big Smoky Valley,6,6,0.2,0.2,4.2,"6,512",572.8,NA,NA,0
26. Northern Great Basin,1,3,0,0.1,0.6,"6,748","2,224.90",0.0 ( 2 ),0.0 ( 2 ),0
27. Panhandle Basins,85,95,4.6,5,27.3,"436,731","1,644.60",19.5 ( 3 ),20.4 ( 3 ),9.7
28. Reese,3,3,0.1,0.1,2.3,"3,144",496.9,0.0 ( 2 ),0.0 ( 2 ),0
29. Rock,0,0,0,0,0,97,835.5,0.4 ( 1 ),0.5 ( 1 ),0
30. Salmon Basin,75,81,7.8,8.2,51.6,"5,257,895","11,950.50",15.6 ( 11 ),16.4 ( 11 ),8.7
31. Silver,0,0,0,0,0,0,444.3,NA,NA,0
32. Silvies,1,2,0,0,0.3,"2,875","1,317.40",0.2 ( 2 ),0.1 ( 2 ),0
33. Southern Snake Basins,4,6,0.1,0.1,0.9,"67,457","12,552.70",1.9 ( 13 ),2.1 ( 13 ),0.2
34. Spokane,90,88,2.9,2.6,16.4,"442,114","3,142.80",9.1 ( 8 ),9.4 ( 8 ),6.4
35. St. Mary,118,110,10.6,10.9,61.5,"389,254",668.1,0.5 ( 1 ),0.1 ( 1 ),9
36. Truckee,6,7,0.4,0.5,7.5,"34,871","1,443.60",4.9 ( 9 ),5.0 ( 9 ),1
37. Umatilla-Walla Walla-Willow,15,14,0.3,0.3,2.6,"19,477","1,434.30",5.2 ( 7 ),5.2 ( 7 ),0.5
38. Upper Humboldt,11,13,0.2,0.3,2.5,"68,964","5,035.80",1.3 ( 8 ),1.6 ( 8 ),0.2
39. Walker,15,15,0.7,0.6,8.5,"63,375","1,942.90",7.8 ( 7 ),7.7 ( 7 ),1.2
40. West Central Basins,44,50,5,5.3,33.7,"1,620,235","5,702.10",9.0 ( 16 ),9.7 ( 16 ),6.1
