,,3/8/2026,3/15/2026,3/8/2026,3/15/2026,3/15/2026,3/15/2026,3/15/2026,3/8/2026,3/15/2026,3/15/2026
Basin,Elevation Band,%3/8 Avg.,%3/15 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
0. Trinity,"5,000-6,000'",9,5,1.6,1.1,23.6,"8,560",152.3,1.4 ( 2 ),0.5 ( 2 ),0.9
0. Trinity,"6,000-7,000'",28,22,6.8,5.4,70.9,"38,296",133,7.4 ( 5 ),5.6 ( 4 ),2.4
0. Trinity,"7,000-8,000'",41,34,11.7,9.7,82,"18,198",35.1,NA,NA,2.3
0. Trinity,"8,000-9,000'",63,43,20.1,13.7,77.2,708,1,NA,NA,2.9
1. Upper Sacramento,"5,000-6,000'",14,9,2.6,1.6,30.3,"5,544",64.1,0.6 ( 1 ),0.0 ( 1 ),0.8
1. Upper Sacramento,"6,000-7,000'",33,25,7.6,5.7,74.8,"11,092",36.2,16.1 ( 1 ),12.8 ( 1 ),3.5
1. Upper Sacramento,"7,000-8,000'",39,32,10.2,8.3,88.1,"3,896",8.8,NA,NA,13.6
1. Upper Sacramento,"8,000-9,000'",42,36,11.9,9.8,83.6,"1,208",2.3,NA,NA,29.9
1. Upper Sacramento,"9,000-10,000'",66,42,20.7,13,89.9,"1,209",1.7,NA,NA,48.2
1. Upper Sacramento,"10,000-11,000'",90,50,31.6,17.1,87.8,792,0.9,NA,NA,46.7
1. Upper Sacramento,">11,000'",88,46,34.6,17.6,76.2,"1,084",1.2,NA,NA,40.4
2. McCloud,"5,000-6,000'",20,10,2.8,1.7,44,"8,998",96.8,8.9 ( 1 ),6.2 ( 1 ),4.4
2. McCloud,"6,000-7,000'",28,23,5.7,4.9,86.1,"10,944",41.7,NA,NA,9.7
2. McCloud,"7,000-8,000'",37,33,9,8.3,92.1,"6,295",14.2,NA,NA,24.1
2. McCloud,"8,000-9,000'",53,42,13.9,10.9,84.7,"3,748",6.5,NA,NA,44.6
2. McCloud,"9,000-10,000'",59,41,17.6,12.1,86,"1,991",3.1,NA,NA,49.8
2. McCloud,"10,000-11,000'",72,43,25.2,14.8,88.1,"1,143",1.4,NA,NA,58
2. McCloud,">11,000'",83,41,36.3,18.3,91,"1,128",1.2,NA,NA,51.9
3. Pit,"5,000-6,000'",3,1,0.1,0.1,1,"3,835","1,428.20",10.4 ( 1 ),6.5 ( 1 ),0.3
3. Pit,"6,000-7,000'",24,14,2.7,1.6,19.8,"43,735",507.2,8.7 ( 2 ),5.9 ( 2 ),1.8
3. Pit,"7,000-8,000'",51,37,8.7,6.6,66,"45,365",129.4,5.1 ( 2 ),4.0 ( 2 ),5.4
3. Pit,"8,000-9,000'",71,58,13.9,12.5,92.1,"12,960",19.4,NA,NA,9.8
3. Pit,">9,000'",79,64,18.7,16.8,79.5,"1,725",1.9,NA,NA,17.8
4. Sacramento at Bend Bridge,"5,000-6,000'",2,0,0.2,0,0.6,275,156.3,NA,NA,0.7
4. Sacramento at Bend Bridge,"6,000-7,000'",24,16,4.2,2.8,29.1,"9,503",63.1,NA,NA,3.7
4. Sacramento at Bend Bridge,"7,000-8,000'",51,39,13.1,10.4,80.5,"8,638",15.6,NA,NA,11
4. Sacramento at Bend Bridge,"8,000-9,000'",63,48,19.1,14.8,73.6,"3,417",4.3,NA,NA,18
4. Sacramento at Bend Bridge,">9,000'",79,53,23.7,16.3,61.5,504,0.6,NA,NA,25.5
5. Feather§,"5,000-6,000'",17,6,1.3,0.5,9.3,"32,549","1,257.10",11.6 ( 1 ),8.1 ( 1 ),2.1
5. Feather§,"6,000-7,000'",40,24,5.1,3.7,46.4,"143,329",732.9,10.3 ( 5 ),7.4 ( 4 ),4.8
5. Feather§,"7,000-8,000'",55,41,10.1,8.2,77.8,"53,929",122.6,7.2 ( 1 ),3.9 ( 1 ),5.9
5. Feather§,"8,000-9,000'",69,52,19,14.3,92.5,"3,670",4.8,NA,NA,9.8
6. Yuba§,"5,000-6,000'",13,4,1.2,0.3,7.1,"2,722",193.5,NA,NA,3.4
6. Yuba§,"6,000-7,000'",40,30,6.5,5.2,63.2,"59,271",213.6,19.0 ( 4 ),15.8 ( 4 ),8.8
6. Yuba§,"7,000-8,000'",55,48,16,14.3,84.1,"86,094",113.1,NA,NA,11.3
6. Yuba§,"8,000-9,000'",74,58,29.1,24.9,82.7,"7,047",5.3,NA,NA,20.4
7. American,"5,000-6,000'",25,3,3.5,0.4,5.8,"6,940",294.8,3.2 ( 4 ),1.7 ( 4 ),1.1
7. American,"6,000-7,000'",46,28,9.8,6,57.9,"85,948",267.6,14.9 ( 2 ),15.6 ( 2 ),5.3
7. American,"7,000-8,000'",58,48,14.4,12.2,86.6,"109,077",168.1,13.4 ( 4 ),8.0 ( 4 ),13.5
7. American,"8,000-9,000'",74,60,19.9,16.4,80.4,"60,581",69.1,22.9 ( 3 ),19.2 ( 2 ),17.5
7. American,"9,000-10,000'",97,69,28,20.2,66.3,"7,993",7.4,NA,NA,19.4
8. Cosumnes,"5,000-6,000'",26,0,2.6,0,0.2,75,60.5,NA,NA,0.6
8. Cosumnes,"6,000-7,000'",53,18,9.6,3.2,34.1,"4,105",23.7,NA,NA,3.6
8. Cosumnes,"7,000-8,000'",63,51,14.6,12,95.6,"4,863",7.6,NA,NA,13.3
9. Mokelumne,"5,000-6,000'",15,1,1.5,0.1,2.1,622,82.5,NA,NA,1.4
9. Mokelumne,"6,000-7,000'",40,17,7.3,3.2,33.9,"10,721",63.5,11.9 ( 1 ),10.1 ( 1 ),4.6
9. Mokelumne,"7,000-8,000'",61,51,14.1,12.1,85.7,"55,650",86.4,NA,NA,12.7
9. Mokelumne,"8,000-9,000'",70,61,18.2,16,86.1,"66,457",77.9,21.1 ( 2 ),18.0 ( 2 ),17.1
9. Mokelumne,">9,000'",90,67,24.3,18.5,66.8,"7,442",7.5,NA,NA,20.4
10. Stanislaus,"5,000-6,000'",16,1,1.4,0.1,0.8,357,105.6,NA,NA,1.1
10. Stanislaus,"6,000-7,000'",41,20,7.1,3.6,34.2,"25,719",133.9,NA,NA,5
10. Stanislaus,"7,000-8,000'",61,48,13.3,10.4,78.7,"79,825",143.8,16.0 ( 1 ),15.0 ( 1 ),10.2
10. Stanislaus,"8,000-9,000'",70,60,17.3,14.9,84.1,"91,950",115.4,24.0 ( 2 ),22.5 ( 2 ),14.3
10. Stanislaus,"9,000-10,000'",85,67,23.4,18.6,71.9,"51,295",51.6,21.9 ( 1 ),20.8 ( 1 ),17.6
10. Stanislaus,"10,000-11,000'",97,68,29.1,20.4,54.6,"13,239",12.2,NA,NA,19
10. Stanislaus,"11,000-12,000'",94,69,26.3,19.2,45.5,396,0.4,NA,NA,13.5
11. Tuolumne,"5,000-6,000'",10,0,0.3,0,0.1,69,168,NA,NA,0
11. Tuolumne,"6,000-7,000'",41,16,2.7,2.5,23.7,"18,739",140.9,1.6 ( 1 ),0.2 ( 1 ),1.5
11. Tuolumne,"7,000-8,000'",59,46,8.3,10,69.8,"79,222",149.1,21.0 ( 2 ),20.0 ( 1 ),9.9
11. Tuolumne,"8,000-9,000'",69,61,13.7,14.6,80.4,"130,631",167.9,17.0 ( 3 ),14.9 ( 3 ),16.9
11. Tuolumne,"9,000-10,000'",80,67,18.4,17.3,77.7,"162,915",176.1,22.7 ( 2 ),20.8 ( 2 ),21.5
11. Tuolumne,"10,000-11,000'",95,72,23.5,20.1,75.4,"92,718",86.6,NA,NA,21.1
11. Tuolumne,"11,000-12,000'",102,73,22.9,20.8,72.3,"26,614",24,NA,NA,16.5
11. Tuolumne,"12,000-13,000'",101,69,17.1,19.7,70.1,"2,539",2.4,NA,NA,13.4
12. Merced,"5,000-6,000'",7,0,0.1,0,0,0,69.7,NA,NA,0
12. Merced,"6,000-7,000'",32,13,2,1.6,16.9,"6,660",78.3,NA,NA,2.8
12. Merced,"7,000-8,000'",65,47,9.3,8.9,75,"62,685",131.9,NA,NA,13.4
12. Merced,"8,000-9,000'",74,64,14.8,13.8,86.8,"90,829",123.4,24.0 ( 2 ),24.9 ( 1 ),21.3
12. Merced,"9,000-10,000'",79,69,19.8,17.3,85.5,"77,481",84.1,NA,NA,25.6
12. Merced,"10,000-11,000'",93,72,27.3,20.4,74,"43,234",39.7,NA,NA,26.2
12. Merced,"11,000-12,000'",111,72,31.9,23.5,66.1,"13,913",11.1,NA,NA,24.3
12. Merced,"12,000-13,000'",121,72,38,26.3,66.4,"1,895",1.4,NA,NA,22.6
13. San Joaquin,"5,000-6,000'",23,2,0.3,0.1,1.2,770,137.2,NA,NA,0.2
13. San Joaquin,"6,000-7,000'",46,19,2.1,2.4,25.7,"22,741",177.6,11.2 ( 3 ),7.6 ( 3 ),4.3
13. San Joaquin,"7,000-8,000'",64,48,7.1,8.1,70.9,"92,658",214.2,19.4 ( 3 ),15.2 ( 3 ),13.6
13. San Joaquin,"8,000-9,000'",74,62,13.8,12.3,83.4,"127,667",195.3,NA,NA,21.5
13. San Joaquin,"9,000-10,000'",83,70,20.3,16.3,83.6,"175,386",201.4,24.2 ( 1 ),22.2 ( 1 ),23.4
13. San Joaquin,"10,000-11,000'",94,75,25.6,19.5,79.9,"163,558",157.5,NA,NA,20.8
13. San Joaquin,"11,000-12,000'",106,76,26.6,21.4,73,"130,821",114.6,NA,NA,16.8
13. San Joaquin,"12,000-13,000'",118,79,24.4,22.8,74.2,"31,798",26.2,NA,NA,11.4
13. San Joaquin,"13,000-14,000'",108,79,13.8,21.5,67.7,"1,657",1.4,NA,NA,6.1
14. Kings§,"5,000-6,000'",13,0,0.5,0,0,0,95.6,NA,NA,0.2
14. Kings§,"6,000-7,000'",38,11,3.8,0.8,11.6,"5,225",128.5,5.2 ( 1 ),0.4 ( 1 ),2.8
14. Kings§,"7,000-8,000'",61,41,9.4,4.5,50.5,"40,325",168.2,NA,NA,9.9
14. Kings§,"8,000-9,000'",73,59,13.8,12.1,73.3,"137,531",212.7,16.3 ( 1 ),11.4 ( 1 ),19
14. Kings§,"9,000-10,000'",83,72,18.1,17.8,82.7,"205,672",216.8,30.3 ( 1 ),27.9 ( 2 ),21.6
14. Kings§,"10,000-11,000'",92,78,22.9,20.2,83.3,"211,869",196.9,30.3 ( 1 ),23.0 ( 2 ),20.8
14. Kings§,"11,000-12,000'",107,80,28.8,21.1,83.6,"166,149",147.8,26.4 ( 1 ),18.5 ( 1 ),18.5
14. Kings§,"12,000-13,000'",116,80,33,20.2,81,"47,550",44.1,NA,NA,14.1
14. Kings§,"13,000-14,000'",117,81,32.4,19.6,78.3,"2,920",2.8,NA,NA,7.9
15. Kaweah,"5,000-6,000'",7,0,0.1,0,0,0,55.5,NA,NA,0.1
15. Kaweah,"6,000-7,000'",46,2,3,0.2,1.8,493,59.5,NA,2.4 ( 1 ),1.5
15. Kaweah,"7,000-8,000'",60,29,6,4,34.7,"12,948",60.1,NA,NA,6.3
15. Kaweah,"8,000-9,000'",70,53,10.3,10.4,67.5,"31,479",56.8,NA,NA,11.1
15. Kaweah,"9,000-10,000'",81,70,14.8,16.1,80.8,"37,186",43.4,18.7 ( 1 ),16.7 ( 1 ),15.9
15. Kaweah,"10,000-11,000'",91,76,21.7,20.1,82.4,"31,963",29.8,NA,NA,19.9
15. Kaweah,">11,000'",104,79,27.5,21.7,79.4,"10,738",9.3,NA,NA,20.4
16. Tule,"5,000-6,000'",32,0,0.2,0,0,0,51.6,NA,NA,0.1
16. Tule,"6,000-7,000'",57,1,2.8,0.1,0.4,108,40,NA,NA,0.5
16. Tule,"7,000-8,000'",69,14,9.5,1.9,17.1,"2,740",26.8,3.1 ( 1 ),0.1 ( 1 ),1
16. Tule,"8,000-9,000'",75,42,14.3,8,58.5,"6,448",15.2,NA,NA,3.3
16. Tule,"9,000-10,000'",77,67,18,15.6,82.9,"3,363",4.1,NA,NA,9.2
17. Kern§,"5,000-6,000'",5,0,0.1,0,0,0,246.2,NA,NA,0
17. Kern§,"6,000-7,000'",27,1,1.3,0,0.4,115,341.5,NA,NA,0
17. Kern§,"7,000-8,000'",57,17,3.8,0.4,11.7,"7,117",326.6,1.3 ( 1 ),NA,0.2
17. Kern§,"8,000-9,000'",88,53,6.5,3.1,49.2,"52,851",314.7,NA,NA,1.9
17. Kern§,"9,000-10,000'",93,73,10.5,7.2,72.6,"72,260",189.2,NA,15.9 ( 1 ),6.6
17. Kern§,"10,000-11,000'",96,82,18.3,12.3,84.4,"84,872",129.2,15.8 ( 2 ),16.5 ( 2 ),14
17. Kern§,"11,000-12,000'",102,83,24.1,14.3,85.7,"69,737",91.6,NA,22.1 ( 1 ),18.3
17. Kern§,"12,000-13,000'",114,84,25.5,12.1,82.1,"24,383",37.8,NA,NA,15
17. Kern§,">13,000'",121,88,23.2,10.6,78.3,"3,317",5.9,NA,NA,8.2
18. Truckee§,"5,000-6,000'",29,9,3.6,0.3,18.7,924,68.6,NA,NA,5.1
18. Truckee§,"6,000-7,000'",40,25,6.9,1.9,50.5,"21,421",206.5,10.1 ( 4 ),8.9 ( 4 ),6.4
18. Truckee§,"7,000-8,000'",55,45,12.1,7.7,78.9,"46,055",111.9,15.9 ( 2 ),13.2 ( 2 ),10.4
18. Truckee§,"8,000-9,000'",71,57,17.9,12.9,87.1,"21,020",30.5,NA,NA,17.3
18. Truckee§,"9,000-10,000'",81,62,20,12.9,85.3,"5,130",7.4,NA,NA,21.1
18. Truckee§,"10,000-11,000'",81,60,20,13.7,83.2,353,0.5,NA,NA,24
19. Tahoe§,"6,000-7,000'",8,4,1,0.2,6.5,"3,890",312.6,8.2 ( 2 ),7.2 ( 2 ),2.8
19. Tahoe§,"7,000-8,000'",44,35,8.7,4.2,55.8,"24,072",107.1,13.1 ( 4 ),9.9 ( 4 ),8.6
19. Tahoe§,"8,000-9,000'",67,54,15.5,9.7,72.3,"36,810",70.9,11.1 ( 1 ),9.1 ( 1 ),11.9
19. Tahoe§,"9,000-10,000'",82,66,20,14.1,76.3,"12,370",16.5,NA,NA,13.8
19. Tahoe§,"10,000-11,000'",83,63,19.8,9.3,89.3,528,1.1,NA,NA,11.6
20. W Carson§,"5,000-6,000'",0,0,0,0,0,0,0.3,NA,NA,0
20. W Carson§,"6,000-7,000'",4,0,0.4,0,0,0,1.9,NA,NA,2.3
20. W Carson§,"7,000-8,000'",57,41,10.8,4.6,76.5,"6,910",28.1,NA,NA,9.6
20. W Carson§,"8,000-9,000'",69,55,15.4,9.7,82,"14,446",27.8,16.9 ( 3 ),15.0 ( 3 ),12.2
20. W Carson§,"9,000-10,000'",80,64,19.1,12.1,76.8,"4,477",6.9,NA,NA,11.8
20. W Carson§,"10,000-11,000'",76,63,19.4,13.7,59.7,212,0.3,NA,NA,12.2
21. E Carson§,"5,000-6,000'",0,0,0,0,0,0,33.4,NA,NA,0
21. E Carson§,"6,000-7,000'",12,3,1,0,3.8,204,79.4,0.0 ( 1 ),0.0 ( 1 ),0.6
21. E Carson§,"7,000-8,000'",49,33,6.4,2.9,47.3,"15,750",100.2,12.4 ( 1 ),9.6 ( 1 ),4.2
21. E Carson§,"8,000-9,000'",68,55,13.5,8.2,78.6,"42,596",97.3,15.5 ( 2 ),12.9 ( 2 ),9.9
21. E Carson§,"9,000-10,000'",83,65,19.8,12.3,82.2,"22,764",34.7,NA,NA,13.9
21. E Carson§,">10,000'",99,75,25,14.2,70.8,"7,729",10.2,NA,NA,14.3
22. W Walker,"6,000-7,000'",18,10,1.2,0.6,12.2,253,7.3,NA,NA,0
22. W Walker,"7,000-8,000'",38,24,3.3,2.5,41.1,"5,236",38.7,4.6 ( 1 ),0.2 ( 1 ),0.9
22. W Walker,"8,000-9,000'",59,48,9.6,8.5,81.7,"20,896",46.1,11.4 ( 2 ),10.6 ( 2 ),8.8
22. W Walker,"9,000-10,000'",83,67,19.9,16.3,78.6,"52,873",60.8,37.9 ( 1 ),37.3 ( 1 ),19.1
22. W Walker,"10,000-11,000'",98,73,26.6,20,65.7,"26,538",24.9,NA,NA,18.4
22. W Walker,"11,000-12,000'",102,72,25.4,17.5,50.7,"1,801",1.9,NA,NA,14.4
23. E Walker,"6,000-7,000'",0,0,0,0,0.8,43,60.6,NA,NA,0
23. E Walker,"7,000-8,000'",14,9,0.6,0.8,27.1,"5,059",111.7,NA,NA,0.4
23. E Walker,"8,000-9,000'",32,25,2.7,3.5,65.7,"16,616",88.1,NA,NA,2.6
23. E Walker,"9,000-10,000'",64,51,10,9.5,77.6,"27,222",53.9,13.4 ( 1 ),13.0 ( 1 ),9.8
23. E Walker,"10,000-11,000'",84,64,16.3,13.8,66.9,"25,434",34.7,NA,NA,13.3
23. E Walker,">11,000'",88,67,15.6,13,64.6,"5,089",7.3,NA,NA,11.5
24. Mono,"6,000-7,000'",0,0,0,0,0.5,1,374.9,NA,NA,0
24. Mono,"7,000-8,000'",8,7,0.2,0.3,17.2,"7,221",392.8,NA,NA,0.5
24. Mono,"8,000-9,000'",37,29,2.4,3,55.4,"28,988",178.9,NA,NA,1.2
24. Mono,"9,000-10,000'",61,50,7.8,8.1,81.1,"27,590",64.1,NA,NA,8
24. Mono,"10,000-11,000'",86,68,17.7,14.9,74.2,"37,611",47.2,NA,NA,16.2
24. Mono,"11,000-12,000'",101,73,23.4,17.7,69.2,"22,383",23.7,NA,NA,14.4
24. Mono,"12,000-13,000'",99,72,23.6,17.7,62.6,"4,011",4.2,NA,NA,13.6
25. Upper Owens,"6,000-7,000'",8,1,0.2,0,1.1,63,68.6,NA,NA,0.3
25. Upper Owens,"7,000-8,000'",52,40,3.5,2.7,42.1,"20,759",143.6,NA,NA,3.4
25. Upper Owens,"8,000-9,000'",70,57,9.7,8,73.2,"32,287",75.4,NA,NA,7.7
25. Upper Owens,"9,000-10,000'",73,61,11.2,10.3,76.1,"24,187",44.2,28.2 ( 1 ),27.4 ( 1 ),9.8
25. Upper Owens,"10,000-11,000'",84,64,15,12.6,72.2,"21,795",32.4,NA,NA,10.5
25. Upper Owens,"11,000-12,000'",97,72,19.8,15.2,63.3,"12,633",15.5,NA,NA,7.4
25. Upper Owens,"12,000-13,000'",97,74,16.1,14.2,57,"2,190",2.9,NA,NA,3.8
26. Owens,"5,000-6,000'",0,0,0,0,0,0,421.9,NA,NA,0
26. Owens,"6,000-7,000'",0,0,0,0,0.1,0,342.5,NA,NA,0
26. Owens,"7,000-8,000'",2,1,0,0.1,5.2,889,314.8,NA,NA,0
26. Owens,"8,000-9,000'",18,14,0.6,0.7,22.5,"6,560",178.7,NA,NA,0.6
26. Owens,"9,000-10,000'",47,41,3.6,4,51.7,"31,475",148.1,8.1 ( 2 ),7.4 ( 2 ),3.2
26. Owens,"10,000-11,000'",76,64,9.9,9.1,71,"79,851",163.8,16.4 ( 2 ),17.0 ( 2 ),7.7
26. Owens,"11,000-12,000'",101,79,18.7,14.8,73.6,"103,948",132,NA,NA,10.2
26. Owens,"12,000-13,000'",114,83,23.6,16.9,72.3,"55,941",62.1,NA,NA,7.7
26. Owens,">13,000'",117,85,19.7,14.1,63.4,"6,886",9.2,NA,NA,4
