,,3/8/2026,3/15/2026,3/8/2026,3/15/2026,3/15/2026,3/15/2026,3/15/2026,3/8/2026,3/15/2026,3/15/2026
Basin,Elevation Band,%3/8 Avg.,%3/15 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Alvord Lake,"6,000-7,000'",22,3,1.2,0.1,1.8,"1,892",240.2,NA,NA,0
1. Alvord Lake,"7,000-8,000'",58,30,6.4,2.9,24.2,"10,885",69.9,NA,NA,0.1
1. Alvord Lake,"8,000-9,000'",80,66,13.4,11,72.2,"6,764",11.5,NA,NA,4.2
1. Alvord Lake,"9,000-10,000'",91,77,16.6,14.5,59.8,896,1.2,NA,NA,8.7
2. Bitterroot,"5,000-6,000'",42,54,2.1,2.4,21.3,"84,391",657.5,9.1 ( 2 ),13.6 ( 2 ),6.3
2. Bitterroot,"6,000-7,000'",96,112,7.8,8.9,59.8,"342,488",718,18.0 ( 2 ),23.1 ( 2 ),14.1
2. Bitterroot,"7,000-8,000'",134,143,15.3,16.6,86.1,"426,751",483.4,NA,NA,20.7
2. Bitterroot,"8,000-9,000'",148,149,21.1,21.7,89.9,"108,705",93.8,NA,NA,25.4
2. Bitterroot,"9,000-10,000'",138,134,23,22.9,86.3,"2,827",2.3,NA,NA,26.7
3. Carson,"5,000-6,000'",0,0,0,0,0,0,619.1,NA,NA,0
3. Carson,"6,000-7,000'",7,2,0.3,0.1,0.9,"1,303",354.2,0.0 ( 1 ),0.0 ( 1 ),0.1
3. Carson,"7,000-8,000'",44,31,4.9,3.5,34.7,"41,166",220.1,12.4 ( 1 ),9.6 ( 1 ),3.3
3. Carson,"8,000-9,000'",67,54,13,10.7,73.2,"88,510",155.7,16.3 ( 5 ),14.2 ( 5 ),8.9
3. Carson,"9,000-10,000'",80,64,18.7,15.2,82.9,"37,960",46.8,NA,NA,12.8
3. Carson,">10,000'",96,74,24,18.5,73.7,"11,702",11.9,NA,NA,14.1
4. Clearwater Basin,"3,000-4,000'",34,46,0.7,0.8,13.2,"95,968","2,282.20",3.4 ( 1 ),4.3 ( 1 ),3.2
4. Clearwater Basin,"4,000-5,000'",66,80,2.8,3.4,31.1,"355,082","1,966.60",10.4 ( 1 ),13.7 ( 1 ),11.1
4. Clearwater Basin,"5,000-6,000'",124,143,8.3,10.2,60.3,"989,683","1,812.30",24.0 ( 6 ),31.0 ( 6 ),20
4. Clearwater Basin,"6,000-7,000'",154,161,15.2,17.2,84.6,"1,041,354","1,138.30",15.5 ( 2 ),19.7 ( 2 ),24.4
4. Clearwater Basin,"7,000-8,000'",149,150,19.2,20.4,91.8,"286,973",264.1,NA,NA,25.1
4. Clearwater Basin,"8,000-9,000'",147,144,21,21.9,90.9,"13,618",11.7,NA,NA,24
5. Clover Valley and Franklin,"5,000-6,000'",0,0,0,0,1.7,52,793.5,NA,NA,0
5. Clover Valley and Franklin,"6,000-7,000'",1,0,0,0,0,242,"2,365.00",NA,NA,0
5. Clover Valley and Franklin,"7,000-8,000'",15,5,0.6,0.2,3.4,"9,449",760.6,5.2 ( 1 ),2.6 ( 1 ),0
