,3/1/2026,3/8/2026,3/1/2026,3/8/2026,3/8/2026,3/8/2026,3/8/2026,3/1/2026,3/8/2026,3/8/2026
Basin,%3/1 Avg.,%3/8 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Alvord Lake,38,40,2.7,2.8,29.3,"48,001",322.7,NA,NA,0.5
2. Bitterroot,101,102,7,8.4,54.4,"875,909","1,955.00",12.6 ( 4 ),13.5 ( 4 ),9.8
3. Carson,67,51,3.9,3.1,20.4,"231,919","1,407.70",13.0 ( 7 ),13.4 ( 7 ),2.6
4. Clearwater Basin,116,111,5.4,6,43.4,"2,392,390","7,475.20",15.4 ( 10 ),17.8 ( 11 ),9.9
5. Clover Valley and Franklin,15,16,0.5,0.4,8.8,"76,847","4,115.00",4.5 ( 2 ),5.1 ( 2 ),0.2
6. Donner und Blitzen,59,62,6.8,7.2,65.3,"84,714",219.9,6.4 ( 2 ),7.6 ( 2 ),2.3
7. Dry Lake Valley,26,10,1.3,0.4,5.6,"6,441",296.3,NA,NA,0
8. Eastern Nevada,26,22,1.4,0.9,16.1,"215,643","4,375.20",4.8 ( 8 ),5.2 ( 8 ),0.6
9. Flathead,132,133,5.6,6.4,40.7,"2,623,362","7,644.30",14.9 ( 12 ),17.5 ( 13 ),10.1
10. Grande Ronde-Burnt-Powder-Imnaha,44,45,3.3,3.5,28.1,"984,845","5,316.00",6.9 ( 11 ),7.2 ( 11 ),2.8
11. Guano,28,11,0.6,0.2,2.5,"19,759","2,062.90",0.0 ( 1 ),0.0 ( 1 ),0
12. Harney-Malheur Lakes,39,34,2,1.6,22.9,"23,297",280.6,NA,NA,0
13. John Day,25,25,1.9,1.9,18.8,"155,408","1,504.70",4.1 ( 2 ),3.4 ( 2 ),1.9
14. Kootenai,95,89,4.3,4.9,30.5,"437,142","1,671.80",13.9 ( 5 ),14.4 ( 5 ),10.3
15. Lake County-Goose Lake,23,16,1.2,0.8,10.4,"160,427","3,623.70",5.8 ( 2 ),6.6 ( 2 ),0.4
16. Little Humboldt,15,19,1.1,1.3,13.8,"28,578",420.8,2.9 ( 3 ),3.2 ( 3 ),0.2
17. Lower Clark Fork,146,140,8.1,9.4,61.7,"738,140","1,474.70",29.8 ( 4 ),31.4 ( 3 ),14.8
18. Lower Humboldt,11,9,0.4,0.3,2.6,"4,642",272.6,0.0 ( 1 ),0.0 ( 1 ),0
19. Lower Pend Oreille,122,121,8.8,9.8,63.1,"69,735",133.4,12.4 ( 1 ),12.1 ( 1 ),16.3
20. Lower Snake-Asotin,62,53,2.2,1.6,25.4,"28,678",333.7,3.1 ( 2 ),2.9 ( 2 ),1.1
21. Lower Snake-Tucannon,82,82,6.2,5.7,81.6,"33,055",108.3,NA,NA,5.8
22. Lower Yakima,33,30,2.1,1.8,43,"45,983",485,10.3 ( 2 ),10.6 ( 2 ),2.7
23. Malheur,33,29,2.6,2.3,28.1,"119,514",989.2,3.3 ( 3 ),3.1 ( 3 ),1.7
24. Middle Humboldt,13,10,0.6,0.4,4.6,"12,311",633,NA,NA,0.1
25. Northern Big Smoky Valley,26,25,1.5,1.2,21.8,"37,462",572.8,NA,NA,0.9
26. Northern Great Basin,37,13,2,0.6,6.5,"69,789","2,224.90",1.9 ( 2 ),2.0 ( 2 ),0.1
27. Panhandle Basins,111,104,5,5.2,37.7,"460,040","1,644.60",17.8 ( 3 ),18.0 ( 3 ),10.1
28. Reese,22,22,1.4,1.2,17.2,"32,712",496.9,4.3 ( 2 ),5.1 ( 2 ),0.7
29. Rock,6,7,0.3,0.2,1.8,"8,101",835.5,6.8 ( 1 ),7.4 ( 1 ),0.1
30. Salmon Basin,92,95,8.1,9.4,70,"5,991,223","11,950.50",15.1 ( 11 ),16.0 ( 11 ),10
31. Silver,18,8,0.8,0.3,6.9,"8,143",444.3,NA,NA,0
32. Silvies,14,9,0.8,0.4,6.7,"30,788","1,317.40",2.7 ( 2 ),2.9 ( 2 ),0.2
33. Southern Snake Basins,28,30,1.3,1.1,17.5,"739,658","12,552.70",3.7 ( 13 ),4.1 ( 13 ),0.4
34. Spokane,113,104,3.6,3.8,34.8,"629,075","3,142.80",8.6 ( 8 ),9.5 ( 7 ),6.4
35. St. Mary,111,122,8.2,9.5,62.6,"336,717",668.1,3.1 ( 1 ),2.5 ( 1 ),8
36. Truckee,60,43,4.2,3.3,25.8,"253,353","1,443.60",13.4 ( 9 ),12.6 ( 9 ),3.7
37. Umatilla-Walla Walla-Willow,25,21,0.9,0.7,8.3,"49,753","1,434.30",5.2 ( 7 ),5.4 ( 7 ),0.6
38. Upper Humboldt,20,22,1,0.8,14.3,"220,943","5,035.80",4.6 ( 8 ),5.3 ( 8 ),0.5
39. Walker,49,47,2.8,2.4,27.9,"251,501","1,942.90",14.9 ( 7 ),14.6 ( 7 ),2.6
40. West Central Basins,62,63,6.9,7.5,60.2,"2,290,429","5,702.10",11.5 ( 16 ),12.1 ( 16 ),8
