,3/1/2026,3/8/2026,3/1/2026,3/8/2026,3/8/2026,3/8/2026,3/8/2026,3/1/2026,3/8/2026,3/8/2026
Basin,%3/1 Avg.,%3/8 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Central Columbia,77,79,12.4,13.6,58,"1,539,290","2,129.50",16.1 ( 7 ),16.3 ( 7 ),20.7
2. Central Puget Sound,125,126,9.2,10.4,36.4,"693,279","1,246.10",18.2 ( 5 ),18.2 ( 5 ),21
3. Hood-Sandy-Lower Deschutes,31,30,0.8,0.8,9.2,"221,002","5,083.40",7.9 ( 11 ),7.5 ( 11 ),3.9
4. Klamath,15,14,0.7,0.6,7.2,"256,691","7,543.00",3.6 ( 16 ),3.6 ( 16 ),0.9
5. Lewis,29,29,1.1,1.2,8.3,"37,291",583.2,12.8 ( 7 ),13.0 ( 7 ),8
6. Lower Cowlitz,39,39,3.3,3.5,30.8,"35,097",190.5,8.8 ( 2 ),7.9 ( 2 ),6.3
7. Naches,58,58,4.9,5.2,49.3,"170,546",614,18.8 ( 4 ),19.2 ( 4 ),15.1
8. North Puget Sound,128,128,10.1,11.4,38.5,"1,424,574","2,342.10",25.7 ( 9 ),27.1 ( 9 ),27.5
9. Olympic,65,66,11.3,12.2,53,"154,360",236.4,13.0 ( 3 ),13.0 ( 3 ),17.9
10. Rogue-Umpqua,24,25,0.9,1.1,8.8,"194,303","3,388.60",1.3 ( 6 ),1.3 ( 6 ),1.5
11. South Puget Sound,42,44,2,2.2,12.5,"133,795","1,146.00",8.1 ( 13 ),7.7 ( 14 ),11.5
12. Upper Columbia,67,65,6.5,6.6,39.9,"1,943,408","5,486.20",10.4 ( 7 ),10.4 ( 7 ),8.6
13. Upper Cowlitz,63,64,3.5,3.9,18,"148,723",717.7,15.2 ( 3 ),15.7 ( 3 ),16.3
14. Upper Deschutes-Crooked,21,19,1.1,1,9.8,"294,223","5,681.70",6.3 ( 7 ),6.2 ( 7 ),1.9
15. Upper Yakima,53,53,5.5,5.7,42.1,"315,775","1,031.70",8.3 ( 3 ),7.9 ( 3 ),7.9
16. Willamette,32,30,0.4,0.4,3.6,"254,913","11,470.90",3.0 ( 18 ),2.8 ( 18 ),1
