,,3/1/2026,3/8/2026,3/1/2026,3/8/2026,3/8/2026,3/8/2026,3/8/2026,3/1/2026,3/8/2026,3/8/2026
Basin,Elevation Band,%3/1 Avg.,%3/8 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Alvord Lake,"6,000-7,000'",23,22,1.4,1.2,19.1,"14,891",240.2,NA,NA,0.1
1. Alvord Lake,"7,000-8,000'",51,58,5.6,6.4,52.9,"23,853",69.9,NA,NA,0.9
1. Alvord Lake,"8,000-9,000'",79,80,12.3,13.4,93.4,"8,234",11.5,NA,NA,5.8
1. Alvord Lake,"9,000-10,000'",88,91,15,16.6,94.8,"1,024",1.2,NA,NA,8.9
2. Bitterroot,"5,000-6,000'",39,42,1.8,2.1,20.6,"74,409",657.5,8.5 ( 2 ),9.1 ( 2 ),3.8
2. Bitterroot,"6,000-7,000'",96,96,6.5,7.8,59.2,"297,642",718,16.7 ( 2 ),18.0 ( 2 ),10.2
2. Bitterroot,"7,000-8,000'",135,134,12.8,15.3,86,"395,288",483.4,NA,NA,15.6
2. Bitterroot,"8,000-9,000'",150,148,17.8,21.1,89.8,"105,729",93.8,NA,NA,19
2. Bitterroot,"9,000-10,000'",141,138,19.6,23,84.1,"2,842",2.3,NA,NA,19.7
3. Carson,"5,000-6,000'",43,0,0.2,0,0,0,619.1,NA,NA,0
3. Carson,"6,000-7,000'",50,7,1.7,0.3,2.8,"4,823",354.2,0.0 ( 1 ),0.0 ( 1 ),0.4
3. Carson,"7,000-8,000'",61,44,6.5,4.9,44.8,"57,585",220.1,10.2 ( 1 ),12.4 ( 1 ),4.8
3. Carson,"8,000-9,000'",76,67,14,13,81.7,"107,534",155.7,16.2 ( 5 ),16.3 ( 5 ),10.8
3. Carson,"9,000-10,000'",84,80,19.1,18.7,87.4,"46,809",46.8,NA,NA,14.5
3. Carson,">10,000'",94,96,23,24,88.5,"15,168",11.9,NA,NA,15.4
4. Clearwater Basin,"3,000-4,000'",47,34,1.1,0.7,14.8,"87,515","2,282.20",3.5 ( 1 ),3.4 ( 1 ),2.1
4. Clearwater Basin,"4,000-5,000'",71,66,2.6,2.8,31,"295,864","1,966.60",9.7 ( 1 ),10.4 ( 1 ),8.4
4. Clearwater Basin,"5,000-6,000'",132,124,7.2,8.3,59.8,"801,462","1,812.30",21.0 ( 5 ),24.0 ( 6 ),14.9
4. Clearwater Basin,"6,000-7,000'",160,154,13,15.2,84.4,"923,907","1,138.30",14.5 ( 2 ),15.5 ( 2 ),18.1
4. Clearwater Basin,"7,000-8,000'",153,149,16.4,19.2,91.8,"270,564",264.1,NA,NA,19
4. Clearwater Basin,"8,000-9,000'",147,147,17.9,21,91.3,"13,079",11.7,NA,NA,18.9
5. Clover Valley and Franklin,"5,000-6,000'",0,0,0,0,3.5,0,793.5,NA,NA,0
5. Clover Valley and Franklin,"6,000-7,000'",1,1,0.1,0,3.8,"2,297","2,365.00",NA,NA,0
5. Clover Valley and Franklin,"7,000-8,000'",17,15,1.1,0.6,17.1,"24,085",760.6,5.0 ( 1 ),5.2 ( 1 ),0.3
5. Clover Valley and Franklin,"8,000-9,000'",45,45,4,3.6,51.9,"30,223",155.8,4.0 ( 1 ),4.9 ( 1 ),1.7
5. Clover Valley and Franklin,"9,000-10,000'",66,68,8.4,9.1,87.4,"16,544",34.1,NA,NA,5.6
5. Clover Valley and Franklin,"10,000-11,000'",76,77,10.4,11.6,92.3,"3,699",6,NA,NA,8.8
6. Donner und Blitzen,"6,000-7,000'",45,47,4.3,4.3,55.4,"32,154",138.9,2.9 ( 1 ),3.8 ( 1 ),0.6
6. Donner und Blitzen,"7,000-8,000'",68,75,10,11.1,79.9,"35,344",59.8,9.8 ( 1 ),11.4 ( 1 ),4.1
6. Donner und Blitzen,"8,000-9,000'",84,86,14,15.1,89.2,"15,418",19.1,NA,NA,8.6
6. Donner und Blitzen,"9,000-10,000'",90,91,15.3,16.6,88.9,"1,798",2,NA,NA,9.6
7. Dry Lake Valley,"7,000-8,000'",15,1,0.8,0,0.7,253,230.4,NA,NA,0
7. Dry Lake Valley,"8,000-9,000'",39,17,2.7,1.1,16,"3,082",53.9,NA,NA,0
7. Dry Lake Valley,"9,000-10,000'",63,47,5.4,4.2,48.2,"2,307",10.2,NA,NA,0.3
7. Dry Lake Valley,"10,000-11,000'",68,68,7.6,8.2,89.8,799,1.8,NA,NA,3.2
8. Eastern Nevada,"7,000-8,000'",11,5,0.6,0.2,5.3,"23,744","2,847.80",0.0 ( 1 ),0.0 ( 1 ),0
8. Eastern Nevada,"8,000-9,000'",31,25,2.1,1.4,26.7,"85,651","1,111.30",1.6 ( 3 ),1.7 ( 3 ),0.6
8. Eastern Nevada,"9,000-10,000'",53,51,4.2,4,55.7,"65,609",309.5,7.9 ( 2 ),8.9 ( 2 ),2.9
8. Eastern Nevada,"10,000-11,000'",67,66,6.4,6.9,78.4,"32,210",87.8,8.9 ( 2 ),9.3 ( 2 ),7
8. Eastern Nevada,">11,000'",70,71,7.6,8.4,82.9,"8,429",18.8,NA,NA,7.7
9. Flathead,"3,000-4,000'",21,16,0.5,0.4,5.9,"43,849","2,118.20",4.6 ( 1 ),5.0 ( 1 ),0.5
9. Flathead,"4,000-5,000'",57,56,2,2.2,22.3,"229,974","1,920.60",5.9 ( 3 ),6.0 ( 3 ),4.1
9. Flathead,"5,000-6,000'",148,144,6.6,7.7,55.1,"690,101","1,682.00",11.7 ( 3 ),13.2 ( 3 ),13
9. Flathead,"6,000-7,000'",208,204,12.9,14.8,83.3,"1,102,649","1,392.90",24.3 ( 5 ),27.5 ( 6 ),22.8
9. Flathead,"7,000-8,000'",214,218,16.9,19.4,87.9,"507,224",491.4,NA,NA,27.3
9. Flathead,"8,000-9,000'",221,231,20.4,23.5,86.6,"47,305",37.7,NA,NA,27
9. Flathead,"9,000-10,000'",>300†,>300†,22.3,25.8,89.4,"2,260",1.6,NA,NA,20.7
10. Grande Ronde-Burnt-Powder-Imnaha,"4,000-5,000'",14,11,0.8,0.5,8.5,"89,331","3,104.90",0.0 ( 1 ),0.0 ( 1 ),0.5
10. Grande Ronde-Burnt-Powder-Imnaha,"5,000-6,000'",41,41,3.6,3.7,40.7,"271,824","1,382.50",7.5 ( 7 ),7.8 ( 7 ),3.8
10. Grande Ronde-Burnt-Powder-Imnaha,"6,000-7,000'",78,79,8.8,9.9,72.5,"251,799",477.3,4.4 ( 1 ),3.4 ( 1 ),9
10. Grande Ronde-Burnt-Powder-Imnaha,"7,000-8,000'",99,103,16.5,18.8,91.3,"272,131",271.5,9.5 ( 2 ),10.6 ( 2 ),11.7
10. Grande Ronde-Burnt-Powder-Imnaha,"8,000-9,000'",108,111,20.7,23.6,90.7,"97,866",77.8,NA,NA,12.2
10. Grande Ronde-Burnt-Powder-Imnaha,"9,000-10,000'",98,101,15.8,18.4,81,"1,894",1.9,NA,NA,6.4
11. Guano,"5,000-6,000'",20,0,0.3,0,0.1,301,"1,512.90",0.0 ( 1 ),0.0 ( 1 ),0
11. Guano,"6,000-7,000'",29,10,1.4,0.4,6.3,"10,519",525.7,NA,NA,0
11. Guano,"7,000-8,000'",62,61,6.7,6.9,68.1,"8,940",24.3,NA,NA,0.4
12. Harney-Malheur Lakes,"5,000-6,000'",36,29,1.7,1.2,17.6,"16,598",254.2,NA,NA,0
12. Harney-Malheur Lakes,"6,000-7,000'",56,58,4.8,4.7,74.2,"6,699",26.4,NA,NA,0.1
13. John Day,"5,000-6,000'",11,10,0.7,0.6,8.8,"41,533","1,202.60",2.7 ( 3 ),2.3 ( 3 ),1.2
13. John Day,"6,000-7,000'",50,50,5.2,5.6,52.4,"74,343",247.5,NA,NA,4.1
13. John Day,"7,000-8,000'",87,89,12.2,13.5,87.2,"38,241",53,NA,NA,7
13. John Day,"8,000-9,000'",94,97,13.3,14.8,83.1,"1,291",1.6,NA,NA,8.9
14. Kootenai,"4,000-5,000'",48,42,1.5,1.6,14.8,"75,427",880.8,6.3 ( 2 ),6.2 ( 2 ),4.9
14. Kootenai,"5,000-6,000'",100,94,5.7,6.5,40.2,"212,717",611.9,19.4 ( 3 ),14.4 ( 2 ),13.4
14. Kootenai,"6,000-7,000'",179,175,13.1,15.3,73.9,"140,583",172.1,28.7 ( 1 ),30.7 ( 1 ),25.8
14. Kootenai,">7,000'",201,205,18.7,22.4,94.9,"8,414",7,NA,NA,36.9
15. Lake County-Goose Lake,"5,000-6,000'",8,2,0.3,0.1,1.7,"9,124","2,708.10",0.0 ( 1 ),0.0 ( 1 ),0
15. Lake County-Goose Lake,"6,000-7,000'",34,24,3.3,2.3,30.1,"100,387",801.6,NA,NA,0.8
15. Lake County-Goose Lake,"7,000-8,000'",59,59,8.1,8.3,78.2,"49,302",111.4,11.6 ( 1 ),13.1 ( 1 ),5.6
15. Lake County-Goose Lake,"8,000-9,000'",69,68,11.6,12.1,94.4,"1,614",2.5,NA,NA,10.7
16. Little Humboldt,"6,000-7,000'",4,9,0.3,0.5,6.4,"8,390",326.8,1.4 ( 2 ),1.6 ( 2 ),0
16. Little Humboldt,"7,000-8,000'",31,33,3.4,3.6,36.7,"16,148",84.7,NA,NA,0.8
16. Little Humboldt,"8,000-9,000'",53,54,7.4,8,66.5,"3,755",8.8,5.9 ( 1 ),6.6 ( 1 ),2.8
16. Little Humboldt,"9,000-10,000'",70,72,10.1,11.1,64.8,285,0.5,NA,NA,5.6
17. Lower Clark Fork,"5,000-6,000'",130,124,6.6,7.5,53.9,"441,569","1,098.30",27.4 ( 1 ),28.5 ( 1 ),12.5
17. Lower Clark Fork,"6,000-7,000'",178,170,12.4,14.4,83.8,"268,351",348.7,32.2 ( 1 ),33.8 ( 1 ),20.5
17. Lower Clark Fork,"7,000-8,000'",216,215,16.6,19.1,93.2,"27,629",27.1,29.5 ( 1 ),31.8 ( 1 ),30.8
17. Lower Clark Fork,"8,000-9,000'",226,251,16.5,19.1,98.5,590,0.6,NA,NA,33.8
18. Lower Humboldt,"6,000-7,000'",2,0,0.1,0,0,2,207.6,0.0 ( 1 ),0.0 ( 1 ),0
18. Lower Humboldt,"7,000-8,000'",12,6,0.8,0.4,4,998,48.6,NA,NA,0
18. Lower Humboldt,"8,000-9,000'",36,39,3.7,4,30,"3,381",15.9,NA,NA,0.1
18. Lower Humboldt,"9,000-10,000'",73,73,9.6,10.1,54.4,260,0.5,NA,NA,0.2
19. Lower Pend Oreille,"5,000-6,000'",117,114,7.7,8.5,57.8,"49,368",109.3,12.4 ( 1 ),12.1 ( 1 ),15.2
19. Lower Pend Oreille,">6,000'",139,146,13.6,15.8,87.2,"20,367",24.1,NA,NA,21
20. Lower Snake-Asotin,"3,000-4,000'",61,7,0.7,0,1.7,509,192.5,0.6 ( 1 ),0.0 ( 1 ),0
20. Lower Snake-Asotin,"4,000-5,000'",63,56,3.3,2.6,46.4,"14,150",102.1,NA,NA,0.7
20. Lower Snake-Asotin,"5,000-6,000'",63,63,6.4,6.6,86.6,"13,111",37.5,5.5 ( 1 ),5.7 ( 1 ),7.3
20. Lower Snake-Asotin,"6,000-7,000'",67,68,9,10.4,100,908,1.6,NA,NA,17.4
21. Lower Snake-Tucannon,"4,000-5,000'",85,83,5,4.1,72.1,"13,882",64.2,NA,NA,2.3
21. Lower Snake-Tucannon,"5,000-6,000'",78,79,7.7,7.9,95.3,"17,595",41.8,NA,NA,10.6
21. Lower Snake-Tucannon,"6,000-7,000'",95,98,11.3,12.8,98.9,"1,578",2.3,NA,NA,18
22. Lower Yakima,"3,000-4,000'",15,9,0.7,0.3,30.6,"4,537",311.2,NA,NA,0.8
22. Lower Yakima,"4,000-5,000'",36,33,3.6,3.3,58.6,"22,681",127.1,6.3 ( 1 ),7.0 ( 1 ),4.1
22. Lower Yakima,"5,000-6,000'",52,50,6.6,6.8,80.5,"13,582",37.4,14.2 ( 1 ),14.2 ( 1 ),11
22. Lower Yakima,"6,000-7,000'",66,66,10,10.4,91.3,"5,183",9.4,NA,NA,16.5
23. Malheur,"5,000-6,000'",25,20,1.9,1.4,21.8,"63,649",857.7,3.3 ( 3 ),3.1 ( 3 ),0.9
23. Malheur,"6,000-7,000'",52,51,6,6.5,62.5,"35,866",104.2,NA,NA,6.2
23. Malheur,"7,000-8,000'",82,82,12.3,13.7,94.5,"19,998",27.3,NA,NA,8.5
24. Middle Humboldt,"6,000-7,000'",4,1,0.2,0,2.3,724,473.7,NA,NA,0
24. Middle Humboldt,"7,000-8,000'",20,16,1.3,1,8.7,"7,770",145.7,NA,NA,0.2
24. Middle Humboldt,"8,000-9,000'",50,54,4.8,5.2,37.7,"3,594",13,NA,NA,1
24. Middle Humboldt,"9,000-10,000'",72,72,7.2,7.2,61.7,224,0.6,NA,NA,2.1
25. Northern Big Smoky Valley,"7,000-8,000'",7,4,0.4,0.1,6.5,"2,264",318.1,NA,NA,0.1
25. Northern Big Smoky Valley,"8,000-9,000'",22,22,1.6,1.2,25.3,"9,978",154.3,NA,NA,0.7
25. Northern Big Smoky Valley,"9,000-10,000'",47,46,4.3,4,59.9,"15,318",72.5,NA,NA,3.3
25. Northern Big Smoky Valley,"10,000-11,000'",61,62,6.3,6.7,78.4,"8,773",24.7,NA,NA,5.4
25. Northern Big Smoky Valley,"11,000-12,000'",64,65,6.4,6.6,79,"1,128",3.2,NA,NA,3.5
26. Northern Great Basin,"6,000-7,000'",35,4,1.7,0.1,2.5,"14,596","1,927.20",0.0 ( 1 ),0.0 ( 1 ),0
26. Northern Great Basin,"7,000-8,000'",36,32,3.2,2.7,26.9,"36,781",255.9,3.7 ( 1 ),3.9 ( 1 ),0.5
26. Northern Great Basin,"8,000-9,000'",63,63,7.8,8.3,65,"18,222",41.4,NA,NA,2.1
26. Northern Great Basin,"9,000-10,000'",63,61,8.6,9.2,79.7,190,0.4,NA,NA,5.7
27. Panhandle Basins,"3,000-4,000'",69,50,1.6,1.2,15.4,"44,495",706,2.0 ( 1 ),0.4 ( 1 ),2.8
27. Panhandle Basins,"4,000-5,000'",98,91,4.3,4.6,39.1,"123,874",508.9,24.5 ( 1 ),24.7 ( 1 ),10.9
27. Panhandle Basins,"5,000-6,000'",130,125,10.1,11.3,69.2,"208,417",345.4,NA,NA,19.8
27. Panhandle Basins,"6,000-7,000'",161,165,16.2,18.5,86.3,"81,429",82.3,27.0 ( 1 ),28.8 ( 1 ),27.2
27. Panhandle Basins,"7,000-8,000'",155,160,14.1,16.9,88.1,"1,825",2,NA,NA,23.9
28. Reese,"7,000-8,000'",7,5,0.4,0.2,3.9,"2,993",285.6,4.3 ( 1 ),5.0 ( 1 ),0.1
28. Reese,"8,000-9,000'",24,24,2,1.7,25.5,"13,822",152,4.2 ( 1 ),5.2 ( 1 ),0.6
28. Reese,"9,000-10,000'",47,49,4.7,4.5,54.8,"11,380",47,NA,NA,3.3
28. Reese,">10,000'",63,62,6.9,6.9,81.8,"4,517",12.3,NA,NA,5.9
29. Rock,"5,000-6,000'",1,0,0.1,0,0,22,592.8,NA,NA,0
29. Rock,"6,000-7,000'",5,3,0.4,0.1,2.2,"1,425",210.5,NA,NA,0
29. Rock,"7,000-8,000'",24,33,2.5,3.2,29.1,"5,107",29.5,6.8 ( 1 ),7.4 ( 1 ),1.1
29. Rock,"8,000-9,000'",71,74,9.8,10.7,66.5,"1,547",2.7,NA,NA,5.4
30. Salmon Basin,"5,000-6,000'",52,55,2.5,2.6,31.2,"284,143","2,056.60",9.6 ( 1 ),10.3 ( 1 ),3.2
30. Salmon Basin,"6,000-7,000'",82,84,6.3,7.1,63.2,"1,360,065","3,572.20",14.9 ( 2 ),15.7 ( 2 ),8.8
30. Salmon Basin,"7,000-8,000'",97,99,9.9,11.6,83.9,"2,361,824","3,809.10",13.4 ( 2 ),13.9 ( 2 ),12.6
30. Salmon Basin,"8,000-9,000'",105,107,12.1,14.3,90.3,"1,473,534","1,935.60",14.7 ( 5 ),15.5 ( 5 ),13.3
30. Salmon Basin,"9,000-10,000'",110,113,14.2,16.5,90.2,"443,129",502.6,13.8 ( 1 ),15.0 ( 1 ),14.5
30. Salmon Basin,"10,000-11,000'",110,115,14.9,17.2,89.6,"65,446",71.3,NA,NA,10.6
30. Salmon Basin,"11,000-12,000'",113,120,16.4,18.7,88.6,"3,082",3.1,NA,NA,4.7
31. Silver,"5,000-6,000'",17,8,0.8,0.3,6.5,"7,215",440.7,NA,NA,0
