,4/1/2026,4/5/2026,4/1/2026,4/5/2026,4/5/2026,4/5/2026,4/5/2026,4/1/2026,4/5/2026,4/5/2026
Basin,%4/1 Avg.,%4/5 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Bear,15,18,1.1,1.2,16,"407,217","6,323.40",5.2 ( 18 ),5.9 ( 18 ),2.1
2. Beaver,5,13,0.1,0.3,4.9,"11,700",835.5,2.9 ( 2 ),3.3 ( 2 ),0.3
3. Blue§,22,27,1.7,2.1,31,"75,123",683.9,5.4 ( 5 ),5.9 ( 5 ),4
4. Canadian,0,1,0,0,0.2,676,"1,265.80",0.2 ( 2 ),0.7 ( 2 ),0.1
5. Colorado Headwaters§,17,21,1.5,1.8,26.1,"279,071","2,906.10",5.0 ( 13 ),5.6 ( 13 ),2.6
6. Colorado Headwaters-Plateau,12,16,0.9,1.1,15.8,"105,980","1,813.00",1.1 ( 1 ),2.7 ( 1 ),1.1
7. Eagle,18,22,1.7,2.1,25.2,"100,526",918,0.1 ( 3 ),0.6 ( 3 ),3.7
8. Gila,1,0,0,0,0,28,"4,926.30",0.0 ( 6 ),0.0 ( 6 ),0
9. Gunnison§,12,16,0.9,1.1,17.1,"387,699","6,459.70",1.5 ( 11 ),2.7 ( 11 ),1.3
10. Little Colorado,1,2,0,0,0,933,"16,398.00",0.6 ( 5 ),0.5 ( 5 ),0
11. Lower Colorado Mainstream,1,1,0,0,0.1,"2,887","10,697.40",0.8 ( 5 ),1.1 ( 5 ),0
12. Lower Green§,12,16,0.9,1.1,17.8,"345,397","5,693.80",1.7 ( 24 ),2.1 ( 23 ),1.3
13. Lower Rio Grande,0,0,0,0,0,91,"1,796.70",0.0 ( 6 ),0.3 ( 6 ),0
14. Lower Sevier,1,5,0,0.1,3.2,"5,962",906.4,0.0 ( 4 ),0.5 ( 4 ),0.1
15. Pecos,1,5,0,0.1,2.5,"2,600",332.1,0.0 ( 2 ),0.2 ( 2 ),0.4
16. Provo-Utah Lake-Jordan,10,13,0.6,0.8,13,"115,767","2,694.10",3.6 ( 18 ),4.6 ( 18 ),1.3
17. Rio Chama-Upper Rio Grande,3,5,0.1,0.1,1.7,"25,824","5,227.90",0.6 ( 13 ),1.1 ( 13 ),0.3
18. Rio Grande Headwaters§,9,14,0.3,0.4,7.5,"162,065","7,613.30",1.1 ( 14 ),1.8 ( 14 ),0.5
19. Roaring Fork§,21,26,2.2,2.6,37.4,"191,786","1,360.30",4.5 ( 7 ),5.2 ( 7 ),4.9
20. Salt,0,0,0,0,0,265,"2,360.60",0.0 ( 8 ),0.0 ( 8 ),0
21. San Juan**,11,16,0.5,0.6,8.6,"202,012","6,425.50",1.4 ( 15 ),2.4 ( 15 ),0.8
22. San Pitch,12,17,0.5,0.7,11.7,"32,914",859.5,0.4 ( 6 ),1.0 ( 6 ),0.3
23. South Platte§,14,19,0.5,0.6,7.8,"171,668","5,641.90",4.5 ( 21 ),4.8 ( 21 ),1
24. Southwestern Utah,5,7,0.1,0.1,1.4,"5,670","1,446.90",0.8 ( 5 ),1.1 ( 5 ),0.1
25. Toole Valley-Vernon Creek,6,8,0.1,0.1,1.4,"6,214",902.1,0.9 ( 4 ),1.2 ( 4 ),0.2
26. Upper Arkansas,14,19,0.4,0.5,5.6,"157,444","5,892.20",0.5 ( 7 ),1.0 ( 7 ),0.5
27. Upper Colorado-Dirty Devil,7,8,0.2,0.3,3.5,"36,849","2,608.00",1.3 ( 7 ),1.4 ( 7 ),0.6
28. Upper Colorado-Dolores§,7,10,0.3,0.4,6.7,"75,250","3,453.30",1.8 ( 9 ),2.7 ( 9 ),0.8
29. Upper Sevier,4,7,0.2,0.2,3.9,"46,644","3,767.80",1.1 ( 16 ),1.3 ( 15 ),0.3
30. Verde,0,0,0,0,0,39,"1,820.70",0.0 ( 7 ),0.0 ( 7 ),0
31. Weber-Ogden§,9,12,0.7,0.8,15.4,"91,240","2,046.60",2.7 ( 17 ),3.6 ( 17 ),1.8
32. White-Yampa§,14,18,1.2,1.4,17.5,"453,954","5,952.40",5.2 ( 15 ),6.3 ( 15 ),2.1
33. Animas,17,23,1.5,1.9,26.5,"95,002",922.5,1.6 ( 6 ),2.9 ( 6 ),2.8
