,4/19/2026,4/26/2026,4/19/2026,4/26/2026,4/26/2026,4/26/2026,4/26/2026,4/19/2026,4/26/2026,4/26/2026
Basin,%4/19 Avg.,%4/26 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Central Columbia,65,70,11.6,10.9,38.7,"1,242,734","2,129.50",14.6 ( 7 ),12.8 ( 7 ),21.2
2. Central Puget Sound,80,90,12.4,11.3,37.4,"751,977","1,246.10",24.4 ( 5 ),20.6 ( 5 ),23
3. Hood-Sandy-Lower Deschutes,25,29,0.5,0.5,3.1,"129,183","5,083.40",5.4 ( 11 ),4.7 ( 11 ),2.5
4. Klamath,10,13,0.2,0.2,1.7,"93,138","7,543.00",0.5 ( 16 ),0.4 ( 16 ),0.1
5. Lewis,20,21,1,0.8,4.6,"25,832",583.2,12.3 ( 7 ),10.1 ( 7 ),5.4
6. Lower Cowlitz,34,32,2.6,2,10.9,"19,942",190.5,7.9 ( 2 ),6.8 ( 2 ),2.5
7. Naches,44,47,4,3.5,20.5,"114,091",614,23.8 ( 4 ),21.8 ( 4 ),15.9
8. North Puget Sound,91,103,11.9,11.1,33.8,"1,386,787","2,342.10",28.7 ( 9 ),25.5 ( 9 ),29.8
9. Olympic,53,57,13.2,10.7,39.4,"135,310",236.4,14.4 ( 3 ),12.3 ( 3 ),18.7
10. Rogue-Umpqua,13,20,0.5,0.7,4.4,"119,962","3,388.60",0.2 ( 6 ),0.1 ( 6 ),0.4
11. South Puget Sound,42,48,2.6,2.3,11.7,"139,060","1,146.00",12.1 ( 12 ),10.0 ( 12 ),13.5
12. Upper Columbia,77,81,3.9,3.4,13.8,"1,001,277","5,486.20",8.4 ( 7 ),8.0 ( 7 ),6.6
13. Upper Cowlitz,42,49,4,3.7,16.4,"142,534",717.7,15.4 ( 3 ),12.7 ( 3 ),16.8
14. Upper Deschutes-Crooked,17,22,0.5,0.6,3.4,"167,096","5,681.70",2.1 ( 7 ),1.8 ( 7 ),0.6
15. Upper Yakima,38,41,3.8,3.2,14.2,"176,364","1,031.70",4.9 ( 3 ),1.6 ( 3 ),6.6
16. Willamette,19,25,0.3,0.3,1.6,"170,427","11,470.90",0.7 ( 18 ),0.1 ( 18 ),0.2
