,,2/22/2026,3/1/2026,2/22/2026,3/1/2026,3/1/2026,3/1/2026,3/1/2026,2/22/2026,3/1/2026,3/1/2026,3/1/2026
Basin,Elevation Band,%2/22 Avg.,%3/1 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,Surveys,SNODAS (in.)*
1. Alvord Lake,"6,000-7,000'",24,23,1.4,1.4,23.6,"17,960",240.2,NA,NA,NA,0
1. Alvord Lake,"7,000-8,000'",52,51,5.4,5.6,48.2,"20,823",69.9,NA,NA,NA,0.8
1. Alvord Lake,"8,000-9,000'",81,79,12.1,12.3,84.7,"7,558",11.5,NA,NA,NA,4.5
1. Alvord Lake,"9,000-10,000'",91,88,14.6,15,82.8,924,1.2,NA,NA,NA,6.9
2. Bitterroot,"5,000-6,000'",36,39,1.6,1.8,20,"63,241",657.5,7.4 ( 2 ),8.5 ( 2 ),3.7 ( 1 ),4.1
2. Bitterroot,"6,000-7,000'",92,96,5.6,6.5,55.8,"247,129",718,15.3 ( 2 ),16.7 ( 2 ),NA,9.8
2. Bitterroot,"7,000-8,000'",133,135,11.4,12.8,80.6,"329,589",483.4,NA,NA,NA,14.8
2. Bitterroot,"8,000-9,000'",145,150,16,17.8,84.9,"88,987",93.8,NA,NA,NA,18
2. Bitterroot,"9,000-10,000'",136,141,17.7,19.6,93.2,"2,416",2.3,NA,NA,NA,18.6
3. Carson,"5,000-6,000'",57,43,0.4,0.2,40.4,"8,134",619.1,NA,NA,NA,0
3. Carson,"6,000-7,000'",75,50,2.3,1.7,56,"31,588",354.2,3.2 ( 1 ),0.0 ( 1 ),NA,0.7
3. Carson,"7,000-8,000'",86,61,7.9,6.5,71.4,"76,225",220.1,12.6 ( 1 ),10.2 ( 1 ),5.0 ( 1 ),5.4
3. Carson,"8,000-9,000'",89,76,14.9,14,84,"116,267",155.7,17.7 ( 5 ),16.2 ( 5 ),NA,11.2
3. Carson,"9,000-10,000'",89,84,19.2,19.1,82.1,"47,757",46.8,NA,NA,NA,14.8
3. Carson,">10,000'",93,94,22.4,23,71.1,"14,572",11.9,NA,NA,NA,14.9
4. Clearwater Basin,"3,000-4,000'",55,47,1.3,1.1,26.3,"136,424","2,282.20",2.7 ( 1 ),3.5 ( 1 ),6.0 ( 1 ),2.6
4. Clearwater Basin,"4,000-5,000'",74,71,2.4,2.6,32.7,"277,711","1,966.60",7.7 ( 1 ),9.7 ( 1 ),2.6 ( 1 ),8.2
4. Clearwater Basin,"5,000-6,000'",137,132,6.3,7.2,59.4,"691,934","1,812.30",19.1 ( 5 ),21.0 ( 5 ),NA,14.1
4. Clearwater Basin,"6,000-7,000'",165,160,11.6,13,82.1,"786,763","1,138.30",13.3 ( 2 ),14.5 ( 2 ),NA,17
4. Clearwater Basin,"7,000-8,000'",154,153,14.8,16.4,86.5,"231,010",264.1,NA,NA,NA,18
4. Clearwater Basin,"8,000-9,000'",143,147,16.2,17.9,83.2,"11,138",11.7,NA,NA,NA,18.1
5. Clover Valley and Franklin,"5,000-6,000'",0,0,0,0,8,75,793.5,NA,NA,NA,0
5. Clover Valley and Franklin,"6,000-7,000'",2,1,0.2,0.1,20.5,"10,792","2,365.00",NA,NA,NA,0
5. Clover Valley and Franklin,"7,000-8,000'",17,17,1,1.1,33.6,"43,163",760.6,6.0 ( 1 ),5.0 ( 1 ),NA,0.1
5. Clover Valley and Franklin,"8,000-9,000'",46,45,3.9,4,58.6,"33,169",155.8,3.8 ( 1 ),4.0 ( 1 ),NA,1.1
5. Clover Valley and Franklin,"9,000-10,000'",68,66,8.4,8.4,84.3,"15,222",34.1,NA,NA,NA,4.6
5. Clover Valley and Franklin,"10,000-11,000'",76,76,10.1,10.4,94.9,"3,315",6,NA,NA,NA,7.5
6. Donner und Blitzen,"6,000-7,000'",44,45,4.1,4.3,58.2,"32,081",138.9,2.5 ( 1 ),2.9 ( 1 ),NA,0.3
6. Donner und Blitzen,"7,000-8,000'",67,68,9.2,10,71.5,"31,807",59.8,7.8 ( 1 ),9.8 ( 1 ),NA,2.7
6. Donner und Blitzen,"8,000-9,000'",83,84,13,14,84.4,"14,297",19.1,NA,NA,NA,6.3
6. Donner und Blitzen,"9,000-10,000'",90,90,14.4,15.3,77.5,"1,649",2,NA,NA,NA,6.7
7. Dry Lake Valley,"7,000-8,000'",6,15,0.3,0.8,31.9,"9,711",230.4,NA,NA,NA,0
7. Dry Lake Valley,"8,000-9,000'",27,39,1.7,2.7,51.5,"7,633",53.9,NA,NA,NA,0
7. Dry Lake Valley,"9,000-10,000'",54,63,4.2,5.4,70.6,"2,932",10.2,NA,NA,NA,0.5
7. Dry Lake Valley,"10,000-11,000'",69,68,7.1,7.6,69.6,742,1.8,NA,NA,NA,2
8. Eastern Nevada,"7,000-8,000'",7,11,0.3,0.6,26.7,"89,453","2,847.80",0.8 ( 1 ),0.0 ( 1 ),0.5 ( 2 ),0
8. Eastern Nevada,"8,000-9,000'",25,31,1.6,2.1,42.7,"123,506","1,111.30",2.8 ( 3 ),1.6 ( 3 ),NA,0.3
8. Eastern Nevada,"9,000-10,000'",51,53,3.8,4.2,65,"68,730",309.5,8.0 ( 2 ),7.9 ( 2 ),NA,2.4
8. Eastern Nevada,"10,000-11,000'",68,67,6.2,6.4,81.9,"29,999",87.8,8.9 ( 2 ),8.9 ( 2 ),NA,6.2
8. Eastern Nevada,">11,000'",72,70,7.5,7.6,77.2,"7,671",18.8,NA,NA,NA,6.8
9. Flathead,"3,000-4,000'",24,21,0.5,0.5,8.5,"54,593","2,118.20",4.5 ( 1 ),4.6 ( 1 ),NA,0.8
9. Flathead,"4,000-5,000'",48,57,1.5,2,23.4,"206,271","1,920.60",5.3 ( 3 ),5.9 ( 3 ),2.4 ( 7 ),4.5
9. Flathead,"5,000-6,000'",149,148,5.7,6.6,54.3,"596,254","1,682.00",11.6 ( 3 ),11.7 ( 3 ),8.2 ( 7 ),12.8
9. Flathead,"6,000-7,000'",223,208,12,12.9,82.3,"959,278","1,392.90",24.7 ( 6 ),24.3 ( 5 ),23.2 ( 3 ),21.7
9. Flathead,"7,000-8,000'",229,214,16.2,16.9,90.4,"443,642",491.4,NA,NA,NA,26
9. Flathead,"8,000-9,000'",235,221,19.3,20.4,91.7,"40,985",37.7,NA,NA,NA,25.3
9. Flathead,"9,000-10,000'",>300†,>300†,21.4,22.3,81.1,"1,955",1.6,NA,NA,NA,19.2
10. Grande Ronde-Burnt-Powder-Imnaha,"4,000-5,000'",35,14,2,0.8,13.1,"130,176","3,104.90",0.4 ( 1 ),0.0 ( 1 ),0.0 ( 2 ),0.8
10. Grande Ronde-Burnt-Powder-Imnaha,"5,000-6,000'",41,41,3.3,3.6,41.5,"262,149","1,382.50",7.0 ( 7 ),7.5 ( 7 ),1.9 ( 2 ),4
10. Grande Ronde-Burnt-Powder-Imnaha,"6,000-7,000'",75,78,7.9,8.8,70.3,"224,191",477.3,3.6 ( 1 ),4.4 ( 1 ),3.6 ( 1 ),8
10. Grande Ronde-Burnt-Powder-Imnaha,"7,000-8,000'",97,99,15.3,16.5,86.7,"238,995",271.5,9.3 ( 2 ),9.5 ( 2 ),13.0 ( 1 ),10.4
10. Grande Ronde-Burnt-Powder-Imnaha,"8,000-9,000'",104,108,19.3,20.7,82.8,"85,943",77.8,NA,NA,NA,10.6
10. Grande Ronde-Burnt-Powder-Imnaha,"9,000-10,000'",93,98,14.8,15.8,80.8,"1,627",1.9,NA,NA,NA,4
11. Guano,"5,000-6,000'",14,20,0.2,0.3,7.2,"22,507","1,512.90",0.4 ( 1 ),0.0 ( 1 ),NA,0
11. Guano,"6,000-7,000'",13,29,0.6,1.4,28.1,"37,927",525.7,NA,NA,NA,0
11. Guano,"7,000-8,000'",61,62,6.3,6.7,73.1,"8,675",24.3,NA,NA,NA,0.3
12. Harney-Malheur Lakes,"5,000-6,000'",28,36,1.4,1.7,24.7,"23,027",254.2,NA,NA,NA,0.1
12. Harney-Malheur Lakes,"6,000-7,000'",56,56,4.6,4.8,75.3,"6,796",26.4,NA,NA,NA,0.2
