,,2/22/2026,3/1/2026,2/22/2026,3/1/2026,3/1/2026,3/1/2026,3/1/2026,2/22/2026,3/1/2026,3/1/2026,3/1/2026
Basin,Elevation Band,%2/22 Avg.,%3/1 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,Surveys,SNODAS (in.)*
1. Central Columbia,"3,000-4,000'",41,36,3.4,3.2,27.5,"113,228",658.8,15.5 ( 2 ),16.6 ( 2 ),NA,6.6
1. Central Columbia,"4,000-5,000'",57,69,8.4,10,59.6,"284,173",532.7,2.7 ( 1 ),3.7 ( 2 ),NA,16.7
1. Central Columbia,"5,000-6,000'",72,91,15.3,17.7,82.6,"504,032",533.9,20.8 ( 2 ),22.0 ( 2 ),NA,27.6
1. Central Columbia,"6,000-7,000'",72,95,20.7,23.2,90.5,"400,280",323,NA,NA,NA,38.2
1. Central Columbia,"7,000-8,000'",66,89,22.8,25.5,92.1,"105,857",77.9,NA,NA,NA,45.5
1. Central Columbia,"8,000-9,000'",62,87,21.2,24.6,93.2,"4,314",3.3,NA,NA,NA,46.7
2. Central Puget Sound,"3,000-4,000'",47,77,1.7,2.5,13.3,"73,262",555.8,16.8 ( 3 ),19.3 ( 3 ),16.8 ( 1 ),11.1
2. Central Puget Sound,"4,000-5,000'",82,128,7.4,9.5,40,"232,006",457.3,14.5 ( 2 ),16.4 ( 2 ),NA,17
2. Central Puget Sound,"5,000-6,000'",105,155,19.6,22.7,74.8,"216,606",179.2,NA,NA,NA,32
2. Central Puget Sound,"6,000-7,000'",88,129,26.9,30.5,91,"77,686",47.8,NA,NA,NA,55.6
2. Central Puget Sound,"7,000-8,000'",73,105,29.1,32.6,98.1,"10,069",5.8,NA,NA,NA,76.8
2. Central Puget Sound,"8,000-9,000'",65,93,35.1,39.2,100,404,0.2,NA,NA,NA,98.9
2. Central Puget Sound,">9,000'",87,133,43.6,49.2,100,253,0.1,NA,NA,NA,160.7
3. Hood-Sandy-Lower Deschutes,"2,000-3,000'",2,3,0,0,0.7,"1,957","2,531.10",1.9 ( 1 ),0.5 ( 1 ),NA,0.7
3. Hood-Sandy-Lower Deschutes,"3,000-4,000'",8,9,0.2,0.2,5.5,"19,797","1,613.30",5.0 ( 5 ),5.7 ( 5 ),NA,4.7
3. Hood-Sandy-Lower Deschutes,"4,000-5,000'",30,29,1.7,1.9,25.7,"71,101",693.5,8.7 ( 2 ),10.2 ( 2 ),NA,10.1
3. Hood-Sandy-Lower Deschutes,"5,000-6,000'",53,60,6.7,7.8,64.8,"84,452",203,8.6 ( 2 ),10.8 ( 2 ),NA,15.9
3. Hood-Sandy-Lower Deschutes,"6,000-7,000'",54,69,16.1,17.9,89.7,"30,214",31.7,13.0 ( 1 ),15.9 ( 1 ),NA,35.3
3. Hood-Sandy-Lower Deschutes,"7,000-8,000'",46,63,20.7,23.1,93.9,"9,968",8.1,NA,NA,NA,51.8
3. Hood-Sandy-Lower Deschutes,"8,000-9,000'",37,59,27.9,32.9,94.3,"3,218",1.8,NA,NA,NA,66.9
3. Hood-Sandy-Lower Deschutes,"9,000-10,000'",34,52,35.9,40.3,97.5,"1,453",0.7,NA,NA,NA,144.1
3. Hood-Sandy-Lower Deschutes,">10,000'",32,48,26.8,29.5,98.5,304,0.2,NA,NA,NA,371.3
4. Klamath,"4,000-5,000'",1,1,0,0,1.5,"9,580","4,630.00",1.2 ( 3 ),0.2 ( 3 ),0.2 ( 1 ),0.2
4. Klamath,"5,000-6,000'",9,8,0.6,0.6,11,"71,424","2,247.50",4.1 ( 9 ),3.3 ( 9 ),NA,1.5
4. Klamath,"6,000-7,000'",37,37,4.9,5.2,54.9,"160,718",578.1,7.4 ( 3 ),7.4 ( 3 ),18.2 ( 1 ),4.8
4. Klamath,"7,000-8,000'",56,61,10,10.8,78.3,"49,577",85.8,3.3 ( 1 ),4.0 ( 1 ),NA,8
4. Klamath,"8,000-9,000'",68,74,15.3,16.3,93.2,"1,342",1.5,NA,NA,NA,13.5
5. Lewis,"2,000-3,000'",6,6,0.1,0.1,0.9,"1,005",274.4,1.4 ( 2 ),0.5 ( 2 ),NA,3.1
5. Lewis,"3,000-4,000'",17,19,0.7,0.8,8.7,"9,648",213.1,12.4 ( 3 ),14.4 ( 3 ),NA,9.8
5. Lewis,"4,000-5,000'",25,37,1.7,2.4,19.3,"10,157",79.6,19.3 ( 2 ),22.8 ( 2 ),NA,17.4
5. Lewis,"5,000-6,000'",50,77,8.6,11.3,59.2,"6,502",10.8,NA,NA,NA,24.6
5. Lewis,"6,000-7,000'",51,76,20.9,24.4,79.4,"5,405",4.2,NA,NA,NA,41.2
5. Lewis,"7,000-8,000'",44,64,29.5,33.3,88.6,"1,372",0.8,NA,NA,NA,51.5
5. Lewis,">8,000'",38,55,27.6,30.6,77.3,473,0.3,NA,NA,NA,64.9
6. Lower Cowlitz,"3,000-4,000'",20,24,1,1.4,19.5,"10,214",139.5,7.4 ( 2 ),8.8 ( 2 ),NA,4.3
6. Lower Cowlitz,"4,000-5,000'",40,51,5.4,6.7,56.5,"15,057",42,NA,NA,NA,9.1
6. Lower Cowlitz,"5,000-6,000'",46,68,10.8,14.9,81.4,"5,131",6.5,NA,NA,NA,13.7
