,,4/5/2026,4/12/2026,4/5/2026,4/12/2026,4/12/2026,4/12/2026,4/12/2026,4/5/2026,4/12/2026,4/12/2026
Basin,Elevation Band,%4/5 Avg.,%4/12 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
1. Belle Fourche,"2,000-3,000'",0,0,0,0,0,0,"1,734.80",NA,NA,0
1. Belle Fourche,"3,000-4,000'",0,0,0,0,0,0,"1,717.40",NA,NA,0
1. Belle Fourche,"4,000-5,000'",0,0,0,0,0,0,"2,849.60",NA,NA,0
1. Belle Fourche,"5,000-6,000'",0,0,0,0,0,0,721.2,0.2 ( 1 ),0.0 ( 1 ),0
1. Belle Fourche,"6,000-7,000'",3,0,0.1,0,0.3,70,208.1,NA,NA,0
1. Belle Fourche,"7,000-8,000'",0,0,0,0,0,0,2.3,NA,NA,0
2. Bighorn,"3,000-4,000'",0,0,0,0,0,0,273.6,NA,NA,0
2. Bighorn,"4,000-5,000'",0,0,0,0,0,0,"3,531.10",NA,NA,0
2. Bighorn,"5,000-6,000'",0,0,0,0,0,0,"1,949.70",NA,NA,0
2. Bighorn,"6,000-7,000'",1,1,0,0,1,"1,014","1,082.60",NA,NA,0
2. Bighorn,"7,000-8,000'",6,10,0.3,0.5,9,"20,626",715.4,1.7 ( 2 ),0.0 ( 1 ),0
2. Bighorn,"8,000-9,000'",36,33,3.2,2.9,26.2,"83,978",541.1,NA,NA,1.5
2. Bighorn,"9,000-10,000'",77,69,9.1,7.8,53,"178,696",427.2,10.1 ( 5 ),9.4 ( 5 ),8.9
2. Bighorn,"10,000-11,000'",96,88,13.6,12.1,57,"157,428",243.8,12.1 ( 1 ),10.9 ( 1 ),14.2
2. Bighorn,"11,000-12,000'",107,100,17.5,16,60.9,"78,608",92.4,NA,NA,13.8
2. Bighorn,">12,000'",112,106,20.5,18.8,56.9,"7,658",7.6,NA,NA,11.9
3. Cheyenne,"2,000-3,000'",0,0,0,0,0,0,"3,402.70",NA,NA,0
3. Cheyenne,"3,000-4,000'",0,0,0,0,0,0,"3,673.10",NA,NA,0
3. Cheyenne,"4,000-5,000'",0,0,0,0,0,0,"5,669.50",NA,NA,0
3. Cheyenne,"5,000-6,000'",0,0,0,0,0,0,"2,131.40",NA,NA,0
3. Cheyenne,"6,000-7,000'",2,0,0.1,0,0,0,478.2,0.0 ( 2 ),0.0 ( 2 ),0
3. Cheyenne,"7,000-8,000'",1,0,0.1,0,0,0,4.4,NA,NA,0
4. Gallatin,"4,000-5,000'",0,0,0,0,0,0,462.7,NA,NA,0
4. Gallatin,"5,000-6,000'",0,0,0,0,0,27,296.9,NA,NA,0
4. Gallatin,"6,000-7,000'",8,4,0.5,0.2,2.5,"3,207",279.8,NA,NA,0.2
4. Gallatin,"7,000-8,000'",49,32,5.1,3.1,26.5,"62,040",372.8,4.2 ( 1 ),2.5 ( 1 ),4.9
4. Gallatin,"8,000-9,000'",94,88,12.9,11.5,70.9,"193,521",315.9,17.2 ( 2 ),16.5 ( 2 ),15.6
4. Gallatin,"9,000-10,000'",124,121,20.3,18.7,80,"112,149",112.7,24.5 ( 1 ),24.5 ( 1 ),21.2
4. Gallatin,"10,000-11,000'",119,115,22.2,20.4,71,"8,088",7.4,NA,NA,22.3
5. Glendo,"7,000-8,000'",0,0,0,0,0,0,591.9,0.3 ( 1 ),0.0 ( 1 ),0
5. Glendo,"8,000-9,000'",0,0,0,0,0.1,16,119.6,3.0 ( 2 ),1.9 ( 2 ),0.1
5. Glendo,"9,000-10,000'",0,0,0,0,0,0,2.6,NA,NA,0.2
6. Jefferson,"5,000-6,000'",0,0,0,0,0,0,"1,665.20",NA,NA,0
6. Jefferson,"6,000-7,000'",19,8,0.8,0.2,2.5,"38,181","3,136.00",0.6 ( 2 ),0.1 ( 2 ),0.2
6. Jefferson,"7,000-8,000'",44,32,3.7,2.3,19.2,"327,880","2,637.50",6.2 ( 3 ),5.6 ( 3 ),3.3
6. Jefferson,"8,000-9,000'",83,79,10.6,9.5,57,"573,968","1,135.30",17.6 ( 5 ),17.1 ( 5 ),9.3
6. Jefferson,"9,000-10,000'",116,110,18.3,16.7,74.7,"205,396",231.2,15.9 ( 3 ),15.2 ( 3 ),14.8
6. Jefferson,"10,000-11,000'",117,111,19,17.3,64.8,"6,508",7,NA,NA,13.7
7. Lower Bighorn,"2,000-3,000'",0,0,0,0,0,0,214,NA,NA,0
7. Lower Bighorn,"3,000-4,000'",0,0,0,0,0,0,"2,139.00",NA,NA,0
7. Lower Bighorn,"4,000-5,000'",0,0,0,0,0.8,0,542.7,NA,NA,0
7. Lower Bighorn,"5,000-6,000'",0,0,0,0,3,12,106.8,NA,NA,0
7. Lower Bighorn,"6,000-7,000'",1,2,0,0.1,18.2,367,66.6,NA,NA,0.1
7. Lower Bighorn,"7,000-8,000'",24,24,1.7,1.8,34,"6,646",68.1,NA,NA,1
7. Lower Bighorn,"8,000-9,000'",63,60,7.5,7.2,71.3,"36,010",93.5,NA,NA,5.2
7. Lower Bighorn,"9,000-10,000'",86,84,13.4,12.8,84.6,"19,409",28.5,NA,NA,12.1
8. Lower No Platte,"7,000-8,000'",0,0,0,0,0,0,746.6,NA,NA,0
8. Lower No Platte,"8,000-9,000'",0,0,0,0,0,0,76.4,NA,NA,0
8. Lower No Platte,"9,000-10,000'",5,5,0.5,0.5,10,23,1,NA,NA,0.9
9. Lower Shoshone,"3,000-4,000'",0,0,0,0,0,0,90.2,NA,NA,0
9. Lower Shoshone,"4,000-5,000'",0,0,0,0,0,0,876.8,NA,NA,0
9. Lower Shoshone,"5,000-6,000'",0,0,0,0,0,0,327.8,NA,NA,0
9. Lower Shoshone,"6,000-7,000'",0,5,0,0.1,1.5,494,117.1,NA,NA,0
9. Lower Shoshone,"7,000-8,000'",9,22,0.5,1.1,12.4,"2,378",39.5,NA,NA,0
9. Lower Shoshone,"8,000-9,000'",35,34,3.5,3.4,28.3,"4,016",22.3,NA,NA,0
