,,2/22/2026,3/1/2026,2/22/2026,3/1/2026,3/1/2026,3/1/2026,3/1/2026,2/22/2026,3/1/2026,3/1/2026,3/1/2026
Basin,Elevation Band,%2/22 Avg.,%3/1 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,Surveys,SNODAS (in.)*
1. Belle Fourche,"2,000-3,000'",0,0,0,0,0,0,"1,734.80",NA,NA,NA,0
1. Belle Fourche,"3,000-4,000'",0,0,0,0,0,0,"1,717.40",NA,NA,NA,0
1. Belle Fourche,"4,000-5,000'",1,0,0.2,0,0.3,663,"2,849.60",NA,NA,0.0 ( 1 ),0
1. Belle Fourche,"5,000-6,000'",8,9,0.6,0.4,15.8,"16,071",721.2,1.8 ( 1 ),2.5 ( 1 ),3.5 ( 1 ),0.3
1. Belle Fourche,"6,000-7,000'",38,45,2.9,2.9,83.7,"32,362",208.1,NA,NA,4.0 ( 2 ),3.3
1. Belle Fourche,"7,000-8,000'",46,52,2.8,3.1,90.3,389,2.3,NA,NA,NA,4.3
2. Bighorn,"3,000-4,000'",0,6,0,0,6.2,58,273.6,NA,NA,NA,0
2. Bighorn,"4,000-5,000'",3,4,0.1,0,4,"4,074","3,531.10",NA,NA,NA,0
2. Bighorn,"5,000-6,000'",10,3,0.3,0.1,2.1,"6,719","1,949.70",NA,NA,NA,0
2. Bighorn,"6,000-7,000'",25,14,1.1,0.6,7.6,"33,426","1,082.60",NA,NA,NA,0
2. Bighorn,"7,000-8,000'",53,52,3.2,3.1,31.4,"120,104",715.4,2.0 ( 2 ),2.2 ( 2 ),NA,0.7
2. Bighorn,"8,000-9,000'",73,76,5.5,6,58.9,"172,399",541.1,NA,NA,4.8 ( 3 ),3.4
2. Bighorn,"9,000-10,000'",91,95,7.9,8.8,73.5,"200,498",427.2,8.2 ( 5 ),9.1 ( 5 ),9.0 ( 1 ),7.7
2. Bighorn,"10,000-11,000'",110,112,10.9,11.8,76.4,"154,090",243.8,9.6 ( 1 ),10.4 ( 1 ),NA,9.6
2. Bighorn,"11,000-12,000'",115,116,12.9,13.9,73.5,"68,450",92.4,NA,NA,NA,8.3
2. Bighorn,">12,000'",117,118,14.2,15.3,58.2,"6,208",7.6,NA,NA,NA,6.8
3. Cheyenne,"2,000-3,000'",0,0,0,0,0,0,"3,402.70",NA,NA,NA,0
3. Cheyenne,"3,000-4,000'",0,0,0,0,0,0,"3,673.10",NA,NA,NA,0
3. Cheyenne,"4,000-5,000'",0,0,0,0,0,12,"5,669.50",NA,NA,NA,0
3. Cheyenne,"5,000-6,000'",2,3,0.1,0.1,1.9,"6,611","2,131.40",NA,NA,NA,0
3. Cheyenne,"6,000-7,000'",31,36,1.9,1.8,43,"47,069",478.2,3.8 ( 2 ),4.3 ( 2 ),0.7 ( 2 ),2
3. Cheyenne,"7,000-8,000'",35,37,2.6,2.4,69.7,580,4.4,NA,NA,NA,2.9
4. Gallatin,"4,000-5,000'",1,0,0,0,0,0,462.7,NA,NA,NA,0
4. Gallatin,"5,000-6,000'",24,2,1.4,0.1,1.5,"1,851",296.9,NA,NA,NA,0
4. Gallatin,"6,000-7,000'",54,43,3.6,2.9,31.7,"43,748",279.8,NA,NA,5.9 ( 1 ),2
4. Gallatin,"7,000-8,000'",85,85,6.3,6.7,64,"134,146",372.8,4.5 ( 1 ),4.5 ( 1 ),8.4 ( 3 ),7.8
4. Gallatin,"8,000-9,000'",115,115,9.8,10.4,78.3,"175,897",315.9,13.5 ( 2 ),13.9 ( 2 ),NA,13.6
4. Gallatin,"9,000-10,000'",133,134,14.1,14.7,83.6,"88,294",112.7,21.2 ( 1 ),21.9 ( 1 ),NA,16.1
4. Gallatin,"10,000-11,000'",129,127,15.3,16,71.8,"6,361",7.4,NA,NA,NA,15.4
5. Glendo,"7,000-8,000'",45,38,3.6,3.2,33.2,"101,416",591.9,2.0 ( 1 ),2.3 ( 1 ),NA,0.2
5. Glendo,"8,000-9,000'",68,74,6.2,7.3,70.8,"46,499",119.6,3.5 ( 2 ),3.7 ( 2 ),NA,2.4
5. Glendo,"9,000-10,000'",70,83,6.2,8,61.7,"1,107",2.6,NA,NA,NA,2.6
6. Jefferson,"5,000-6,000'",34,21,0.9,0.5,5.5,"42,336","1,665.20",NA,NA,NA,0.2
6. Jefferson,"6,000-7,000'",64,69,3.9,4.2,41.5,"701,788","3,136.00",4.4 ( 2 ),4.9 ( 2 ),1.6 ( 2 ),2.4
6. Jefferson,"7,000-8,000'",77,83,5.6,6.4,57,"904,370","2,637.50",6.0 ( 3 ),6.5 ( 3 ),6.5 ( 4 ),4.7
6. Jefferson,"8,000-9,000'",102,104,8.9,9.8,73.9,"596,006","1,135.30",12.8 ( 5 ),13.5 ( 5 ),12.1 ( 2 ),8.1
6. Jefferson,"9,000-10,000'",126,127,13.4,14.2,83.5,"175,648",231.2,12.0 ( 3 ),12.8 ( 3 ),NA,10.1
6. Jefferson,"10,000-11,000'",121,121,13.7,14.5,81.2,"5,465",7,NA,NA,NA,8.6
7. Lower Bighorn,"2,000-3,000'",0,0,0,0,0,0,214,NA,NA,NA,0
7. Lower Bighorn,"3,000-4,000'",0,0,0,0,0,7,"2,139.00",NA,NA,NA,0
7. Lower Bighorn,"4,000-5,000'",1,0,0.1,0,2.3,222,542.7,NA,NA,NA,0
7. Lower Bighorn,"5,000-6,000'",8,3,0.6,0.1,5.1,752,106.8,NA,NA,NA,0
7. Lower Bighorn,"6,000-7,000'",18,21,1.1,1.2,16.9,"4,187",66.6,NA,NA,NA,0.1
7. Lower Bighorn,"7,000-8,000'",56,58,3.9,4.2,49.7,"15,255",68.1,NA,NA,NA,1.6
7. Lower Bighorn,"8,000-9,000'",71,73,6.5,7,75.4,"35,024",93.5,NA,NA,NA,5.1
7. Lower Bighorn,"9,000-10,000'",93,92,10.1,10.8,90.7,"16,340",28.5,NA,NA,NA,9.5
8. Lower No Platte,"7,000-8,000'",21,14,1.3,0.7,9.1,"28,968",746.6,NA,NA,NA,0
8. Lower No Platte,"8,000-9,000'",29,36,2.2,2.8,28.5,"11,429",76.4,NA,NA,NA,0.6
