,4/1/2026,4/5/2026,4/1/2026,4/5/2026,4/5/2026,4/5/2026,4/5/2026,4/1/2026,4/5/2026,4/5/2026
Basin,%4/1 Avg.,%4/5 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
0. Trinity,4,4,1.3,1,24.8,"17,930",321.4,0.2 ( 7 ),0.2 ( 7 ),0.3
1. Upper Sacramento,5,5,1.5,1,21.7,"6,346",115.2,0.9 ( 2 ),0.3 ( 2 ),2.8
2. McCloud,7,6,1.7,1.2,28,"10,255",164.9,0.0 ( 1 ),0.0 ( 1 ),5.7
3. Pit,5,6,0.3,0.3,5.3,"34,198","2,086.20",0.7 ( 5 ),1.0 ( 5 ),0.2
4. Sacramento at Bend Bridge,3,4,0.5,0.5,10.2,"6,224",240,NA,NA,0.6
5. Feather,2,3,0.2,0.3,7.3,"37,283","2,117.50",0.0 ( 7 ),0.3 ( 7 ),0.4
6. Yuba§,6,8,1.5,1.7,29,"48,192",525.6,5.0 ( 4 ),5.7 ( 4 ),1.5
7. American§,7,8,1.8,1.8,27,"77,567",807,4.5 ( 13 ),5.0 ( 13 ),2.2
8. Cosumnes,2,2,0.2,0.3,5.3,"1,340",91.9,NA,NA,0.2
9. Mokelumne,12,12,2.4,2.3,37.1,"38,892",317.9,8.4 ( 3 ),9.2 ( 3 ),3.3
10. Stanislaus,11,11,2.4,2.2,29.9,"64,564",562.9,10.7 ( 4 ),10.9 ( 4 ),3
11. Tuolumne§,15,15,3.5,3,37,"145,942",915,7.8 ( 8 ),6.9 ( 8 ),6.9
12. Merced§,16,14,3.2,2.6,32.2,"73,680",539.4,10.7 ( 2 ),9.5 ( 2 ),7.7
13. San Joaquin§,17,17,3.8,5.2,35.5,"336,598","1,225.40",3.5 ( 7 ),2.4 ( 7 ),7.3
14. Kings§,20,19,4.9,4.1,36.1,"262,109","1,213.40",10.6 ( 6 ),10.2 ( 6 ),7.7
15. Kaweah,14,13,2.1,1.7,16.9,"27,834",314.4,0.0 ( 1 ),0.0 ( 1 ),2.8
16. Tule,2,2,0.2,0.1,1.5,932,137.6,0.0 ( 1 ),0.0 ( 1 ),0
17. Kern,13,12,1.5,1.1,11.2,"101,216","1,682.80",5.4 ( 5 ),5.0 ( 5 ),1.6
18. Truckee§,6,7,1.6,1.6,19.9,"35,637",425.4,4.0 ( 6 ),4.0 ( 6 ),2.5
19. Tahoe§,5,6,1.4,1.3,15.4,"36,346",508.3,1.0 ( 7 ),1.3 ( 7 ),2.4
20. W Carson§,13,13,2.5,2.2,36.3,"7,534",65.3,5.9 ( 3 ),6.1 ( 3 ),3.1
21. E Carson§,13,13,1.4,1.3,21.7,"24,438",355.2,1.6 ( 4 ),1.4 ( 4 ),2.1
22. W Walker,20,19,4.1,3.5,43.1,"33,561",179.8,10.8 ( 4 ),11.3 ( 4 ),7.5
23. E Walker,16,16,1.3,1.2,17.3,"22,628",356.3,7.0 ( 1 ),6.5 ( 1 ),2
24. Mono,16,14,0.8,0.6,8.1,"32,132","1,085.80",NA,NA,1.1
25. Upper Owens,16,14,1.8,1.3,18.9,"26,297",382.7,18.0 ( 1 ),18.2 ( 1 ),1.1
26. Owens,25,24,1.3,1,12.2,"95,100","1,772.90",4.0 ( 4 ),2.8 ( 4 ),1
